# scorer=cert K=3 N=300 M=1245 seed=5 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=0 parisi_audit=0 dynamic_I_backtrack=0 sigma_certified=0 transaction_safe=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged,certified_sigma,replay_error,sp_residual,sp_contraction
0,dec,300,1245,1.135861589,0.003786205295,88,0,1,0,0,1,0,-0,0,0,0,0,0.009118391227,0.6209055773
1,back,299,1235,1.134491594,0.003781638646,0,0,1,1,0,1,0,-0,0,0,0,0,0.009908083337,0
2,dec,300,1245,1.136291498,0.003787638327,0,0,1,0,0,1,0,-0,0,0,0,0,0.007973361995,0
3,back,299,1238,1.135992258,0.003786640859,1,0,1,1,0,1,0,-0,0,0,0,0,0.007256748743,0.6751952396
4,dec,300,1245,1.135628231,0.003785427435,1,0,1,0,0,1,0,-0,0,0,0,0,0.009440005675,0.9357934718
5,back,299,1235,1.135058114,0.003783527047,0,0,1,1,0,1,0,-0,0,0,0,0,0.007318565377,0
6,dec,300,1245,1.135335323,0.003784451077,0,0,1,0,0,1,0,-0,0,0,0,0,0.009333721553,0
7,back,299,1238,1.135200081,0.00378400027,0,0,1,1,0,1,0,-0,0,0,0,0,0.006392907277,0
8,dec,300,1245,1.135240397,0.003784134658,0,0,1,0,0,1,0,-0,0,0,0,0,0.008302905183,0
9,back,299,1235,1.135397884,0.003784659613,0,0,1,1,0,1,0,-0,0,0,0,0,0.00609806027,0
10,dec,300,1245,1.134990779,0.003783302597,0,0,1,0,0,1,0,-0,0,0,0,0,0.006755098341,0
11,back,299,1238,1.135613332,0.003785377773,0,0,1,1,0,1,0,-0,0,0,0,0,0.004556521008,0
12,dec,300,1245,1.134879969,0.003782933229,0,0,1,0,0,1,0,-0,0,0,0,0,0.005937465626,0
13,back,299,1235,1.135659574,0.003785531912,0,0,1,1,0,1,0,-0,0,0,0,0,0.004762165931,0
14,dec,300,1245,1.134924678,0.00378308226,0,0,1,0,0,1,0,-0,0,0,0,0,0.005733120998,0
15,back,299,1238,1.135522641,0.00378507547,0,0,1,1,0,1,0,-0,0,0,0,0,0.004337408567,0
16,dec,300,1245,1.135091467,0.003783638223,0,0,1,0,0,1,0,-0,0,0,0,0,0.005481162452,0
17,dec,299,1235,1.135375561,0.003784585203,0,0,1,1,0,1,0,-0,0,0,0,0,0.004979900249,0
18,back,298,1228,1.135184325,0.003783947749,0,0,1,2,0,1,0,-0,0,0,0,0,0.004142113208,0
19,dec,299,1235,1.135303521,0.003784345071,0,0,1,1,0,1,0,-0,0,0,0,0,0.004721148114,0
20,back,298,1228,1.135247949,0.003784159831,0,0,1,2,0,1,0,-0,0,0,0,0,0.003578206548,0
21,dec,299,1235,1.135242968,0.003784143226,0,0,1,1,0,1,0,-0,0,0,0,0,0.004356590639,0
22,back,298,1228,1.135316655,0.00378438885,0,0,1,2,0,1,0,-0,0,0,0,0,0.003445504613,0
23,dec,299,1235,1.13516604,0.003783886799,0,0,1,1,0,1,0,-0,0,0,0,0,0.00369356278,0
24,back,298,1228,1.135380265,0.003784600882,0,0,1,2,0,1,0,-0,0,0,0,0,0.002968751688,0
25,dec,299,1235,1.135136846,0.003783789487,0,0,1,1,0,1,0,-0,0,0,0,0,0.003227811339,0
26,back,298,1228,1.135379998,0.003784599993,0,0,1,2,0,1,0,-0,0,0,0,0,0.002585213808,0
27,dec,299,1235,1.135158922,0.003783863073,0,0,1,1,0,1,0,-0,0,0,0,0,0.003675447016,0
28,back,298,1228,1.135347717,0.00378449239,0,0,1,2,0,1,0,-0,0,0,0,0,0.002889045988,0
29,dec,299,1235,1.135196618,0.003783988725,0,0,1,1,0,1,0,-0,0,0,0,0,0.003146158514,0
30,back,298,1228,1.135315,0.003784383334,0,0,1,2,0,1,0,-0,0,0,0,0,0.00276665221,0
31,dec,299,1235,1.135218937,0.003784063123,0,0,1,1,0,1,0,-0,0,0,0,0,0.002392486632,0
32,back,298,1228,1.135294053,0.003784313509,0,0,1,2,0,1,0,-0,0,0,0,0,0.002626136907,0
33,dec,299,1235,1.135244428,0.003784148094,0,0,1,1,0,1,0,-0,0,0,0,0,0.002001105424,0
34,back,298,1228,1.135262481,0.00378420827,0,0,1,2,0,1,0,-0,0,0,0,0,0.002503159143,0
35,dec,299,1235,1.135277434,0.003784258113,0,0,1,1,0,1,0,-0,0,0,0,0,0.001839749787,0
36,dec,298,1228,1.135232151,0.003784107168,0,0,1,2,0,1,0,-0,0,0,0,0,0.002246492731,0
37,back,297,1218,1.130857379,0.003769524596,1,0,0.9956423485,3,0,1,0,-0,0,0,0,0,0.003826129977,0.186820997
38,dec,298,1228,1.135228075,0.003784093585,1,0,0.9956423485,2,0,1,0,-0,0,0,0,0,0.004128948923,0.2009711137
39,back,297,1218,1.130860148,0.003769533826,1,0,0.9956279395,3,0,1,0,-0,0,0,0,0,0.004144151973,0.2000628867
40,dec,298,1228,1.135258012,0.003784193373,1,0,0.9956279395,2,0,1,0,-0,0,0,0,0,0.004469759418,0.2114888061
41,back,297,1218,1.130905385,0.003769684617,1,0,0.9956279395,3,0,1,0,-0,0,0,0,0,0.004507460894,0.2126630512
42,dec,298,1228,1.135297995,0.003784326649,1,0,0.9956279395,2,0,1,0,-0,0,0,0,0,0.004206951644,0.197981543
43,back,297,1218,1.13093232,0.003769774401,1,0,0.9956279395,3,0,1,0,-0,0,0,0,0,0.004015341169,0.1900665338
44,dec,298,1228,1.135309551,0.003784365171,1,0,0.9956279395,2,0,1,0,-0,0,0,0,0,0.003875184821,0.1836705168
45,back,297,1218,1.130933207,0.003769777357,1,0,0.9956279395,3,0,1,0,-0,0,0,0,0,0.003537407476,0.1674261834
46,dec,298,1228,1.135306532,0.003784355108,1,0,0.9956279395,2,0,1,0,-0,0,0,0,0,0.003515609491,0.1658796237
47,back,297,1218,1.130929849,0.003769766164,1,0,0.9956279395,3,0,1,0,-0,0,0,0,0,0.003596236143,0.1698936251
48,dec,298,1228,1.135301776,0.003784339254,1,0,0.9956279395,2,0,1,0,-0,0,0,0,0,0.003682156434,0.174278258
49,back,297,1218,1.130925422,0.003769751405,1,0,0.9956279395,3,0,1,0,-0,0,0,0,0,0.003711886755,0.1765948853
50,dec,298,1228,1.13530305,0.003784343502,1,0,0.9956279395,2,0,1,0,-0,0,0,0,0,0.003780121644,0.1795282568
51,back,297,1218,1.130926888,0.003769756294,1,0,0.9956279395,3,0,1,0,-0,0,0,0,0,0.003726816104,0.1774565528
52,dec,298,1228,1.135304133,0.00378434711,1,0,0.9956279395,2,0,1,0,-0,0,0,0,0,0.003714530002,0.1762378258
53,back,297,1218,1.130929504,0.003769765013,1,0,0.9956279395,3,0,1,0,-0,0,0,0,0,0.003689534477,0.1755557385
54,dec,298,1228,1.135304502,0.003784348339,1,0,0.9956279395,2,0,1,0,-0,0,0,0,0,0.003679634435,0.1744027788
55,dec,297,1218,1.130929211,0.003769764038,1,0,0.9956279395,3,0,1,0,-0,0,0,0,0,0.003663244803,0.1742860614
56,back,296,1215,1.123358264,0.003744527547,2,0,0.9925180855,4,0,1,0,-0,0,0,0,0,0.006912415016,0.1868605856
57,dec,297,1218,1.130888045,0.003769626818,2,0,0.9925180855,3,0,1,0,-0,0,0,0,0,0.006649092826,0.1762504204
58,back,296,1215,1.123442806,0.003744809354,2,0,0.9924578144,4,0,1,0,-0,0,0,0,0,0.007013612668,0.1860538031
59,dec,297,1218,1.130901397,0.003769671322,2,0,0.9924578144,3,0,1,0,-0,0,0,0,0,0.00713829984,0.1955316263
60,back,296,1215,1.123420682,0.003744735608,2,0,0.9924578144,4,0,1,0,-0,0,0,0,0,0.007171786723,0.193478555
61,dec,297,1218,1.130895419,0.003769651397,2,0,0.9924578144,3,0,1,0,-0,0,0,0,0,0.007132756962,0.1929673
62,back,296,1215,1.12344013,0.003744800434,2,0,0.9924578144,4,0,1,0,-0,0,0,0,0,0.00719731643,0.193148308
63,dec,297,1218,1.13089016,0.003769633868,2,0,0.9924578144,3,0,1,0,-0,0,0,0,0,0.0069959375,0.1891543999
64,back,296,1215,1.123438658,0.003744795525,2,0,0.9924578144,4,0,1,0,-0,0,0,0,0,0.007011836549,0.1884499067
65,dec,297,1218,1.130886183,0.00376962061,2,0,0.9924578144,3,0,1,0,-0,0,0,0,0,0.007027893469,0.1893433325
66,back,296,1215,1.123438058,0.003744793525,2,0,0.9924578144,4,0,1,0,-0,0,0,0,0,0.006946945947,0.1875042604
67,dec,297,1218,1.130878918,0.003769596393,2,0,0.9924578144,3,0,1,0,-0,0,0,0,0,0.006970399036,0.1878208847
68,back,296,1215,1.12343532,0.0037447844,2,0,0.9924578144,4,0,1,0,-0,0,0,0,0,0.006991500937,0.1886649174
69,dec,297,1218,1.130879971,0.003769599902,2,0,0.9924578144,3,0,1,0,-0,0,0,0,0,0.007044817187,0.1895532598
70,back,296,1215,1.123432047,0.00374477349,2,0,0.9924578144,4,0,1,0,-0,0,0,0,0,0.0069914554,0.1884473279
71,dec,297,1218,1.130878755,0.003769595849,2,0,0.9924578144,3,0,1,0,-0,0,0,0,0,0.007001535539,0.1885412486
72,back,296,1215,1.123431868,0.003744772895,2,0,0.9924578144,4,0,1,0,-0,0,0,0,0,0.0069894186,0.1884370743
73,dec,297,1218,1.130877949,0.003769593165,2,0,0.9924578144,3,0,1,0,-0,0,0,0,0,0.007010529618,0.1888403431
74,dec,296,1215,1.123431065,0.003744770217,2,0,0.9924578144,4,0,1,0,-0,0,0,0,0,0.006983627227,0.1882555726
75,back,295,1209,1.109883602,0.003699612007,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.008639114709,0.4379064902
76,dec,296,1215,1.123346748,0.003744489161,2,0,0.9863577639,4,0,1,0,-0,0,0,0,0,0.007516832627,0.4610394122
77,back,295,1209,1.109941865,0.003699806217,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.007596970831,0.4384951111
78,dec,296,1215,1.123452872,0.003744842905,2,0,0.9863577639,4,0,1,0,-0,0,0,0,0,0.006903778489,0.4153805669
79,back,295,1209,1.110017568,0.003700058561,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.006859172124,0.401550188
80,dec,296,1215,1.123521593,0.003745071976,2,0,0.9863577639,4,0,1,0,-0,0,0,0,0,0.006817306246,0.3946934909
81,back,295,1209,1.110148361,0.003700494535,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.007137984534,0.4094844275
82,dec,296,1215,1.123547983,0.003745159943,2,0,0.9863577639,4,0,1,0,-0,0,0,0,0,0.007244180066,0.4216866641
83,back,295,1209,1.110139124,0.003700463745,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.007142202493,0.4242148267
84,dec,296,1215,1.123560401,0.003745201336,2,0,0.9863577639,4,0,1,0,-0,0,0,0,0,0.007331209838,0.4337735471
85,back,295,1209,1.110151757,0.003700505856,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.007360124416,0.4326319676
86,dec,296,1215,1.123547343,0.003745157809,2,0,0.9863577639,4,0,1,0,-0,0,0,0,0,0.007536665412,0.4387898149
87,back,295,1209,1.110143833,0.003700479443,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.007415631865,0.4329501176
88,dec,296,1215,1.123543986,0.003745146619,2,0,0.9863577639,4,0,1,0,-0,0,0,0,0,0.007599178462,0.4406824673
89,back,295,1209,1.110133569,0.00370044523,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.007479033041,0.4383486731
90,dec,296,1215,1.123540593,0.00374513531,2,0,0.9863577639,4,0,1,0,-0,0,0,0,0,0.007521814592,0.4395078845
91,back,295,1209,1.110138,0.003700460001,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.00735099629,0.4322608504
92,dec,296,1215,1.123541864,0.003745139546,2,0,0.9863577639,4,0,1,0,-0,0,0,0,0,0.007449660292,0.4351676966
93,dec,295,1209,1.110135671,0.003700452235,2,0,0.9863577639,5,0,1,0,-0,0,0,0,0,0.007337752921,0.4314949473
94,back,294,1198,1.092529155,0.003641763849,2,0,0.9823993352,6,0,1,0,-0,0,0,0,0,0.00621828559,0.3985952924
95,dec,295,1209,1.109997049,0.003699990162,2,0,0.9823993352,5,0,1,0,-0,0,0,0,0,0.005849911383,0.3735342371
96,back,294,1198,1.092372461,0.003641241536,2,0,0.9823219112,6,0,1,0,-0,0,0,0,0,0.006179210344,0.3878361939
97,dec,295,1209,1.110129623,0.003700432076,2,0,0.9823219112,5,0,1,0,-0,0,0,0,0,0.006133481236,0.3660057363
98,back,294,1198,1.092510236,0.003641700787,2,0,0.9822680163,6,0,1,0,-0,0,0,0,0,0.006462757834,0.3844407898
99,dec,295,1209,1.110141914,0.003700473047,2,0,0.9822680163,5,0,1,0,-0,0,0,0,0,0.006287495145,0.380439713
100,back,294,1198,1.092611747,0.003642039156,2,0,0.9822680163,6,0,1,0,-0,0,0,0,0,0.006520677356,0.3967051588
101,dec,295,1209,1.110120418,0.003700401394,2,0,0.9822680163,5,0,1,0,-0,0,0,0,0,0.00661371621,0.4056099441
102,back,294,1198,1.092586418,0.003641954725,2,0,0.9822680163,6,0,1,0,-0,0,0,0,0,0.006322085639,0.3894555868
103,dec,295,1209,1.110124477,0.003700414924,2,0,0.9822680163,5,0,1,0,-0,0,0,0,0,0.006130811154,0.3787141331
104,back,294,1198,1.092594333,0.003641981109,2,0,0.9822680163,6,0,1,0,-0,0,0,0,0,0.006147203141,0.3765393277
105,dec,295,1209,1.110098324,0.003700327746,2,0,0.9822680163,5,0,1,0,-0,0,0,0,0,0.006180653388,0.3807758921
106,back,294,1198,1.092565977,0.003641886591,2,0,0.9822680163,6,0,1,0,-0,0,0,0,0,0.006069458733,0.3714545679
107,dec,295,1209,1.11005622,0.003700187399,2,0,0.9822680163,5,0,1,0,-0,0,0,0,0,0.005998771661,0.3688522952
108,back,294,1198,1.092532505,0.003641775018,2,0,0.9822680163,6,0,1,0,-0,0,0,0,0,0.005979367987,0.3655945725
109,dec,295,1209,1.110038486,0.003700128286,2,0,0.9822680163,5,0,1,0,-0,0,0,0,0,0.00604410019,0.3714028939
110,back,294,1198,1.092525734,0.003641752445,2,0,0.9822680163,6,0,1,0,-0,0,0,0,0,0.006070386688,0.3698260025
111,dec,295,1209,1.110036203,0.003700120677,2,0,0.9822680163,5,0,1,0,-0,0,0,0,0,0.006095886203,0.3736902802
112,dec,294,1198,1.092517943,0.003641726478,2,0,0.9822680163,6,0,1,0,-0,0,0,0,0,0.006045228273,0.3683486251
113,back,293,1190,1.073461351,0.003578204505,2,0,0.9810340784,7,0,1,0,-0,0,0,0,0,0.009454386194,0.4622901232
114,dec,294,1198,1.092307196,0.003641023988,2,0,0.9810340784,6,0,1,0,-0,0,0,0,0,0.008155382562,0.3765300703
115,back,293,1190,1.073527338,0.003578424458,3,0,0.9809119507,7,0,1,0,-0,0,0,0,0,0.00647172642,0.6190221724
116,dec,294,1198,1.092634845,0.003642116151,2,0,0.9809119507,6,0,1,0,-0,0,0,0,0,0.007604491751,0.3383182461
117,back,293,1190,1.073273427,0.003577578089,2,0,0.9809082405,7,0,1,0,-0,0,0,0,0,0.007955996577,0.3256181642
118,dec,294,1198,1.092701587,0.003642338625,3,0,0.9809082405,6,0,1,0,-0,0,0,0,0,0.006922477185,0.5949977283
119,back,293,1190,1.073469002,0.003578230006,2,0,0.9808567477,7,0,1,0,-0,0,0,0,0,0.006895731437,0.3026678804
120,dec,294,1198,1.092433529,0.003641445098,2,0,0.9808567477,6,0,1,0,-0,0,0,0,0,0.007892541683,0.3419156174
121,back,293,1190,1.073534656,0.003578448854,3,0,0.9808567477,7,0,1,0,-0,0,0,0,0,0.007330307277,0.6130855606
122,dec,294,1198,1.092740132,0.003642467106,2,0,0.9808567477,6,0,1,0,-0,0,0,0,0,0.007782564217,0.335514549
123,back,293,1190,1.073248439,0.003577494795,2,0,0.9808025794,7,0,1,0,-0,0,0,0,0,0.007547059941,0.3226711875
124,dec,294,1198,1.092747314,0.003642491047,3,0,0.9808025794,6,0,1,0,-0,0,0,0,0,0.007198069969,0.6216967763
125,back,293,1190,1.073540028,0.003578466759,2,0,0.9807844997,7,0,1,0,-0,0,0,0,0,0.007660426446,0.3305521922
126,dec,294,1198,1.092462897,0.00364154299,2,0,0.9807844997,6,0,1,0,-0,0,0,0,0,0.007468271412,0.3255572296
127,back,293,1190,1.073547085,0.003578490283,3,0,0.9807844997,7,0,1,0,-0,0,0,0,0,0.006830431349,0.5910105145
128,dec,294,1198,1.092746441,0.003642488137,2,0,0.9807844997,6,0,1,0,-0,0,0,0,0,0.007469881492,0.3224686171
129,back,293,1190,1.073258177,0.003577527256,2,0,0.9807844997,7,0,1,0,-0,0,0,0,0,0.007491100083,0.3241862721
130,dec,294,1198,1.092765295,0.003642550984,3,0,0.9807844997,6,0,1,0,-0,0,0,0,0,0.006981479824,0.6038763155
131,dec,293,1190,1.073542773,0.003578475911,2,0,0.9807844997,7,0,1,0,-0,0,0,0,0,0.007475086607,0.3204917989
132,back,292,1178,1.053134613,0.003510448709,3,0,0.9805075474,8,0,1,0,-0,0,0,0,0,0.007415592657,0.6938559471
133,dec,293,1190,1.073367655,0.003577892183,3,0,0.9805075474,7,0,1,0,-0,0,0,0,0,0.007774531923,0.6948635604
134,back,292,1178,1.052973618,0.00350991206,2,0,0.9798648596,8,0,1,0,-0,0,0,0,0,0.009236179359,0.5183128323
