config	runs	sat	sp_nonconvergence	mean_max_drop	mean_max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	mean_auc_per_step	mean_steps	mean_wall_seconds
certainty	5	1	4	0.4572523113787361	0.4572523113787361	0.0009972213982528428	0.013740073818142701	0.013741630540095348	1.5679751599939018	1670.8	0.4529013915976975
polarization	5	1	4	0.4956047552999999	0.05564045410000007	0.0013327985388222993	0.016147819574035667	0.015736753059034235	1.589080903361726	1247.0	0.4323302892036736
gamma005	5	1	4	0.4715981411200036	0.4715981411200036	0.0010870062225390952	0.01301325324421199	0.013014785519365666	1.5633031728548776	1532.2	0.42340701759676447
gamma010	5	1	4	0.4753386776400035	0.4753386776400035	0.0011601305320089335	0.013479996672122413	0.01348186969483749	1.5730796790938217	1417.6	0.40542278020293454
gamma025	5	1	4	0.48319468280000333	0.48319468280000333	0.0012188250521096094	0.014092816274863954	0.014094950672271091	1.569609724753415	1325.6	0.4132738090062048
gamma050	5	1	4	0.49255871039946186	0.49255871039946186	0.0011991473677955304	0.014140965377174117	0.014143088336048779	1.6084749442265462	1276.0	0.38829872800270093
