START ALGORITHM:
I am going to build an instance with N: 300 variables and 1245 clauses with a clause density equal to 4.15
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
300 1245 1.38774508 0.00462581693 4.15
300 1245 1.38539792 0.00461799307 4.15
300 1245 1.38660797 0.00462202657 4.15
300 1245 1.38552523 0.00461841742 4.15
300 1245 1.38577036 0.00461923452 4.15
300 1245 1.3866838 0.00462227932 4.15
300 1245 1.38679823 0.00462266075 4.15
300 1245 1.38612761 0.00462042537 4.15
300 1245 1.38582896 0.00461942986 4.15
299 1243 1.3865631 0.004621877 4.15719064
299 1237 1.38602657 0.00462008858 4.13712375
299 1237 1.38596782 0.00461989274 4.13712375
299 1237 1.38638631 0.00462128769 4.13712375
299 1237 1.38657307 0.00462191024 4.13712375
299 1237 1.38628919 0.00462096398 4.13712375
299 1237 1.3860354 0.00462011801 4.13712375
299 1237 1.38618353 0.00462061176 4.13712375
299 1237 1.38644916 0.00462149719 4.13712375
299 1237 1.38642304 0.00462141012 4.13712375
298 1235 1.38625393 0.00462084644 4.1442953
298 1235 1.38622397 0.00462074655 4.1442953
298 1235 1.38622793 0.00462075977 4.1442953
298 1235 1.38621717 0.00462072389 4.1442953
298 1235 1.38637401 0.00462124671 4.1442953
298 1235 1.38633397 0.00462111323 4.1442953
298 1235 1.3863258 0.00462108601 4.1442953
298 1235 1.38630907 0.00462103024 4.1442953
298 1235 1.38629607 0.00462098691 4.1442953
298 1235 1.38629834 0.00462099448 4.1442953
297 1223 1.38102885 0.00460342952 4.11784512
297 1223 1.38100025 0.00460333418 4.11784512
297 1223 1.38103585 0.00460345282 4.11784512
297 1223 1.3810489 0.00460349633 4.11784512
297 1223 1.38104431 0.00460348102 4.11784512
297 1223 1.38104741 0.00460349136 4.11784512
297 1223 1.38104284 0.00460347612 4.11784512
297 1223 1.38104192 0.00460347306 4.11784512
297 1223 1.38103909 0.00460346363 4.11784512
297 1223 1.38103713 0.00460345711 4.11784512
296 1220 1.37407792 0.00458025973 4.12162162
296 1220 1.37398854 0.0045799618 4.12162162
296 1220 1.37394583 0.00457981944 4.12162162
296 1220 1.37392888 0.00457976294 4.12162162
296 1220 1.37400013 0.00458000043 4.12162162
296 1220 1.37401228 0.00458004093 4.12162162
296 1220 1.37398742 0.00457995808 4.12162162
296 1220 1.37397162 0.00457990539 4.12162162
296 1220 1.37399564 0.00457998545 4.12162162
296 1220 1.37402032 0.00458006772 4.12162162
295 1209 1.36628545 0.00455428484 4.09830508
295 1209 1.36639468 0.00455464893 4.09830508
295 1209 1.36644706 0.00455482353 4.09830508
295 1209 1.36651269 0.00455504231 4.09830508
