# scorer=cert K=3 N=300 M=1245 seed=2 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 temp=0.01 shortlist=10 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,300,1245,1.929637424,0.006432124747,73,0,1,0
1,back,299,1242,1.929306617,0.006431022056,1,0,0.9998779424,1
2,dec,300,1245,1.929263382,0.006430877941,1,0,0.9998779424,0
3,back,299,1240,1.929521267,0.006431737556,0,0,0.9998779424,1
4,dec,300,1245,1.929357786,0.006431192619,0,0,0.9998779424,0
5,back,299,1241,1.92788927,0.006426297565,0,0,0.9985030337,1
6,dec,300,1245,1.92936636,0.006431221201,0,0,0.9985030337,0
7,back,299,1239,1.92940109,0.006431336966,0,0,0.9985030337,1
8,dec,300,1245,1.929376045,0.006431253482,0,0,0.9985030337,0
9,back,299,1242,1.929272992,0.006430909972,1,0,0.9985030337,1
10,dec,300,1245,1.929372865,0.006431242885,1,0,0.9985030337,0
11,back,299,1240,1.929389201,0.006431297335,0,0,0.9985030337,1
12,dec,300,1245,1.929395456,0.006431318187,0,0,0.9985030337,0
13,back,299,1235,1.925393706,0.006417979021,0,0,0.9960134429,1
14,dec,300,1245,1.929375056,0.006431250186,0,0,0.9960134429,0
15,back,299,1240,1.929401564,0.006431338546,0,0,0.9960134429,1
16,dec,300,1245,1.929374573,0.006431248576,0,0,0.9960134429,0
17,dec,299,1241,1.927921064,0.006426403546,0,0,0.9960134429,1
18,back,298,1230,1.924432018,0.006414773393,2,0,0.9960134429,2
19,dec,299,1241,1.927899336,0.00642633112,2,0,0.9960134429,1
20,back,298,1236,1.927909104,0.006426363679,0,0,0.9960134429,2
21,dec,299,1240,1.929379288,0.006431264294,0,0,0.9960134429,1
22,back,298,1230,1.925410305,0.006418034352,0,0,0.9960134429,2
23,dec,299,1240,1.929362032,0.006431206772,0,0,0.9960134429,1
24,back,298,1234,1.929387925,0.006431293083,1,0,0.9960134429,2
25,dec,299,1240,1.929378698,0.006431262327,0,0,0.9960134429,1
26,back,298,1232,1.927140282,0.006423800941,1,0,0.9960134429,2
27,dec,299,1240,1.929383356,0.006431277853,1,0,0.9960134429,1
28,back,298,1227,1.926007547,0.006420025158,0,0,0.9960134429,2
29,dec,299,1240,1.929379341,0.006431264469,0,0,0.9960134429,1
30,back,298,1237,1.929271854,0.006430906179,1,0,0.9960134429,2
31,dec,299,1240,1.929376166,0.006431253886,1,0,0.9960134429,1
32,back,298,1234,1.929387112,0.006431290372,0,0,0.9960134429,2
33,dec,299,1240,1.929386944,0.006431289813,0,0,0.9960134429,1
34,back,298,1227,1.926002807,0.006420009355,0,0,0.9960134429,2
35,dec,299,1240,1.929379344,0.006431264479,0,0,0.9960134429,1
36,dec,298,1236,1.927909218,0.006426364059,0,0,0.9960134429,2
37,back,297,1223,1.924527505,0.006415091684,0,0,0.9960134429,3
38,dec,298,1236,1.927916447,0.006426388157,0,0,0.9960134429,2
39,back,297,1231,1.927906246,0.006426354154,0,0,0.9960134429,3
40,dec,298,1235,1.92938751,0.006431291699,0,0,0.9960134429,2
41,back,297,1225,1.926546784,0.006421822614,1,0,0.9960134429,3
42,dec,298,1235,1.92939213,0.006431307102,1,0,0.9960134429,2
43,back,297,1232,1.929273671,0.006430912236,1,0,0.9960134429,3
44,dec,298,1235,1.929392583,0.00643130861,1,0,0.9960134429,2
45,back,297,1232,1.929262422,0.00643087474,1,0,0.9960134429,3
46,dec,298,1235,1.929383198,0.006431277327,1,0,0.9960134429,2
47,back,297,1227,1.927140994,0.006423803313,1,0,0.9960134429,3
48,dec,298,1235,1.929380505,0.006431268351,1,0,0.9960134429,2
49,back,297,1227,1.927142213,0.006423807375,1,0,0.9960134429,3
50,dec,298,1235,1.929380799,0.00643126933,1,0,0.9960134429,2
51,back,297,1225,1.925411391,0.006418037969,0,0,0.9960134429,3
52,dec,298,1235,1.92938172,0.0064312724,0,0,0.9960134429,2
53,back,297,1229,1.929381546,0.006431271821,0,0,0.9960134429,3
