# scorer=macro-default K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=1 parisi_audit=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged
38,dec,268,987,2.279938066,0.007599793553,2,0,0.9823316161,32,0.9846066222,0.9870159911,-0.002444047971,0.01306903797,0.01322638836,1
39,dec,267,977,2.264894503,0.007549648343,2,0,0.9823316161,33,0.983327387,0.9853135671,-0.00201781923,0.0147953462,0.01481748195,1
40,dec,266,968,2.246950694,0.007489835645,3,0,0.9823316161,34,0.9820505473,0.9826726714,-0.0006332943681,0.01747920374,0.01785416228,1
41,dec,265,960,2.227968123,0.007426560409,2,0,0.9820505473,35,0.9799437804,0.980900254,-0.0009755734058,0.01928450249,0.01892526443,1
42,exchange,264,953,2.207872372,0.007359574574,3,0,0.9799437804,36,0.9909331868,0.9813594836,0.009708273528,0.01881644042,0.01813336802,1
43,dec,264,953,2.21664427,0.007388814234,2,0,0.9799437804,36,0.9819217782,1,-0.01824362944,-0,0,0
44,dec,263,945,2.19823242,0.007327441398,2,0,0.9799437804,37,0.980809172,0.9837051786,-0.002948320184,0.01642904207,0.01687948612,1
45,dec,262,937,2.178115245,0.007260384151,2,0,0.9799437804,38,0.9786519151,0.9798443494,-0.001217704129,0.02036154704,0.02009617659,1
46,dec,261,930,2.15651207,0.007188373567,2,0,0.9786519151,39,0.9781584495,0.9786161759,-0.0004678376183,0.02161577065,0.0217922564,1
47,dec,260,926,2.135139707,0.007117132358,3,0,0.9781584495,40,0.9773699317,0.979311667,-0.00198472346,0.02090533476,0.02100056112,1
48,exchange,259,923,2.11226519,0.007040883966,2,0,0.9773699317,41,0.9770808747,0.9767371194,0.0003518806194,0.02353773233,0.0229507031,1
49,dec,259,917,2.112113528,0.007040378427,3,0,0.9770808747,41,0.9782373015,1,-0.02200299879,-0,0,0
50,exchange,258,914,2.088448972,0.006961496573,2,0,0.9770808747,42,0.9764964698,0.9760551023,0.0004520930227,0.02423623688,0.02374644574,1
51,dec,258,909,2.087956788,0.006959855959,4,0,0.9764964698,42,0.9917670583,1,-0.008267019532,-0,0,0
52,dec,257,897,2.079542947,0.006931809822,4,0,0.9764964698,43,0.9766151851,0.9778278758,-0.001240958008,0.02242162057,0.02176129552,1
53,dec,256,894,2.056062331,0.006853541103,3,0,0.9764964698,44,0.9768988275,0.9782827167,-0.001415612188,0.02195657434,0.02136558843,1
54,exchange,255,888,2.031280677,0.006770935591,4,0,0.9764964698,45,0.9767972924,0.9758705819,0.0009491736924,0.02442530183,0.02465446665,1
55,dec,255,890,2.031853461,0.00677284487,5,0,0.9764964698,45,0.9794052724,1,-0.02080975641,-0,0,0
56,exchange,254,884,2.010432605,0.006701442017,3,0,0.9764964698,46,0.977685673,0.9764542943,0.001260277062,0.0238273354,0.02349132677,1
57,dec,254,880,2.010455178,0.00670151726,3,0,0.9764964698,46,1,1,0,-0,0,0
58,dec,253,878,2.010463985,0.006701546616,0,0,0.9764964698,47,0.9782655726,0.9785374907,-0.0002779208258,0.02169617838,0.02090725293,1
59,exchange,252,875,1.987349012,0.006624496708,3,0,0.9764964698,48,0.9777880493,0.9768266549,0.0009837176334,0.02344606862,0.02309321623,1
60,dec,252,875,1.987264938,0.00662421646,3,0,0.9764964698,48,0.9781556015,1,-0.0220865199,-0,0,0
61,exchange,251,869,1.964399905,0.006547999684,3,0,0.9764964698,49,0.9790425196,0.9781117651,0.0009511304936,0.0221313362,0.02295019143,1
62,dec,251,872,1.964593336,0.006548644452,4,0,0.9764964698,49,0.9773518394,1,-0.02290856953,-0,0,0
63,exchange,250,866,1.942052396,0.006473507988,4,0,0.9764964698,50,0.9777943908,0.9768950266,0.0009202119468,0.02337607732,0.02254423477,1
64,dec,250,864,1.940901888,0.006469672961,5,0,0.9764964698,50,0.9920346962,1,-0.007997196264,-0,0,0
65,exchange,249,862,1.932710422,0.006442368074,2,0,0.9764964698,51,0.9791656402,0.977645623,0.001553565773,0.02260802331,0.02237833117,1
66,dec,249,865,1.93301884,0.006443396135,5,0,0.9764964698,51,0.9781113255,1,-0.02213178572,-0,0,0
67,exchange,248,859,1.910853515,0.006369511716,4,0,0.9764964698,52,0.9780864742,0.9777073069,0.0003877375509,0.02254493096,0.02165171635,1
68,dec,248,854,1.910990289,0.006369967628,4,0,0.9764964698,52,0.9790136937,1,-0.02120964908,-0,0,0
69,dec,247,851,1.889203561,0.006297345204,3,0,0.9764964698,53,0.9766978435,0.9786944684,-0.002042173883,0.02153577057,0.0210590066,1
70,exchange,246,850,1.86603521,0.006220117365,4,0,0.9764964698,54,0.9772471079,0.9768588546,0.0003973717323,0.02341310552,0.02321751726,1
71,dec,246,846,1.865416699,0.006218055663,4,0,0.9764964698,54,0.9791041472,1,-0.02111726088,-0,0,0
72,dec,245,845,1.844284065,0.00614761355,4,0,0.9764964698,55,0.9785859924,0.9786944644,-0.0001108395088,0.02153577465,0.02010607645,1
73,dec,244,840,1.823479728,0.006078265761,5,0,0.9764964698,56,0.9767146219,0.978941363,-0.002277232977,0.02128353299,0.02160147594,1
74,exchange,243,835,1.800252083,0.006000840276,4,0,0.9764964698,57,0.9788286332,0.9777157657,0.001137584774,0.02253627928,0.02320868489,1
75,dec,243,833,1.793706699,0.00597902233,4,0,0.9764964698,57,0.9871829403,1,-0.01289990688,-0,0,0
76,exchange,242,828,1.78025242,0.005934174734,4,0,0.9764964698,58,0.9801788854,0.9780949597,0.00212832995,0.0221485178,0.0222858899,1
77,dec,242,831,1.782317559,0.005941058529,4,0,0.9764964698,58,0.9866422635,1,-0.0134477536,-0,0,0
78,dec,241,826,1.768598092,0.005895326975,4,0,0.9764964698,59,0.9791147121,0.9809968137,-0.001920403199,0.01918606744,0.01957649018,1
79,exchange,240,821,1.746199177,0.005820663922,3,0,0.9764964698,60,0.9788519056,0.9780677229,0.000801446103,0.02217636506,0.02241726056,1
80,dec,240,818,1.74723697,0.005824123233,3,0,0.9764964698,60,0.9782876023,1,-0.02195158032,-0,0,0
81,dec,239,813,1.726131148,0.005753770493,4,0,0.9764964698,61,0.9748566063,0.9788929613,-0.004131912148,0.02133297714,0.02084110831,1
82,exchange,238,809,1.703151226,0.005677170752,3,0,0.9748566063,62,0.980282473,0.9801047324,0.0001813321133,0.02009584321,0.01987007785,1
83,dec,238,809,1.701537504,0.005671791681,5,0,0.9748566063,62,0.9808378831,1,-0.01934808989,-0,0,0
84,dec,237,801,1.681976271,0.00560658757,3,0,0.9748566063,63,0.9781027266,0.9793167775,-0.00124046071,0.0209001163,0.0211525814,1
85,exchange,236,794,1.65798248,0.005526608267,4,0,0.9748566063,64,0.9950393781,0.9803637378,0.0148586486,0.01983161521,0.02007024236,1
86,dec,236,795,1.672662916,0.005575543055,3,0,0.9748566063,64,0.9803001835,1,-0.0198964445,-0,0,0
87,dec,235,787,1.652619459,0.00550873153,3,0,0.9748566063,65,0.9744227755,0.9803020424,-0.006015460139,0.01989454826,0.01971595755,1
88,dec,234,782,1.626537076,0.005421790253,3,0,0.9744227755,66,0.9776285373,0.9805795323,-0.003013977222,0.01961152257,0.01907133044,1
89,exchange,233,778,1.604457126,0.00534819042,4,0,0.9744227755,67,0.9962749527,0.9807965881,0.01565818994,0.01939019247,0.01899207705,1
90,dec,233,779,1.619718994,0.005399063314,3,0,0.9744227755,67,0.9813867292,1,-0.01878867772,-0,0,0
91,dec,232,771,1.600090663,0.005333635543,3,0,0.9744227755,68,0.9733716826,0.9799750154,-0.00676107108,0.02022820215,0.02061831357,1
92,exchange,231,766,1.572787746,0.00524262582,3,0,0.9733716826,69,0.9959227062,0.9797701016,0.01635169637,0.02043732504,0.02030745279,1
93,dec,231,767,1.589071607,0.005296905356,4,0,0.9733716826,69,0.9796056847,1,-0.02060515081,-0,0,0
94,dec,230,762,1.568089104,0.005226963681,3,0,0.9733716826,70,0.9788460401,0.9797497209,-0.0009227845137,0.02045812675,0.01990302332,1
95,dec,229,756,1.546402806,0.00515467602,4,0,0.9733716826,71,0.9736010976,0.9786020626,-0.005123417487,0.02163019243,0.02175870159,1
96,dec,228,750,1.520842877,0.005069476258,6,0,0.9733716826,72,0.9735184263,0.9746779875,-0.001190394597,0.02564813181,0.02596870389,1
97,dec,227,746,1.493831121,0.004979437069,5,0,0.9733716826,73,0.9710002117,0.9737144284,-0.002791379672,0.02663721296,0.0270128952,1
98,exchange,226,736,1.463545461,0.00487848487,5,0,0.9710002117,74,0.9763822416,0.9739071024,0.002538229047,0.02643935734,0.02758115474,1
99,dec,226,730,1.467370298,0.004891234326,8,0,0.9710002117,74,0.9751645909,1,-0.02514901105,-0,0,0
100,exchange,225,724,1.441480844,0.004804936146,5,0,0.9710002117,75,1,0.9784422907,0.0217934712,0.0217934712,0.02145677691,1
101,dec,225,724,1.462937621,0.004876458736,3,0,0.9710002117,75,0.9786321579,1,-0.02159943955,-0,0,0
102,dec,224,716,1.441345355,0.004804484516,3,0,0.9710002117,76,0.9723035962,0.9786824301,-0.006539110547,0.021548071,0.02178842888,1
103,exchange,223,712,1.413127879,0.004710426262,5,0,0.9710002117,77,0.9719102463,0.9714448285,0.0004789838164,0.02897080178,0.02871091216,1
104,dec,223,712,1.413071975,0.004710239917,8,0,0.9710002117,77,0.9724308054,1,-0.02795635729,-0,0,0
105,dec,222,708,1.385103187,0.004617010625,5,0,0.9710002117,78,0.9705434216,0.9718124347,-0.001306674339,0.02859246152,0.02835889463,1
106,exchange,221,698,1.354569155,0.004515230517,7,0,0.9705434216,79,0.9703055997,0.9692208825,0.001118538245,0.03126274412,0.03051620858,1
107,dec,221,701,1.356314354,0.004521047848,8,0,0.9703055997,79,0.9714336883,1,-0.02898226948,-0,0,0
108,exchange,220,692,1.326762529,0.004422541762,5,0,0.9703055997,80,0.9886342082,0.9733269664,0.01560433771,0.02703521378,0.02768643559,1
109,dec,220,694,1.341209867,0.004470699557,5,0,0.9703055997,80,0.9747734739,1,-0.02555016942,-0,0,0
110,dec,219,690,1.315198692,0.00438399564,5,0,0.9703055997,81,0.9711264837,0.9734308131,-0.002370030984,0.02692852696,0.02588632267,1
111,exchange,218,686,1.284577071,0.004281923569,5,0,0.9703055997,82,0.9717901861,0.9689835505,0.002892287217,0.03150764294,0.0301627645,1
112,dec,218,680,1.283641615,0.004278805383,6,0,0.9703055997,82,0.9731851844,1,-0.02718089182,-0,0,0
113,exchange,217,676,1.254876508,0.004182921695,9,0,0.9703055997,83,0.9711165276,0.9699938986,0.001156687572,0.03046549764,0.0300793049,1
114,dec,217,681,1.254575115,0.004181917052,8,0,0.9703055997,83,0.9776211779,1,-0.02263302767,-0,0,0
115,exchange,216,675,1.233837982,0.004112793274,8,0,0.9703055997,84,0.9895887798,0.9720986948,0.01783214575,0.02829794185,0.02689603949,1
116,dec,216,673,1.248546918,0.004161823062,6,0,0.9703055997,84,0.9797921001,1,-0.02041487259,-0,0,0
117,exchange,215,666,1.227445226,0.004091484087,4,0,0.9703055997,85,0.9756641581,0.9746242269,0.001066438539,0.02570329061,0.02615089218,1
118,dec,215,666,1.229721071,0.004099070238,5,0,0.9703055997,85,0.9784662777,1,-0.02176895601,-0,0,0
119,exchange,214,662,1.208025831,0.00402675277,5,0,0.9703055997,86,0.9771053906,0.9745011459,0.002668823081,0.02582958416,0.02600087079,1
120,dec,214,659,1.210486908,0.00403495636,6,0,0.9703055997,86,0.9783641703,1,-0.02187331595,-0,0,0
121,exchange,213,652,1.189179276,0.003963930921,7,0,0.9703055997,87,0.9950608895,0.9737166437,0.02168358962,0.02663493787,0.02555934469,1
122,dec,213,655,1.209928438,0.004033094794,5,0,0.9703055997,87,0.9788177846,1,-0.02140977779,-0,0,0
123,dec,212,648,1.187573936,0.003958579786,3,0,0.9703055997,88,0.9766912121,0.9783642731,-0.001711523204,0.02187321091,0.02244030094,1
124,exchange,211,640,1.162670903,0.003875569676,3,0,0.9703055997,89,0.9761250376,0.9747418869,0.001417985964,0.02558257443,0.02502959496,1
125,dec,211,638,1.162908326,0.003876361088,5,0,0.9703055997,89,0.9760431259,1,-0.02424850714,-0,0,0
126,exchange,210,630,1.13726071,0.003790869033,5,0,0.9703055997,90,0.9753777224,0.974736317,0.000657813299,0.02558828869,0.02565900189,1
127,dec,210,631,1.134728808,0.00378242936,11,0,0.9703055997,90,0.9766278246,1,-0.02364963643,-0,0,0
128,exchange,209,623,1.110693126,0.00370231042,4,0,0.9703055997,91,0.9735574668,0.9732655692,0.0002998707671,0.02709829552,0.02635763085,1
129,dec,209,623,1.110427396,0.003701424653,4,0,0.9703055997,91,0.9728949607,1,-0.02747915673,-0,0,0
130,dec,208,616,1.083273276,0.003610910919,9,0,0.9703055997,92,0.9700132527,0.9717274583,-0.001765638399,0.02867990657,0.02691639269,1
131,dec,207,612,1.052817797,0.003509392657,6,0,0.9700132527,93,0.969516114,0.9697983123,-0.0002910289005,0.03066715456,0.03029955829,1
132,exchange,206,607,1.020809161,0.003402697202,7,0,0.969516114,94,0.9707372713,0.9693049756,0.001476561615,0.03117598427,0.02993404997,1
133,dec,206,611,1.018761372,0.003395871242,7,0,0.969516114,94,0.9711597025,1,-0.02926435201,-0,0,0
134,dec,205,604,0.9899205496,0.003299735165,3,0,0.969516114,95,0.9674733293,0.9683139262,-0.0008684806447,0.03219894039,0.03094911047,1
135,dec,204,602,0.9588406873,0.003196135624,7,0,0.9674733293,96,0.9674147447,0.9695695855,-0.002224944849,0.03090303226,0.02961737982,1
136,exchange,203,596,0.9244475643,0.003081491881,7,0,0.9674147447,97,1,0.9680833303,0.03243711039,0.03243711039,0.03121150311,1
137,dec,203,593,0.9556590674,0.003185530225,6,0,0.9674147447,97,0.9690167726,1,-0.03147335803,-0,0,0
138,dec,202,589,0.924287317,0.003080957723,9,0,0.9674147447,98,0.9663916288,0.9691171126,-0.002816298965,0.03136981517,0.03126595209,1
139,exchange,201,585,0.8891353178,0.002963784393,6,0,0.9663916288,99,0.9828230026,0.9687303203,0.01444277962,0.03176901307,0.03236380909,1
140,dec,201,585,0.9016805757,0.003005601919,9,0,0.9663916288,99,0.9681739989,1,-0.03234345693,-0,0,0
141,dec,200,581,0.8695588018,0.002898529339,7,0,0.9663916288,100,0.9649229647,0.9679533856,-0.003135661924,0.03257134819,0.03192681546,1
142,exchange,199,578,0.831335585,0.002771118617,6,0,0.9649229647,101,0.9695262853,0.961533805,0.008277863542,0.03922555601,0.03785376723,1
143,dec,199,577,0.8321214482,0.002773738161,18,0,0.9649229647,101,0.9721660417,1,-0.02822866429,-0,0,0
144,exchange,198,568,0.8033062913,0.002677687638,6,0,0.9649229647,102,0.9755799186,0.9662858061,0.009572426502,0.03429562303,0.03345250753,1
145,dec,198,571,0.8121185508,0.002707061836,9,0,0.9649229647,102,0.9735236954,1,-0.02683311402,-0,0,0
146,exchange,197,568,0.7837770509,0.00261259017,9,0,0.9649229647,103,0.9686644578,0.9661468024,0.002602483138,0.03443948701,0.03552033715,1
147,dec,197,564,0.7849082908,0.002616360969,11,0,0.9649229647,103,0.9677077283,1,-0.03282517087,-0,0,0
148,exchange,196,561,0.752495306,0.002508317687,10,0,0.9649229647,104,0.9706618269,0.9634434874,0.007464301917,0.03724144627,0.03450329935,1
149,dec,196,565,0.7565255771,0.002521751924,15,0,0.9649229647,104,0.9779381014,1,-0.02230890194,-0,0,0
150,exchange,195,561,0.7322461314,0.002440820438,5,0,0.9649229647,105,0.98750411,0.9723106192,0.01550533832,0.02807995851,0.02765594588,1
151,dec,195,557,0.7466847912,0.002488949304,7,0,0.9649229647,105,0.9731532582,1,-0.02721369823,-0,0,0
152,exchange,194,554,0.7209589316,0.002403196439,13,0,0.9649229647,106,0.9723790053,0.9720742825,0.0003134277124,0.02832305512,0.0270273876,1
153,dec,194,554,0.7171209405,0.002390403135,8,0,0.9649229647,106,0.9751347748,1,-0.02517958697,-0,0,0
154,exchange,193,551,0.6916454557,0.002305484852,6,0,0.9649229647,107,0.9723230564,0.9706118526,0.001761463308,0.02982863045,0.02921264178,1
155,dec,193,548,0.6908873779,0.002302957926,14,0,0.9649229647,107,0.973353743,1,-0.02700770379,-0,0,0
156,dec,192,545,0.6631500372,0.002210500124,9,0,0.9649229647,108,0.9693866355,0.9716091873,-0.002290116018,0.02880162604,0.02886748567,1
157,dec,191,539,0.632361096,0.00210787032,8,0,0.9649229647,109,0.9668359408,0.9705865133,-0.003871718491,0.0298547373,0.03054479232,1
158,dec,190,538,0.5972993262,0.001990997754,14,0,0.9649229647,110,0.963711101,0.9648975468,-0.001230364711,0.03573335238,0.03452356322,1
159,exchange,189,530,0.5590795052,0.001863598351,14,0,0.963711101,111,0.965729537,0.9631015788,0.002724924764,0.03759639117,0.03797568932,1
160,dec,189,534,0.5569843219,0.001856614406,15,0,0.963711101,111,0.9654383677,1,-0.03517301379,-0,0,0
161,dec,188,526,0.5224718301,0.001741572767,10,0,0.963711101,112,0.9638399928,0.9638761484,-3.751138172e-05,0.03679246936,0.03689077509,1
162,exchange,187,522,0.4862489302,0.001620829767,9,0,0.963711101,113,0.9646552375,0.9618505355,0.002911700536,0.03889620885,0.03677882166,1
163,dec,187,523,0.4792787719,0.001597595906,15,0,0.963711101,113,0.9692761531,1,-0.03120571996,-0,0,0
164,exchange,186,519,0.4475443725,0.001491814575,11,0,0.963711101,114,0.9622500471,0.9618009571,0.0004668171554,0.03894775507,0.03790965289,1
165,dec,186,517,0.4470604363,0.001490201454,16,0,0.9622500471,114,0.9691218123,1,-0.03136496574,-0,0,0
166,exchange,185,513,0.4147467739,0.001382489246,7,0,0.9622500471,115,0.9672928218,0.962593686,0.004869866799,0.03812388145,0.03815262078,1
167,dec,185,511,0.4165220237,0.001388406746,15,0,0.9622500471,115,0.9669860384,1,-0.03357122173,-0,0,0
168,exchange,184,505,0.3821135304,0.001273711768,19,0,0.9622500471,116,0.9669297392,0.961479617,0.00565246868,0.03928191336,0.03901044714,1
169,dec,184,502,0.3860118153,0.001286706051,26,0,0.9622500471,116,0.9639829115,1,-0.03668171115,-0,0,0
170,dec,183,498,0.3469142475,0.001156380825,9,0,0.9622500471,117,0.9622261173,0.9628127772,-0.0006095045678,0.03789630224,0.03891178605,1
171,exchange,182,495,0.3081252313,0.001027084104,18,0,0.9622261173,118,0.9652746818,0.9609285903,0.004512606733,0.03985518052,0.0400156812,1
172,dec,182,495,0.3078573395,0.001026191132,24,0,0.9622261173,118,0.9673594409,1,-0.0331851453,-0,0,0
173,exchange,181,492,0.2727307311,0.0009091024371,9,0,0.9622261173,119,0.9655662291,0.9637858445,0.001845578211,0.03688616203,0.03499753958,1
174,dec,181,490,0.2652687134,0.0008842290446,24,0,0.9622261173,119,0.9712381579,1,-0.02918357006,-0,0,0
175,exchange,180,487,0.2368323855,0.0007894412848,12,0,0.9622261173,120,0.963207627,0.9626890312,0.0005385499701,0.03802483606,0.03434461277,1
