# scorer=cert K=3 N=1000 M=4200 seed=15 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=3 rollout_eta=0 eps=0.01 damp=0
step,action,vertex,dir
298,back,570,-1
299,dec,570,0
300,back,570,-1
301,dec,570,0
302,dec,607,0
303,back,607,-1
304,dec,607,0
305,back,607,-1
306,dec,607,0
307,back,607,-1
308,dec,607,0
309,back,607,-1
310,dec,607,0
311,back,607,-1
312,dec,607,0
313,back,607,-1
314,dec,607,0
315,back,607,-1
316,dec,607,0
317,back,607,-1
318,dec,607,0
319,back,607,-1
320,dec,607,0
321,dec,143,0
322,back,143,-1
323,dec,143,0
324,back,143,-1
325,dec,143,0
326,back,143,-1
327,dec,143,0
328,back,143,-1
329,dec,143,0
330,back,143,-1
331,dec,143,0
332,back,143,-1
333,dec,143,0
334,back,143,-1
335,dec,143,0
336,back,143,-1
337,dec,143,0
338,back,143,-1
339,dec,143,0
340,dec,423,1
341,back,143,-1
342,dec,143,0
343,back,143,-1
344,dec,143,0
345,back,143,-1
346,dec,143,0
347,back,143,-1
348,dec,143,0
349,back,143,-1
350,dec,143,0
351,back,143,-1
352,dec,143,0
353,back,143,-1
354,dec,143,0
355,back,143,-1
356,dec,143,0
357,back,143,-1
358,dec,143,0
359,dec,241,0
360,back,241,-1
361,dec,657,1
362,back,143,-1
363,dec,143,0
364,back,143,-1
365,dec,143,0
366,back,143,-1
367,dec,143,0
368,back,143,-1
369,dec,143,0
370,back,143,-1
371,dec,143,0
372,back,143,-1
373,dec,143,0
374,back,143,-1
375,dec,143,0
376,back,143,-1
377,dec,143,0
378,dec,577,0
379,back,577,-1
380,dec,241,0
381,back,241,-1
382,dec,241,0
383,back,241,-1
384,dec,577,0
385,back,577,-1
386,dec,241,0
387,back,241,-1
388,dec,241,0
389,back,241,-1
390,dec,577,0
391,back,577,-1
392,dec,241,0
393,back,241,-1
394,dec,577,0
395,back,577,-1
396,dec,241,0
397,dec,577,0
398,back,241,-1
399,dec,623,0
400,back,623,-1
401,dec,241,0
402,back,241,-1
403,dec,533,1
404,back,577,-1
405,dec,577,0
406,back,143,-1
407,dec,623,0
408,back,623,-1
409,dec,143,0
410,back,607,-1
411,dec,623,0
412,back,623,-1
413,dec,623,0
414,back,623,-1
415,dec,241,0
416,dec,819,0
417,back,819,-1
418,dec,50,1
419,back,50,-1
420,dec,50,1
421,back,50,-1
422,dec,50,1
423,back,50,-1
424,dec,50,1
425,back,50,-1
426,dec,50,1
427,back,50,-1
428,dec,50,1
429,back,50,-1
430,dec,50,1
431,back,50,-1
432,dec,50,1
433,back,50,-1
434,dec,50,1
435,dec,607,0
436,back,50,-1
437,dec,623,0
438,back,241,-1
439,dec,50,1
440,back,50,-1
441,dec,50,1
442,back,50,-1
443,dec,50,1
444,back,50,-1
445,dec,50,1
446,back,50,-1
447,dec,50,1
448,back,50,-1
449,dec,50,1
450,back,50,-1
451,dec,50,1
452,back,50,-1
453,dec,50,1
454,dec,241,0
455,back,50,-1
456,dec,50,1
457,back,50,-1
458,dec,50,1
459,back,50,-1
460,dec,50,1
461,back,50,-1
462,dec,50,1
463,back,50,-1
464,dec,50,1
465,back,50,-1
466,dec,50,1
467,back,50,-1
468,dec,50,1
469,back,50,-1
470,dec,50,1
471,back,50,-1
472,dec,50,1
473,dec,168,1
474,back,168,-1
475,dec,168,1
476,back,168,-1
477,dec,168,1
478,back,168,-1
479,dec,168,1
480,back,168,-1
481,dec,168,1
482,back,168,-1
483,dec,168,1
484,back,168,-1
485,dec,168,1
486,back,168,-1
487,dec,168,1
488,back,168,-1
489,dec,168,1
490,back,168,-1
491,dec,168,1
492,dec,548,1
493,back,548,-1
494,dec,548,1
495,back,548,-1
496,dec,548,1
497,back,548,-1
498,dec,548,1
499,back,548,-1
500,dec,548,1
501,back,548,-1
502,dec,548,1
503,back,548,-1
504,dec,548,1
505,back,548,-1
506,dec,548,1
507,back,548,-1
508,dec,548,1
509,back,548,-1
510,dec,548,1
511,dec,734,1
512,back,734,-1
513,dec,788,0
514,back,788,-1
515,dec,788,0
516,back,788,-1
517,dec,788,0
518,back,788,-1
519,dec,788,0
520,back,788,-1
521,dec,788,0
522,back,788,-1
523,dec,788,0
524,back,788,-1
525,dec,788,0
526,back,788,-1
527,dec,788,0
528,back,788,-1
529,dec,788,0
530,dec,819,0
531,back,788,-1
532,dec,788,0
533,back,788,-1
534,dec,788,0
535,back,788,-1
536,dec,788,0
537,back,788,-1
538,dec,788,0
539,back,788,-1
540,dec,788,0
541,back,788,-1
542,dec,788,0
543,back,788,-1
544,dec,788,0
545,back,788,-1
546,dec,788,0
547,back,788,-1
548,dec,788,0
549,dec,734,1
550,back,788,-1
551,dec,788,0
552,back,734,-1
553,dec,734,1
554,back,734,-1
555,dec,734,1
556,back,734,-1
557,dec,734,1
558,back,734,-1
559,dec,734,1
560,back,734,-1
561,dec,734,1
562,back,734,-1
563,dec,734,1
564,back,734,-1
565,dec,734,1
566,back,734,-1
567,dec,734,1
568,dec,157,1
569,back,734,-1
570,dec,734,1
571,back,734,-1
572,dec,734,1
573,back,734,-1
574,dec,734,1
575,back,734,-1
576,dec,734,1
577,back,734,-1
578,dec,734,1
579,back,734,-1
580,dec,734,1
581,back,734,-1
582,dec,734,1
583,back,734,-1
584,dec,734,1
585,back,734,-1
586,dec,734,1
587,dec,945,0
588,back,734,-1
589,dec,734,1
590,back,788,-1
591,dec,820,1
592,back,820,-1
593,dec,820,1
594,back,820,-1
595,dec,788,0
596,back,548,-1
597,dec,458,1
598,back,734,-1
599,dec,820,1
600,back,820,-1
601,dec,734,1
602,back,734,-1
603,dec,734,1
604,back,734,-1
605,dec,734,1
606,dec,663,0
607,back,663,-1
608,dec,663,0
609,back,663,-1
610,dec,663,0
611,back,663,-1
612,dec,663,0
613,back,663,-1
614,dec,663,0
615,back,663,-1
616,dec,663,0
617,back,663,-1
618,dec,663,0
619,back,663,-1
620,dec,663,0
621,back,663,-1
622,dec,663,0
623,back,663,-1
624,dec,663,0
625,dec,769,1
626,back,769,-1
627,dec,548,1
628,back,663,-1
629,dec,663,0
630,back,663,-1
631,dec,820,1
632,back,820,-1
633,dec,769,1
634,back,769,-1
635,dec,663,0
636,back,663,-1
637,dec,663,0
638,back,663,-1
639,dec,663,0
640,back,663,-1
641,dec,663,0
642,back,663,-1
643,dec,663,0
644,dec,769,1
645,back,769,-1
646,dec,820,1
647,back,663,-1
648,dec,701,1
649,back,701,-1
650,dec,663,0
651,back,663,-1
652,dec,769,1
653,back,769,-1
654,dec,663,0
655,back,663,-1
656,dec,769,1
657,back,769,-1
658,dec,663,0
659,back,663,-1
660,dec,663,0
661,back,663,-1
662,dec,663,0
663,dec,769,1
664,back,769,-1
665,dec,701,1
666,back,663,-1
667,dec,715,1
668,back,715,-1
669,dec,769,1
670,back,769,-1
671,dec,769,1
672,back,769,-1
673,dec,663,0
674,back,663,-1
675,dec,769,1
676,back,769,-1
677,dec,663,0
678,back,663,-1
679,dec,769,1
680,back,769,-1
681,dec,663,0
682,dec,670,0
683,back,670,-1
684,dec,592,1
685,back,592,-1
686,dec,592,1
687,back,592,-1
688,dec,592,1
689,back,592,-1
690,dec,592,1
691,back,592,-1
692,dec,592,1
693,back,592,-1
694,dec,592,1
695,back,592,-1
696,dec,592,1
697,back,592,-1
698,dec,592,1
699,back,592,-1
700,dec,592,1
701,dec,488,0
702,back,592,-1
703,dec,769,1
704,back,488,-1
705,dec,670,0
706,back,670,-1
707,dec,670,0
708,back,670,-1
709,dec,670,0
710,back,670,-1
711,dec,670,0
712,back,670,-1
713,dec,670,0
714,back,670,-1
715,dec,670,0
716,back,670,-1
717,dec,670,0
718,back,670,-1
719,dec,670,0
720,dec,592,1
721,back,670,-1
722,dec,621,1
723,back,592,-1
724,dec,592,1
725,back,592,-1
726,dec,592,1
727,back,592,-1
728,dec,592,1
729,back,592,-1
730,dec,592,1
731,back,592,-1
732,dec,592,1
733,back,592,-1
734,dec,592,1
735,back,592,-1
736,dec,592,1
737,back,592,-1
738,dec,592,1
739,dec,488,0
740,back,592,-1
741,dec,518,1
742,back,518,-1
743,dec,518,1
744,back,518,-1
745,dec,518,1
746,back,518,-1
747,dec,518,1
748,back,518,-1
749,dec,518,1
750,back,518,-1
751,dec,518,1
752,back,518,-1
753,dec,518,1
754,back,518,-1
755,dec,518,1
756,back,518,-1
757,dec,518,1
758,dec,670,0
759,back,518,-1
760,dec,592,1
761,back,670,-1
762,dec,715,1
763,back,621,-1
764,dec,518,1
765,back,518,-1
766,dec,621,1
767,back,621,-1
768,dec,621,1
769,back,621,-1
770,dec,518,1
771,back,518,-1
772,dec,621,1
773,back,621,-1
774,dec,621,1
775,back,621,-1
776,dec,518,1
777,dec,621,1
778,back,518,-1
779,dec,518,1
780,back,518,-1
781,dec,670,0
782,back,670,-1
783,dec,503,1
784,back,621,-1
785,dec,621,1
786,back,621,-1
787,dec,621,1
788,back,621,-1
789,dec,621,1
790,back,621,-1
791,dec,621,1
792,back,621,-1
793,dec,621,1
794,back,621,-1
795,dec,621,1
796,dec,968,0
797,back,968,-1
798,dec,968,0
799,back,968,-1
800,dec,968,0
801,back,968,-1
802,dec,968,0
803,back,968,-1
804,dec,968,0
805,back,968,-1
806,dec,968,0
807,back,968,-1
808,dec,968,0
809,back,968,-1
810,dec,968,0
811,back,968,-1
812,dec,968,0
813,back,968,-1
814,dec,968,0
815,dec,670,0
816,back,968,-1
817,dec,968,0
818,back,968,-1
819,dec,968,0
820,back,968,-1
821,dec,968,0
822,back,968,-1
823,dec,968,0
824,back,968,-1
825,dec,968,0
826,back,968,-1
827,dec,968,0
828,back,968,-1
829,dec,968,0
830,back,968,-1
831,dec,968,0
832,back,968,-1
833,dec,968,0
834,dec,362,1
835,back,362,-1
836,dec,129,0
837,back,968,-1
838,dec,968,0
839,back,968,-1
840,dec,968,0
841,back,670,-1
842,dec,670,0
843,back,670,-1
844,dec,532,0
845,back,129,-1
846,dec,129,0
847,back,968,-1
848,dec,670,0
849,back,670,-1
850,dec,518,1
851,back,129,-1
852,dec,129,0
853,dec,150,1
854,back,150,-1
855,dec,150,1
856,back,150,-1
857,dec,150,1
858,back,150,-1
859,dec,150,1
860,back,150,-1
861,dec,150,1
862,back,150,-1
863,dec,150,1
864,back,150,-1
865,dec,150,1
866,back,150,-1
867,dec,150,1
868,back,150,-1
869,dec,150,1
870,back,150,-1
871,dec,150,1
872,dec,646,0
873,back,150,-1
874,dec,670,0
875,back,670,-1
876,dec,670,0
877,back,670,-1
878,dec,670,0
879,back,670,-1
880,dec,670,0
881,back,670,-1
882,dec,670,0
883,back,670,-1
884,dec,670,0
885,back,670,-1
886,dec,670,0
887,back,670,-1
888,dec,670,0
889,back,670,-1
890,dec,670,0
891,dec,275,1
892,back,670,-1
893,dec,670,0
894,back,670,-1
895,dec,150,1
896,back,275,-1
897,dec,275,1
898,back,129,-1
899,dec,129,0
900,back,518,-1
901,dec,670,0
902,back,670,-1
903,dec,518,1
904,back,621,-1
905,dec,621,1
906,back,518,-1
907,dec,670,0
908,back,670,-1
909,dec,518,1
910,dec,968,0
911,back,715,-1
912,dec,715,1
913,back,518,-1
914,dec,670,0
915,back,670,-1
916,dec,670,0
917,back,670,-1
918,dec,362,1
919,back,362,-1
920,dec,670,0
921,back,670,-1
922,dec,362,1
923,back,362,-1
924,dec,362,1
925,back,362,-1
926,dec,670,0
927,back,670,-1
928,dec,670,0
929,dec,56,0
930,back,56,-1
931,dec,56,0
932,back,56,-1
933,dec,56,0
934,back,56,-1
935,dec,56,0
936,back,56,-1
937,dec,56,0
938,back,56,-1
939,dec,362,1
940,back,362,-1
941,dec,422,1
942,back,422,-1
943,dec,362,1
944,back,362,-1
945,dec,422,1
946,back,422,-1
947,dec,362,1
948,dec,282,0
949,back,282,-1
950,dec,422,1
951,back,422,-1
952,dec,422,1
953,back,422,-1
954,dec,772,0
955,back,362,-1
956,dec,422,1
957,back,422,-1
958,dec,362,1
959,back,772,-1
960,dec,422,1
961,back,422,-1
962,dec,282,0
963,back,282,-1
964,dec,422,1
965,back,422,-1
966,dec,422,1
967,dec,56,0
968,back,422,-1
969,dec,422,1
970,back,422,-1
971,dec,422,1
972,back,422,-1
973,dec,422,1
974,back,422,-1
975,dec,422,1
976,back,422,-1
977,dec,422,1
978,back,422,-1
979,dec,422,1
980,back,422,-1
981,dec,422,1
982,back,422,-1
983,dec,422,1
984,back,422,-1
985,dec,422,1
986,dec,282,0
987,back,422,-1
988,dec,422,1
989,back,282,-1
990,dec,282,0
991,back,282,-1
992,dec,282,0
993,back,282,-1
994,dec,183,0
995,back,183,-1
996,dec,265,0
997,back,422,-1
997,up,422,1
998,dec,183,0
999,back,183,-1
1000,dec,131,0
1001,back,131,-1
1002,dec,183,0
1003,back,183,-1
1004,dec,131,0
1005,dec,282,0
1006,back,131,-1
1007,dec,183,0
1008,back,183,-1
1009,dec,183,0
1010,back,183,-1
1011,dec,183,0
1012,back,183,-1
1013,dec,183,0
1014,back,183,-1
1015,dec,183,0
1016,back,183,-1
1017,dec,183,0
1018,back,183,-1
1019,dec,183,0
1020,back,183,-1
1021,dec,183,0
1022,back,183,-1
1023,dec,183,0
1024,dec,131,0
1025,back,131,-1
1026,dec,131,0
1027,back,183,-1
1028,dec,183,0
1029,back,131,-1
1030,dec,131,0
1031,back,131,-1
1032,dec,131,0
1033,back,131,-1
1034,dec,131,0
1035,back,131,-1
1036,dec,131,0
1037,back,131,-1
1038,dec,131,0
1039,back,131,-1
1040,dec,131,0
1041,back,131,-1
1042,dec,131,0
1043,dec,517,0
1044,back,131,-1
1045,dec,131,0
1046,back,183,-1
1047,dec,183,0
1048,back,183,-1
1049,dec,183,0
1050,back,282,-1
1051,dec,473,1
1052,back,473,-1
1053,dec,384,1
1054,back,384,-1
1055,dec,473,1
1056,back,473,-1
1057,dec,473,1
1058,back,473,-1
1059,dec,473,1
1060,back,473,-1
1061,dec,473,1
1062,dec,384,1
1063,back,384,-1
1064,dec,384,1
1065,back,384,-1
1066,dec,384,1
1067,back,384,-1
1068,dec,384,1
1069,back,384,-1
1070,dec,384,1
1071,back,384,-1
1072,dec,384,1
1073,back,384,-1
1074,dec,384,1
1075,back,384,-1
1076,dec,384,1
1077,back,384,-1
1078,dec,384,1
1079,back,384,-1
1080,dec,384,1
1081,dec,711,0
1082,back,711,-1
1083,dec,711,0
1084,back,711,-1
1085,dec,711,0
1086,back,711,-1
1087,dec,711,0
1088,back,384,-1
1089,dec,384,1
1090,back,711,-1
1091,dec,711,0
1092,back,711,-1
1093,dec,711,0
1094,back,711,-1
1095,dec,711,0
1096,back,711,-1
1097,dec,711,0
1098,back,711,-1
1099,dec,711,0
1100,dec,282,0
1101,back,711,-1
1102,dec,711,0
1103,back,711,-1
1104,dec,711,0
1105,back,711,-1
1106,dec,711,0
1107,back,711,-1
1108,dec,711,0
1109,back,711,-1
1110,dec,711,0
1111,back,711,-1
1112,dec,711,0
1113,back,711,-1
1114,dec,711,0
1115,back,711,-1
1116,dec,711,0
1117,back,711,-1
1118,dec,711,0
1119,dec,685,1
1120,back,685,-1
1121,dec,685,1
1122,back,685,-1
1123,dec,742,0
1124,back,742,-1
1125,dec,742,0
1126,back,742,-1
1127,dec,742,0
1128,back,711,-1
1129,dec,711,0
1130,back,742,-1
1131,dec,742,0
1132,back,742,-1
1133,dec,742,0
1134,back,742,-1
1135,dec,742,0
1136,back,742,-1
1137,dec,249,1
1138,dec,685,1
1139,back,685,-1
1140,dec,742,0
1141,back,742,-1
1142,dec,742,0
1143,back,742,-1
1144,dec,685,1
1145,back,685,-1
1146,dec,685,1
1147,back,685,-1
1148,dec,685,1
1149,back,685,-1
1150,dec,742,0
1151,back,742,-1
1152,dec,742,0
1153,back,742,-1
1154,dec,685,1
1155,back,685,-1
1156,dec,685,1
1157,dec,742,0
1158,back,685,-1
1159,dec,685,1
1160,back,711,-1
1161,dec,711,0
1162,back,473,-1
1163,dec,473,1
1164,back,384,-1
1165,dec,384,1
1166,back,742,-1
1167,dec,93,1
1168,back,685,-1
1169,dec,742,0
1170,back,93,-1
1171,dec,46,0
1172,back,46,-1
1173,dec,685,1
1174,back,685,-1
1175,dec,46,0
1176,dec,93,1
1177,back,93,-1
1178,dec,93,1
1179,back,46,-1
1180,dec,685,1
1181,back,742,-1
1182,dec,46,0
1183,back,93,-1
1184,dec,93,1
1185,back,711,-1
1186,dec,742,0
1187,back,685,-1
1188,dec,711,0
1189,back,362,-1
1190,dec,362,1
1191,back,742,-1
1192,dec,742,0
1193,back,670,-1
1194,dec,670,0
1195,dec,766,0
1196,back,766,-1
1197,dec,766,0
1198,back,766,-1
1199,dec,685,1
1200,back,517,-1
1201,dec,766,0
1202,back,766,-1
1203,dec,766,0
1204,back,766,-1
1205,dec,766,0
1206,back,766,-1
1207,dec,766,0
1208,back,766,-1
1209,dec,766,0
1210,back,766,-1
1211,dec,766,0
1212,back,766,-1
1213,dec,766,0
1214,dec,847,0
1215,back,766,-1
1215,up,766,0
1216,dec,517,0
1217,back,183,-1
1218,dec,183,0
1219,back,56,-1
1220,dec,518,1
1221,back,282,-1
1222,dec,56,0
1223,back,93,-1
1224,dec,93,1
1225,back,473,-1
1226,dec,772,0
1227,back,742,-1
1228,dec,473,1
1229,back,847,-1
1230,dec,742,0
1231,back,772,-1
1232,dec,783,0
1233,dec,743,0
1234,back,743,-1
1235,dec,743,0
1236,back,783,-1
1237,dec,783,0
1238,back,743,-1
1239,dec,743,0
1240,back,783,-1
1241,dec,783,0
1242,back,743,-1
1243,dec,743,0
1244,back,743,-1
1245,dec,743,0
1246,back,743,-1
1247,dec,743,0
1248,back,743,-1
1249,dec,743,0
1250,back,743,-1
1251,dec,743,0
1252,dec,282,0
1253,back,743,-1
1254,dec,743,0
1255,back,743,-1
1256,dec,743,0
1257,back,743,-1
1258,dec,743,0
1259,back,743,-1
1260,dec,743,0
1261,back,743,-1
1262,dec,743,0
1263,back,743,-1
1264,dec,743,0
1265,back,743,-1
1266,dec,743,0
1267,back,743,-1
1268,dec,743,0
1269,back,743,-1
1270,dec,743,0
1271,dec,772,0
1272,back,743,-1
1273,dec,762,0
1274,back,762,-1
1275,dec,743,0
1276,back,783,-1
1277,dec,847,0
1278,back,743,-1
1279,dec,762,0
1280,back,762,-1
1281,dec,743,0
1282,back,743,-1
1283,dec,743,0
1284,back,743,-1
1285,dec,743,0
1286,back,743,-1
1287,dec,743,0
1288,back,743,-1
1289,dec,743,0
1290,dec,364,0
1291,back,364,-1
1292,dec,762,0
1293,back,743,-1
1294,dec,364,0
1295,back,364,-1
1296,dec,743,0
1297,back,762,-1
1298,dec,364,0
1299,back,364,-1
1300,dec,762,0
1301,back,743,-1
1302,dec,364,0
1303,back,364,-1
1304,dec,743,0
1305,back,743,-1
1306,dec,743,0
1307,back,743,-1
1308,dec,743,0
1309,dec,822,0
1310,back,822,-1
1311,dec,822,0
1312,back,822,-1
1313,dec,822,0
1314,back,822,-1
1315,dec,822,0
1316,back,822,-1
1317,dec,822,0
1318,back,822,-1
1319,dec,822,0
1320,back,822,-1
1321,dec,822,0
1322,back,822,-1
1323,dec,822,0
1324,back,822,-1
1325,dec,822,0
1326,back,822,-1
1327,dec,822,0
1328,dec,901,1
1329,back,901,-1
1330,dec,854,1
1331,back,854,-1
1332,dec,854,1
1333,back,854,-1
1334,dec,364,0
1335,back,822,-1
