START ALGORITHM:
I am going to build an instance with N: 1000 variables and 4200 clauses with a clause density equal to 4.2
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
1000 4200 7.49334327 0.00749334327 4.2
1000 4200 7.49346363 0.00749346363 4.2
1000 4200 7.49350105 0.00749350105 4.2
1000 4200 7.49367267 0.00749367267 4.2
1000 4200 7.49369799 0.00749369799 4.2
1000 4200 7.49370058 0.00749370058 4.2
1000 4200 7.49363188 0.00749363188 4.2
1000 4200 7.4936382 0.0074936382 4.2
1000 4200 7.49365058 0.00749365058 4.2
999 4194 7.49367275 0.00749367275 4.1981982
999 4193 7.49366168 0.00749366168 4.1971972
999 4193 7.49365986 0.00749365986 4.1971972
999 4193 7.49364729 0.00749364729 4.1971972
999 4193 7.4936562 0.0074936562 4.1971972
999 4193 7.49365225 0.00749365225 4.1971972
999 4193 7.4936551 0.0074936551 4.1971972
999 4193 7.49365299 0.00749365299 4.1971972
999 4193 7.49365346 0.00749365346 4.1971972
999 4193 7.49365349 0.00749365349 4.1971972
998 4188 7.49365339 0.00749365339 4.19639279
998 4188 7.49365325 0.00749365325 4.19639279
998 4188 7.49365395 0.00749365395 4.19639279
998 4188 7.49365343 0.00749365343 4.19639279
998 4188 7.49365348 0.00749365348 4.19639279
998 4188 7.49365335 0.00749365335 4.19639279
998 4188 7.49365351 0.00749365351 4.19639279
998 4188 7.49365354 0.00749365354 4.19639279
998 4188 7.49365351 0.00749365351 4.19639279
998 4188 7.49365344 0.00749365344 4.19639279
997 4182 7.49365349 0.00749365349 4.19458375
997 4182 7.49365345 0.00749365345 4.19458375
997 4182 7.49365348 0.00749365348 4.19458375
997 4182 7.49365348 0.00749365348 4.19458375
997 4182 7.49365347 0.00749365347 4.19458375
997 4182 7.49365346 0.00749365346 4.19458375
997 4182 7.49365345 0.00749365345 4.19458375
997 4182 7.49365343 0.00749365343 4.19458375
997 4182 7.49365343 0.00749365343 4.19458375
997 4182 7.49365343 0.00749365343 4.19458375
996 4172 7.49358993 0.00749358993 4.18875502
996 4172 7.49359029 0.00749359029 4.18875502
996 4172 7.49359034 0.00749359034 4.18875502
996 4172 7.49359009 0.00749359009 4.18875502
996 4172 7.49358948 0.00749358948 4.18875502
996 4172 7.4935892 0.0074935892 4.18875502
996 4172 7.49358887 0.00749358887 4.18875502
996 4172 7.49358871 0.00749358871 4.18875502
996 4172 7.49358885 0.00749358885 4.18875502
996 4172 7.49358888 0.00749358888 4.18875502
995 4165 7.49251339 0.00749251339 4.18592965
995 4165 7.49251383 0.00749251383 4.18592965
995 4165 7.49251361 0.00749251361 4.18592965
995 4165 7.49251357 0.00749251357 4.18592965
