START ALGORITHM:
I am going to build an instance with N: 1000 variables and 4200 clauses with a clause density equal to 4.2
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
1000 4200 2.58096031 0.00258096031 4.2
1000 4200 2.58174269 0.00258174269 4.2
1000 4200 2.58084348 0.00258084348 4.2
1000 4200 2.58009249 0.00258009249 4.2
1000 4200 2.58008479 0.00258008479 4.2
1000 4200 2.58007329 0.00258007329 4.2
1000 4200 2.58057818 0.00258057818 4.2
1000 4200 2.58079115 0.00258079115 4.2
1000 4200 2.58074349 0.00258074349 4.2
999 4190 2.58072473 0.00258072473 4.19419419
999 4195 2.58049628 0.00258049628 4.1991992
999 4195 2.58029218 0.00258029218 4.1991992
999 4195 2.58036848 0.00258036848 4.1991992
999 4195 2.58050056 0.00258050056 4.1991992
999 4195 2.58059386 0.00258059386 4.1991992
999 4195 2.58061599 0.00258061599 4.1991992
999 4195 2.58054851 0.00258054851 4.1991992
999 4195 2.58048918 0.00258048918 4.1991992
999 4195 2.58045279 0.00258045279 4.1991992
998 4185 2.5804457 0.0025804457 4.19338677
998 4185 2.58049503 0.00258049503 4.19338677
998 4185 2.58054104 0.00258054104 4.19338677
998 4185 2.58054684 0.00258054684 4.19338677
998 4185 2.58053408 0.00258053408 4.19338677
998 4185 2.58050664 0.00258050664 4.19338677
998 4185 2.58049057 0.00258049057 4.19338677
998 4185 2.58049711 0.00258049711 4.19338677
998 4185 2.58050964 0.00258050964 4.19338677
998 4185 2.58052118 0.00258052118 4.19338677
997 4177 2.58036725 0.00258036725 4.18956871
997 4177 2.5803635 0.0025803635 4.18956871
997 4177 2.58035233 0.00258035233 4.18956871
997 4177 2.58034753 0.00258034753 4.18956871
997 4177 2.58034735 0.00258034735 4.18956871
997 4177 2.58035155 0.00258035155 4.18956871
997 4177 2.58035729 0.00258035729 4.18956871
997 4177 2.58035791 0.00258035791 4.18956871
997 4177 2.58035567 0.00258035567 4.18956871
997 4177 2.58035251 0.00258035251 4.18956871
996 4166 2.58001562 0.00258001562 4.18273092
996 4166 2.5800154 0.0025800154 4.18273092
996 4166 2.58001764 0.00258001764 4.18273092
996 4166 2.58001978 0.00258001978 4.18273092
996 4166 2.58002068 0.00258002068 4.18273092
996 4166 2.58001994 0.00258001994 4.18273092
996 4166 2.58001814 0.00258001814 4.18273092
996 4166 2.58001712 0.00258001712 4.18273092
996 4166 2.58001724 0.00258001724 4.18273092
996 4166 2.5800179 0.0025800179 4.18273092
995 4155 2.57960595 0.00257960595 4.1758794
995 4155 2.57960711 0.00257960711 4.1758794
995 4155 2.57960699 0.00257960699 4.1758794
995 4155 2.57960687 0.00257960687 4.1758794
