log	steps	steps_with_conv	mean_conv_rate	agree3	agree_sigma_eta	agree_sigma_hybrid	agree_eta_hybrid	mean_eta_spread	mean_sigma_spread	frac_mineta_ge_5	frac_mineta_ge_8	frac_mineta_ge_15	frac_mineta_ge_30
look-sigma_seed1	4638	4638	0.8613626563173782	0.5401034928848641	0.5401034928848641	0.9777921517895645	0.5545493747304873	96.57266062958172	2.39027269162805	0.020051746442432083	0.0	0.0	0.0
look-sigma_seed2	2403	2403	1.0	0.5655430711610487	0.5655430711610487	0.9966708281315023	0.5655430711610487	17.43196004993758	2.8096858414731556	0.0	0.0	0.0	0.0
look-eta_seed1	4624	4624	0.8704314446366782	0.2078287197231834	0.2078287197231834	0.7519463667820069	0.30168685121107264	62.726643598615915	2.2181456257762306	0.04238754325259515	0.0	0.0	0.0
look-eta_seed2	2348	2348	1.0	0.08816013628620102	0.08816013628620102	0.9429301533219762	0.11712095400340715	16.267887563884155	2.592042183698467	0.0	0.0	0.0	0.0
look-hybrid_seed1	4789	4789	0.840885362288578	0.5153476717477553	0.5153476717477553	0.902276049279599	0.5857172687408645	68.236583837962	2.20947216486262	0.03591564000835248	0.00041762372102735435	0.00020881186051367718	0.0
look-hybrid_seed2	2431	2431	1.0	0.5294117647058824	0.5294117647058824	0.9975318798848211	0.5314685314685315	17.55614973262032	2.8145954994771705	0.00041135335252982314	0.00041135335252982314	0.00041135335252982314	0.0
