# scorer=cert K=3 N=300 M=1245 seed=2 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=0 parisi_audit=0 dynamic_I_backtrack=0 sigma_certified=0 transaction_safe=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged,certified_sigma,replay_error,sp_residual,sp_contraction
0,dec,300,1245,1.929637424,0.006432124747,73,0,1,0,0,1,0,-0,0,0,0,0,0.008209480801,0.7575689987
1,back,299,1240,1.929329745,0.006431099149,0,0,1,1,0,1,0,-0,0,0,0,0,0.00839653147,0
2,dec,300,1245,1.929425917,0.006431419725,0,0,1,0,0,1,0,-0,0,0,0,0,0.006746472311,0
3,back,299,1239,1.929492739,0.006431642462,0,0,1,1,0,1,0,-0,0,0,0,0,0.00606094071,0
4,dec,300,1245,1.929262628,0.006430875425,0,0,1,0,0,1,0,-0,0,0,0,0,0.005794751897,0
5,back,299,1240,1.929521062,0.006431736875,0,0,1,1,0,1,0,-0,0,0,0,0,0.004658428038,0
6,dec,300,1245,1.929357381,0.006431191271,0,0,1,0,0,1,0,-0,0,0,0,0,0.004396335365,0
7,back,299,1239,1.929372367,0.006431241224,0,0,1,1,0,1,0,-0,0,0,0,0,0.003944000833,0
8,dec,300,1245,1.92937314,0.006431243799,0,0,1,0,0,1,0,-0,0,0,0,0,0.003316270358,0
9,back,299,1240,1.929389589,0.006431298631,0,0,1,1,0,1,0,-0,0,0,0,0,0.003135632552,0
10,dec,300,1245,1.929379499,0.006431264996,0,0,1,0,0,1,0,-0,0,0,0,0,0.002848406605,0
11,back,299,1239,1.929367873,0.006431226244,0,0,1,1,0,1,0,-0,0,0,0,0,0.002517397112,0
12,dec,300,1245,1.929394322,0.006431314405,0,0,1,0,0,1,0,-0,0,0,0,0,0.002980545245,0
13,back,299,1240,1.929379279,0.006431264265,0,0,1,1,0,1,0,-0,0,0,0,0,0.002352500611,0
14,dec,300,1245,1.929371067,0.006431236889,0,0,1,0,0,1,0,-0,0,0,0,0,0.002247957508,0
15,back,299,1239,1.929394302,0.00643131434,0,0,1,1,0,1,0,-0,0,0,0,0,0.002624580617,0
16,dec,300,1245,1.929389221,0.006431297404,0,0,1,0,0,1,0,-0,0,0,0,0,0.001802605221,0
17,dec,299,1240,1.929370692,0.00643123564,0,0,1,1,0,1,0,-0,0,0,0,0,0.002130740157,0
18,back,298,1235,1.92939294,0.006431309801,0,0,1,2,0,1,0,-0,0,0,0,0,0.001319380392,0
19,dec,299,1240,1.929385595,0.006431285317,0,0,1,1,0,1,0,-0,0,0,0,0,0.001592730603,0
20,back,298,1234,1.929379764,0.006431265879,0,0,1,2,0,1,0,-0,0,0,0,0,0.001512103018,0
21,dec,299,1240,1.929384197,0.006431280656,0,0,1,1,0,1,0,-0,0,0,0,0,0.001039217129,0
22,back,298,1235,1.929391179,0.006431303931,0,0,1,2,0,1,0,-0,0,0,0,0,0.0009680317354,0
23,dec,299,1240,1.929378805,0.006431262682,0,0,1,1,0,1,0,-0,0,0,0,0,0.001016384852,0
24,back,298,1234,1.929381717,0.00643127239,0,0,1,2,0,1,0,-0,0,0,0,0,0.001090005833,0
25,dec,299,1240,1.929390339,0.006431301129,0,0,1,1,0,1,0,-0,0,0,0,0,0.0006942853192,0
26,back,298,1235,1.92938054,0.006431268467,0,0,1,2,0,1,0,-0,0,0,0,0,0.0008199424685,0
27,dec,299,1240,1.929382353,0.006431274509,0,0,1,1,0,1,0,-0,0,0,0,0,0.0007069746183,0
28,back,298,1234,1.929386725,0.006431289082,0,0,1,2,0,1,0,-0,0,0,0,0,0.0007273192203,0
29,dec,299,1240,1.929384169,0.006431280564,0,0,1,1,0,1,0,-0,0,0,0,0,0.0007438858903,0
30,back,298,1235,1.929380762,0.006431269207,0,0,1,2,0,1,0,-0,0,0,0,0,0.0006243407478,0
31,dec,299,1240,1.929386047,0.006431286823,0,0,1,1,0,1,0,-0,0,0,0,0,0.0006030099535,0
32,back,298,1234,1.929385369,0.006431284562,0,0,1,2,0,1,0,-0,0,0,0,0,0.00059631627,0
33,dec,299,1240,1.929381128,0.006431270426,0,0,1,1,0,1,0,-0,0,0,0,0,0.0005367826685,0
34,back,298,1235,1.92938468,0.006431282266,0,0,1,2,0,1,0,-0,0,0,0,0,0.0004076346016,0
35,dec,299,1240,1.929385785,0.006431285951,0,0,1,1,0,1,0,-0,0,0,0,0,0.0004851510066,0
36,dec,298,1234,1.929382041,0.006431273469,0,0,1,2,0,1,0,-0,0,0,0,0,0.0004922215747,0
37,back,297,1229,1.929383832,0.006431279441,0,0,1,3,0,1,0,-0,0,0,0,0,0.0004274556631,0
38,dec,298,1234,1.929385655,0.006431285517,0,0,1,2,0,1,0,-0,0,0,0,0,0.0003747748821,0
