config	runs	sat	sp_nonconvergence	mean_max_drop	mean_drop	mean_abs_delta	mean_auc_per_step	mean_steps	mean_wall_seconds
certainty	5	2	2	1.581526740172668	0.0034884763054269336	0.03320715483843775	3.846914669987052	1924.2	15.52548669099924
polarization	5	4	1	2.2398082185463073	0.005578590734127714	0.040954540155945934	4.00846113737639	1346.8	0.46746080740122126
theta025	5	3	2	1.6062736999751395	0.003492008657832195	0.03326499386485919	3.845320170770948	1928.2	0.5782306785986293
theta050	5	3	2	1.5903105185832962	0.0034928759758752438	0.03323351043865485	3.862396684287012	1902.4	0.5741913225967437
theta075	5	3	2	1.5905207645340997	0.0034961344832555503	0.03364171044405582	3.863737724697213	1899.4	0.5769390555971767
