config	runs	sat	sp_nonconvergence	mean_max_drop	mean_max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	mean_auc_per_step	mean_steps	mean_wall_seconds
certainty	5	2	2	1.581526740172668	1.581526740172668	0.0034884763054269336	0.03320715483843775	0.03322228194303624	3.846914669987052	1924.2	15.460394946002634
polarization	5	4	1	2.2398082185463073	2.2398082185463073	0.005578590734127714	0.040954540155945934	0.040992852175389	4.00846113737639	1346.8	0.46269534719758665
gamma005	5	3	2	2.011989452599515	2.011989452599515	0.004093869787448154	0.034102719022818896	0.03412226237474969	4.071186484178133	1663.4	0.5200456547958311
gamma010	5	4	1	2.49319649995644	1.48586247175644	0.004532575734025787	0.03449215647118104	0.03292769516856518	4.1744416159594575	1524.4	0.4621038311976008
gamma025	5	4	0	2.262454517901669	2.262454517901669	0.00465042343557872	0.03577060790388939	0.035800461653634916	4.011904564696067	1516.4	16.960895039403113
gamma050	5	4	0	2.3993624011877803	2.3993624011877803	0.005240357758764837	0.03857258096383235	0.038609294965208193	4.113596164584264	1357.8	13.71702730600955
