config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	eta_mean	wall_seconds
certainty	1	sat	0	1680	6.16226307	0.0	2.3153785809988956	1.104338843e-12	2.3153785809988956	0.003668013732142857	0.03949529713214286	0.03951882023942757	7553.076203434999	4.495878692520833	4.043426531826294	0.536382488993695
certainty	2	walksat-fail	0	2237	5.340119254	0.0	0.5841952028858473	-6.32827124e-15	0.5841952028858473	0.0023871789244523916	0.031463935606884215	0.031478007134436485	7501.59822574703	3.3534189654658157	4.14343163538874	75.12445081400801
certainty	3	sp-nonconvergence	255	2822	4.348830189	0.3712385897	0.04065518300000015	0.0	0.04065518300000015	0.0014094938339121192	0.024720772043621483	0.024720772043621483	7027.147207783438	2.490130123240056	4.746723343960326	0.6765490530233365
certainty	4	sat	0	802	6.097559656	0.0	4.8915790299785975	2.140276845e-11	4.8915790299785975	0.00760294221446384	0.03047075143391518	0.030508792322070627	4579.170983782024	5.709689505962624	2.87920298879203	0.27510374700068496
certainty	5	sp-nonconvergence	255	2080	5.481132405	0.5416465349	0.07582570399999966	0.0	0.07582570399999966	0.002374752822163462	0.03988501797562502	0.03988501797562502	6625.748610511543	3.185456062745934	5.840461316674675	0.6894886269874405
polarization	1	sat	0	1129	6.16226307	0.0	2.596707980000001	-8.881784197e-16	2.596707980000001	0.005458160380868025	0.050570936186005264	0.05061576857624109	5281.821413311007	4.678318346599652	4.251327433628319	0.39928561699343845
polarization	2	sat	0	1670	5.340119254	0.0	1.4760581027359192	-1.532107774e-14	1.4760581027359192	0.0031976762	0.04087304571377249	0.040897535255841846	5889.395732819255	3.5265842711492543	4.674446439257929	0.6185177009901963
polarization	3	sp-nonconvergence	255	2090	4.348830189	0.4490091841	0.08776079800000014	0.0	0.08776079800000014	0.0018659430645454546	0.03048112365440186	0.03048112365440186	4841.356770712257	2.316438646273807	5.328072692491631	0.6414032719912939
polarization	4	sat	0	454	6.097559656	0.0	4.991237953995764	4.235611861e-12	4.991237953995764	0.013430748140969163	0.042091509784141015	0.042184427024273254	2600.2514732220056	5.727426152471378	3.0197802197802197	0.17246297901147045
polarization	5	sat	0	1391	5.481132405	0.0	2.0472762579998514	1.488809076e-13	2.0472762579998514	0.0039404258842559315	0.040756085441409046	0.04078540636618693	5276.8117341095085	3.7935382703878564	4.405890804597701	0.48180716700153425
