config	runs	sat	sp_nonconvergence	mean_max_drop	mean_drop	mean_abs_delta	mean_auc_per_step	mean_steps	mean_wall_seconds
certainty	5	1	4	0.4572523113787361	0.0009972213982528428	0.013740073818142701	1.5679751599939018	1670.8	0.4494468630058691
polarization	5	1	4	0.4956047552999999	0.0013327985388222993	0.016147819574035667	1.589080903361726	1247.0	0.4265048686065711
theta025	5	1	4	0.4572523113787361	0.0009972213982528428	0.013740073818142701	1.5679751599939018	1670.8	0.44016500779544004
theta050	5	1	4	0.4572523113787361	0.0009972213982528428	0.013740073818142701	1.5679751599939018	1670.8	0.447413492994383
theta075	5	1	4	0.4572523113787361	0.0009972213982528428	0.013740073818142701	1.5679751599939018	1670.8	0.4367881070065778
