config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	mean_drop	mean_abs_delta	auc_sigma	auc_per_step	eta_mean	wall_seconds
certainty	1	sp-nonconvergence	255	1836	2.666799837	0.5544985292	0.039478734600000065	0.0011504909083877995	0.02057664974607844	3306.3261024968015	1.8008312105102404	4.006532389765923	0.5452361410134472
certainty	2	sp-nonconvergence	255	1894	1.929637424	0.7663931909	0.017286401000000007	0.0006141733015311509	0.010323127706705406	2734.1714592929457	1.4435963354239418	2.5767810026385223	0.44908257099450566
certainty	3	sp-nonconvergence	255	986	1.38774508	0.5077658459	0.033790818000000056	0.0008924738682555781	0.01743962662363083	1044.9442952758493	1.0597812325312874	3.234042553191489	0.36332598701119423
certainty	4	sat	0	1511	3.031969362	0.0	2.1693816487936806	0.0020065978570483122	0.011753250742554594	4084.291537664204	2.7030387410087386	2.611772486772487	0.3756357780075632
certainty	5	sp-nonconvergence	255	2127	1.135861589	0.4501783528	0.026323954499999913	0.0003223710560413727	0.008607714271744227	1771.0003526135013	0.8326282804952991	2.976973684210526	0.5139538380026352
polarization	1	sp-nonconvergence	255	1244	2.666799837	1.099467575	0.05910549500000006	0.0012599133938906754	0.021925595263665613	2500.5491954579993	2.0100877776993564	4.583935742971888	0.4690589660021942
polarization	2	sp-nonconvergence	255	1274	1.929637424	0.8044024208	0.042539218000000156	0.0008832299868131869	0.012619471417582417	1890.1511296731	1.4836351096335165	3.0964705882352943	0.37593575500068255
polarization	3	sp-nonconvergence	255	830	1.38774508	0.2783164845	0.0674029062	0.0013366609584337347	0.02430516118783133	784.9550178555501	0.9457289371753616	5.935018050541516	0.4306929620215669
polarization	4	sat	0	1097	3.031969362	0.0	2.264994812	0.002763873620783956	0.012350309792160438	3008.4477719349966	2.742431879612577	2.446265938069217	0.2889577230089344
polarization	5	sp-nonconvergence	255	1790	1.135861589	0.3834982148	0.043981345299999974	0.00042031473418994406	0.009538560208938538	1366.7022547111967	0.7635208126878194	4.420993858179788	0.5678789369994774
theta025	1	sp-nonconvergence	255	1836	2.666799837	0.5544985292	0.039478734600000065	0.0011504909083877995	0.02057664974607844	3306.3261024968015	1.8008312105102404	4.006532389765923	0.5279575279855635
theta025	2	sp-nonconvergence	255	1894	1.929637424	0.7663931909	0.017286401000000007	0.0006141733015311509	0.010323127706705406	2734.1714592929457	1.4435963354239418	2.5767810026385223	0.4466356149932835
theta025	3	sp-nonconvergence	255	986	1.38774508	0.5077658459	0.033790818000000056	0.0008924738682555781	0.01743962662363083	1044.9442952758493	1.0597812325312874	3.234042553191489	0.3503809119865764
theta025	4	sat	0	1511	3.031969362	0.0	2.1693816487936806	0.0020065978570483122	0.011753250742554594	4084.291537664204	2.7030387410087386	2.611772486772487	0.3776270530070178
theta025	5	sp-nonconvergence	255	2127	1.135861589	0.4501783528	0.026323954499999913	0.0003223710560413727	0.008607714271744227	1771.0003526135013	0.8326282804952991	2.976973684210526	0.4982239310047589
theta050	1	sp-nonconvergence	255	1836	2.666799837	0.5544985292	0.039478734600000065	0.0011504909083877995	0.02057664974607844	3306.3261024968015	1.8008312105102404	4.006532389765923	0.5422659539908636
theta050	2	sp-nonconvergence	255	1894	1.929637424	0.7663931909	0.017286401000000007	0.0006141733015311509	0.010323127706705406	2734.1714592929457	1.4435963354239418	2.5767810026385223	0.4333397719892673
theta050	3	sp-nonconvergence	255	986	1.38774508	0.5077658459	0.033790818000000056	0.0008924738682555781	0.01743962662363083	1044.9442952758493	1.0597812325312874	3.234042553191489	0.3540393160074018
theta050	4	sat	0	1511	3.031969362	0.0	2.1693816487936806	0.0020065978570483122	0.011753250742554594	4084.291537664204	2.7030387410087386	2.611772486772487	0.3991694439901039
theta050	5	sp-nonconvergence	255	2127	1.135861589	0.4501783528	0.026323954499999913	0.0003223710560413727	0.008607714271744227	1771.0003526135013	0.8326282804952991	2.976973684210526	0.5082529789942782
theta075	1	sp-nonconvergence	255	1836	2.666799837	0.5544985292	0.039478734600000065	0.0011504909083877995	0.02057664974607844	3306.3261024968015	1.8008312105102404	4.006532389765923	0.531331364007201
theta075	2	sp-nonconvergence	255	1894	1.929637424	0.7663931909	0.017286401000000007	0.0006141733015311509	0.010323127706705406	2734.1714592929457	1.4435963354239418	2.5767810026385223	0.4364588840107899
theta075	3	sp-nonconvergence	255	986	1.38774508	0.5077658459	0.033790818000000056	0.0008924738682555781	0.01743962662363083	1044.9442952758493	1.0597812325312874	3.234042553191489	0.35410835701623
theta075	4	sat	0	1511	3.031969362	0.0	2.1693816487936806	0.0020065978570483122	0.011753250742554594	4084.291537664204	2.7030387410087386	2.611772486772487	0.3746564860048238
theta075	5	sp-nonconvergence	255	2127	1.135861589	0.4501783528	0.026323954499999913	0.0003223710560413727	0.008607714271744227	1771.0003526135013	0.8326282804952991	2.976973684210526	0.4873854439938441
