START ALGORITHM:
I am going to build an instance with N: 1000 variables and 4200 clauses with a clause density equal to 4.2
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
1000 4200 1.07176396 0.00107176396 4.2
1000 4200 1.07272089 0.00107272089 4.2
1000 4200 1.0733865 0.0010733865 4.2
1000 4200 1.07298161 0.00107298161 4.2
1000 4200 1.07241339 0.00107241339 4.2
1000 4200 1.07247562 0.00107247562 4.2
1000 4200 1.07274508 0.00107274508 4.2
1000 4200 1.07289907 0.00107289907 4.2
1000 4200 1.07282455 0.00107282455 4.2
999 4192 1.07276794 0.00107276794 4.1961962
999 4192 1.07286208 0.00107286208 4.1961962
999 4192 1.07280403 0.00107280403 4.1961962
999 4192 1.07271409 0.00107271409 4.1961962
999 4192 1.07273396 0.00107273396 4.1961962
999 4192 1.0727863 0.0010727863 4.1961962
999 4192 1.07277655 0.00107277655 4.1961962
999 4192 1.07275188 0.00107275188 4.1961962
999 4192 1.07274816 0.00107274816 4.1961962
999 4192 1.07276207 0.00107276207 4.1961962
998 4184 1.07274999 0.00107274999 4.19238477
998 4184 1.07274988 0.00107274988 4.19238477
998 4184 1.0727617 0.0010727617 4.19238477
998 4184 1.07277105 0.00107277105 4.19238477
998 4184 1.07276443 0.00107276443 4.19238477
998 4184 1.07275448 0.00107275448 4.19238477
998 4184 1.0727545 0.0010727545 4.19238477
998 4184 1.0727618 0.0010727618 4.19238477
998 4184 1.07276532 0.00107276532 4.19238477
998 4184 1.07276195 0.00107276195 4.19238477
997 4176 1.07274709 0.00107274709 4.1885657
997 4176 1.07274667 0.00107274667 4.1885657
997 4176 1.07274481 0.00107274481 4.1885657
997 4176 1.07274775 0.00107274775 4.1885657
997 4176 1.07274538 0.00107274538 4.1885657
997 4176 1.07274575 0.00107274575 4.1885657
997 4176 1.07274538 0.00107274538 4.1885657
997 4176 1.07274523 0.00107274523 4.1885657
997 4176 1.07274543 0.00107274543 4.1885657
997 4176 1.07274505 0.00107274505 4.1885657
996 4166 1.07211647 0.00107211647 4.18273092
996 4166 1.07211664 0.00107211664 4.18273092
996 4166 1.0721166 0.0010721166 4.18273092
996 4166 1.072117 0.001072117 4.18273092
996 4166 1.07211752 0.00107211752 4.18273092
996 4166 1.07211756 0.00107211756 4.18273092
996 4166 1.07211801 0.00107211801 4.18273092
996 4166 1.07211787 0.00107211787 4.18273092
996 4166 1.07211809 0.00107211809 4.18273092
996 4166 1.07211814 0.00107211814 4.18273092
995 4156 1.0714142 0.0010714142 4.17688442
995 4156 1.07141326 0.00107141326 4.17688442
995 4156 1.07141323 0.00107141323 4.17688442
995 4156 1.07141297 0.00107141297 4.17688442
