config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	eta_mean	wall_seconds
certainty	1	sp-nonconvergence	255	3979	33.71301751	17.18253708	0.11248095000000191	0.0	0.11248095000000191	0.004154430869565217	0.07277997149283734	0.07277997149283734	102536.97869813502	25.769534731876103	3.006532663316583	167.01189627000713
certainty	2	sat	0	13420	55.84535784	0.0	11.465506549947781	1.922906279e-12	11.465506549947781	0.0041613530432190755	0.060991426564828526	0.06099597171920388	366384.7189478377	27.30139485453336	4.503986290142314	368.0241254950233
certainty	3	sat	0	13192	50.75094186	0.0	13.309586190000134	0.0	13.309586190000134	0.003847099898423287	0.055062023875075874	0.05506619808657425	363196.5814724995	27.53157834085048	4.4579701356780115	365.6084932659869
certainty	4	sat	0	12050	43.80869252	0.0	14.950581559983545	-2.886579864e-14	14.950581559983545	0.0036355761427385893	0.04738110559668046	0.04738503796497631	314575.09362277936	26.105816898155965	4.083478549497967	365.9945001620217
certainty	5	sat	0	14087	56.96930965	0.0	13.551196899975995	2.400502019e-11	13.551196899975995	0.0040441051785334	0.0613062106360476	0.06131056291565942	427193.80311493843	30.325392426701104	4.482467348097671	372.68866999002057
polarization	1	sat	0	10969	33.71301751	0.0	4.119627195990536	9.46343004e-12	4.119627195990536	0.003073481403044945	0.036927234902725946	0.0369306017184529	166674.91554292754	15.195087568869317	4.676754785779399	387.2981164990051
polarization	2	sat	0	8946	55.84535784	0.0	11.99670438999978	-1.72528658e-13	11.99670438999978	0.006242494728370221	0.07206466056785171	0.07207271698602584	265942.3571945694	29.727515894765194	4.752095674527775	379.5818825660099
polarization	3	sat	0	9307	50.75094186	0.0	11.728087649993773	6.227351967e-12	11.728087649993773	0.0054529861244224775	0.06272396615235824	0.06273070631635416	256568.55074426954	27.567266653515585	4.873442200257843	294.97697914598393
polarization	4	sat	0	9755	43.80869252	0.0	7.308384254996475	0.0	7.308384254996475	0.004490896209123526	0.05251404782860059	0.05251943167603022	197420.3201801664	20.237859577669543	4.768040180401804	393.61443206699914
polarization	5	sat	0	8106	56.96930965	0.0	19.08664766000005	-5.129230374e-14	19.08664766000005	0.007028042147791759	0.0709907102504314	0.07099946912893237	280548.145933934	34.60993658202986	4.519797705686444	354.6979650550056
gamma001	1	sat	0	12552	33.71301751	0.0	7.890706545710125	-7.083222897e-14	7.890706545710125	0.0026858681891332057	0.032192831099585636	0.032195396061030904	212469.87987055117	16.927173348514273	3.7755118298414723	316.34932606399525
gamma001	2	sat	0	13308	55.84535784	0.0	10.707627709812005	-9.91429161e-14	10.707627709812005	0.004196374950405771	0.054967234651337814	0.0549713653520706	360350.33347501163	27.07772268372495	4.432789841460666	355.9800181440078
gamma001	3	sat	0	10374	50.75094186	0.0	16.663325349968193	3.180899988e-11	16.663325349968193	0.004892128577212261	0.05364032010989022	0.05364549125807089	315058.56487463875	30.370017820959973	3.934843373493976	307.2237426750071
gamma001	4	sat	0	10578	43.80869252	0.0	15.866028256526539	0.0	15.866028256526539	0.0041414910682548685	0.04653787861788621	0.04654227853077436	287445.86747103295	27.17393339676999	3.7023348142546553	318.6950872449961
gamma001	5	sat	0	11159	56.96930965	0.0	17.408613829995744	4.256706099e-12	17.408613829995744	0.005105234308629806	0.059815770704364196	0.05982113150116471	372779.3594444678	33.40616179267567	4.077150537634409	337.1392139569798
