config	runs	sat	sp_nonconvergence	mean_max_drop	mean_max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	mean_auc_per_step	mean_steps	mean_wall_seconds
certainty	5	4	1	10.67787042998149	10.67787042998149	0.003968513026495914	0.05950414763309395	0.059507548435850245	27.406743450423402	11345.6	327.86553703661195
polarization	5	5	0	10.847890230196123	10.847890230196123	0.005257580122550586	0.05904412394039358	0.05905058516515911	25.467533255369897	9416.6	362.03387506660073
gamma001	5	5	0	13.707260338402524	13.707260338402524	0.004204219418727182	0.04943080703661282	0.0494351325406223	26.99100180852897	11594.2	327.0774776169972
