config	runs	sat	sp_nonconvergence	mean_max_drop	mean_max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	mean_auc_per_step	mean_fixed_frontier_max_drop	mean_fixed_frontier_roughness	mean_fixed_frontier_auc_per_level	mean_steps	mean_wall_seconds
certainty	5	4	1	10.67787042998149	10.67787042998149	0.003968513026495914	0.05950414763309395	0.059507548435850245	27.406743450423402	4.382697004750002	0.010588945166423778	29.37967276537812	11345.6	327.86553703661195
polarization	5	5	0	10.847890230196123	10.847890230196123	0.005257580122550586	0.05904412394039358	0.05905058516515911	25.467533255369897	0.1367249143000004	0.008735741860263609	27.23684342770294	9416.6	362.03387506660073
gamma001	5	5	0	13.707260338402524	13.707260338402524	0.004204219418727182	0.04943080703661282	0.0494351325406223	26.99100180852897	8.228869197666011	0.0111350257026294	29.107232561628393	11594.2	327.0774776169972
dynamic_i	5	5	0	12.8642396376366	12.8642396376366	0.002935435490524175	0.05229483980510867	0.05229803684151927	25.44972165615174	3.5996261364130584	0.008710194729761625	28.38115692577158	16996.4	346.8881423243962
