# scorer=pol K=3 N=300 M=1200 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,300,1200,6.16226307,0.0205408769,44,0,1,0
1,back,299,1186,6.109909902,0.02036636634,3,0,0.8930363556,1
2,dec,300,1200,6.161976757,0.02053992252,4,0,0.8930363556,0
3,back,299,1186,6.109531809,0.02036510603,4,0,0.8930363556,1
4,dec,300,1200,6.162051933,0.02054017311,3,0,0.8930363556,0
5,back,299,1186,6.108742002,0.02036247334,5,0,0.891152655,1
6,dec,300,1200,6.161626615,0.02053875538,4,0,0.891152655,0
7,back,299,1186,6.109166637,0.02036388879,4,0,0.891152655,1
8,dec,300,1200,6.162085055,0.02054028352,3,0,0.891152655,0
9,back,299,1186,6.10870187,0.02036233957,5,0,0.89066181,1
10,dec,300,1200,6.161641412,0.02053880471,4,0,0.89066181,0
11,back,299,1186,6.109153551,0.02036384517,4,0,0.89066181,1
12,dec,300,1200,6.162094585,0.02054031528,3,0,0.89066181,0
13,back,299,1186,6.108695898,0.02036231966,5,0,0.8905865182,1
14,dec,300,1200,6.16164437,0.02053881457,4,0,0.8905865182,0
15,back,299,1186,6.109151604,0.02036383868,4,0,0.8905865182,1
16,dec,300,1200,6.162096073,0.02054032024,3,0,0.8905865182,0
17,dec,299,1186,6.108695207,0.02036231736,5,0,0.890573851,1
18,back,298,1174,6.098110365,0.02032703455,1,0,0.890573851,2
19,dec,299,1188,6.133479973,0.02044493324,4,0,0.890573851,1
20,back,298,1174,6.098402685,0.02032800895,2,0,0.890573851,2
21,dec,299,1186,6.109077336,0.02036359112,1,0,0.890573851,1
22,back,298,1174,6.09821051,0.02032736837,2,0,0.890573851,2
23,dec,299,1186,6.108769445,0.02036256482,1,0,0.890573851,1
24,back,298,1178,6.091860992,0.02030620331,2,0,0.890573851,2
25,dec,299,1186,6.108771512,0.02036257171,2,0,0.890573851,1
26,back,298,1174,6.098180035,0.02032726678,2,0,0.890573851,2
27,dec,299,1186,6.108800433,0.02036266811,1,0,0.890573851,1
28,back,298,1174,6.098118687,0.02032706229,1,0,0.890573851,2
29,dec,299,1186,6.108790329,0.02036263443,2,0,0.890573851,1
30,back,298,1174,6.098122737,0.02032707579,1,0,0.890573851,2
31,dec,299,1186,6.108801148,0.02036267049,2,0,0.890573851,1
32,back,298,1174,6.098111439,0.02032703813,1,0,0.890573851,2
33,dec,299,1186,6.108810126,0.02036270042,2,0,0.890573851,1
34,back,298,1174,6.098105953,0.02032701984,1,0,0.890573851,2
35,dec,299,1186,6.108809937,0.02036269979,2,0,0.890573851,1
36,dec,298,1174,6.098106818,0.02032702273,1,0,0.890573851,2
37,back,297,1166,6.081234265,0.02027078088,2,0,0.890573851,3
38,dec,298,1174,6.098121029,0.0203270701,2,0,0.890573851,2
39,back,297,1166,6.0811983,0.020270661,2,0,0.890573851,3
40,dec,298,1178,6.091832404,0.02030610801,2,0,0.890573851,2
41,back,297,1166,6.081251175,0.02027083725,1,0,0.890573851,3
42,dec,298,1178,6.091800568,0.02030600189,1,0,0.890573851,2
43,back,297,1166,6.081228461,0.02027076154,2,0,0.890573851,3
44,dec,298,1178,6.091807659,0.02030602553,1,0,0.890573851,2
45,back,297,1166,6.081240646,0.02027080215,2,0,0.890573851,3
46,dec,298,1178,6.091795798,0.02030598599,1,0,0.890573851,2
47,back,297,1166,6.081220258,0.02027073419,1,0,0.890573851,3
