START ALGORITHM:
I am going to build an instance with N: 1000 variables and 4200 clauses with a clause density equal to 4.2
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
1000 4200 8.52144476 0.00852144476 4.2
1000 4200 8.52155409 0.00852155409 4.2
1000 4200 8.52159299 0.00852159299 4.2
1000 4200 8.52164896 0.00852164896 4.2
1000 4200 8.52166887 0.00852166887 4.2
1000 4200 8.52169751 0.00852169751 4.2
1000 4200 8.52170769 0.00852170769 4.2
1000 4200 8.52172236 0.00852172236 4.2
1000 4200 8.52172757 0.00852172757 4.2
999 4190 8.52173174 0.00852173174 4.19419419
999 4190 8.52173507 0.00852173507 4.19419419
999 4190 8.52173774 0.00852173774 4.19419419
999 4190 8.52173988 0.00852173988 4.19419419
999 4190 8.52174158 0.00852174158 4.19419419
999 4190 8.52174295 0.00852174295 4.19419419
999 4190 8.52174404 0.00852174404 4.19419419
999 4190 8.52174491 0.00852174491 4.19419419
999 4190 8.52174561 0.00852174561 4.19419419
999 4190 8.52174617 0.00852174617 4.19419419
998 4185 8.52174641 0.00852174641 4.19338677
998 4185 8.52174681 0.00852174681 4.19338677
998 4185 8.52174713 0.00852174713 4.19338677
998 4185 8.52174738 0.00852174738 4.19338677
998 4185 8.52174759 0.00852174759 4.19338677
998 4185 8.52174775 0.00852174775 4.19338677
998 4185 8.52174788 0.00852174788 4.19338677
998 4185 8.52174799 0.00852174799 4.19338677
998 4185 8.52174807 0.00852174807 4.19338677
998 4185 8.52174814 0.00852174814 4.19338677
997 4182 8.52174817 0.00852174817 4.19458375
997 4182 8.52174822 0.00852174822 4.19458375
997 4182 8.52174825 0.00852174825 4.19458375
997 4182 8.52174828 0.00852174828 4.19458375
997 4182 8.52174831 0.00852174831 4.19458375
997 4182 8.52174833 0.00852174833 4.19458375
997 4182 8.52174834 0.00852174834 4.19458375
997 4182 8.52174836 0.00852174836 4.19458375
997 4182 8.52174837 0.00852174837 4.19458375
997 4182 8.52174838 0.00852174838 4.19458375
996 4175 8.52174838 0.00852174838 4.19176707
996 4173 8.52174838 0.00852174838 4.18975904
996 4173 8.52174839 0.00852174839 4.18975904
996 4173 8.52174839 0.00852174839 4.18975904
996 4173 8.5217484 0.0085217484 4.18975904
996 4173 8.5217484 0.0085217484 4.18975904
996 4173 8.5217484 0.0085217484 4.18975904
996 4173 8.5217484 0.0085217484 4.18975904
996 4173 8.5217484 0.0085217484 4.18975904
996 4173 8.5217484 0.0085217484 4.18975904
995 4168 8.5217484 0.0085217484 4.18894472
995 4168 8.5217484 0.0085217484 4.18894472
995 4168 8.52174841 0.00852174841 4.18894472
995 4168 8.52174841 0.00852174841 4.18894472
