config	runs	sat	sp_nonconvergence	mean_max_drop	mean_max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	mean_auc_per_step	mean_fixed_frontier_max_drop	mean_fixed_frontier_roughness	mean_fixed_frontier_auc_per_level	mean_steps	mean_wall_seconds
certainty	5	0	5	0.05872629539999981	0.05872629539999981	0.001604092196591543	0.029726148096232273	0.029726148096232273	5.512153047197329	0.05774983740000028	0.029007239296020206	5.248103662729181	7228.8	20.803466439200566
polarization	5	0	5	0.06537661659999969	0.06537661659999969	0.0016221039075178002	0.02845320894359683	0.02845320894359683	5.264912490673554	0.06976096079999969	0.029734152220709176	5.075639711439486	7137.4	22.258602161990712
dynamic_i	5	0	5	0.059008226599999956	0.059008226599999956	0.0013196190262531632	0.027023837190060566	0.027023837190060566	5.016516770310279	0.057929323599999805	0.025985292667057337	5.014953888010943	8351.6	27.928993034205632
