config	runs	sat	sp_nonconvergence	mean_max_drop	mean_max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	mean_auc_per_step	mean_fixed_frontier_max_drop	mean_fixed_frontier_roughness	mean_fixed_frontier_auc_per_level	mean_steps	mean_wall_seconds
certainty	10	5	5	1.8713133836546543	1.8713133836546543	0.0024595330268489747	0.03934070128296698	0.03934265504673521	11.745056615306826	0.3698835889000004	0.03625366477677071	10.66689517293183	8550.0	18.404259222501423
polarization	10	6	4	2.7600797365991783	2.7600797365991783	0.0026296635371629755	0.040246765346732126	0.04024918496555152	12.786791846864032	0.4672709608999998	0.04146711444417991	12.292711231782796	7386.1	16.96073898569739
dynamic_i	10	6	3	2.202576499687468	1.8473708101874677	0.0018887097115016754	0.03594344700105926	0.0359146988540785	11.06729498172537	0.2226650821200013	0.034526143766950436	11.064809014226132	11572.7	35.76074683829502
