config	runs	sat	sp_nonconvergence	mean_max_drop	mean_max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	mean_auc_per_step	mean_fixed_frontier_max_drop	mean_fixed_frontier_roughness	mean_fixed_frontier_auc_per_level	mean_steps	mean_wall_seconds
certainty	5	5	0	5.80189829626657	5.80189829626657	0.0019241847486605088	0.017482188828110028	0.017485033532092308	9.010343030056124	1.1838974696000002	0.024518871071647845	8.868992816501322	6713.2	6.110868196201045
polarization	5	3	2	5.531513481591379	5.531513481591379	0.002965456490237798	0.020552912160961216	0.020557483828347763	9.301882760549994	0.12104269179999987	0.020778801803655413	9.2674674435539	4616.6	4.573843462998047
certified	5	5	0	5.598440750931166	5.598440750931166	0.024803445135592444	0.026929051923022536	0.0269906676729941	8.594342602978537	5.598440750931166	0.03273997186206436	8.744450668254448	556.2	2.7474424053914843
