# scorer=cert K=3 N=1000 M=4200 seed=16 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=0 rollout_eta=15 eps=0.01 damp=0
step,action,vertex,dir
0,dec,948,0
1,back,948,-1
2,dec,948,0
3,back,948,-1
4,dec,948,0
5,back,948,-1
6,dec,948,0
7,back,948,-1
8,dec,948,0
9,back,948,-1
10,dec,948,0
11,back,948,-1
12,dec,948,0
13,back,948,-1
14,dec,948,0
15,back,948,-1
16,dec,948,0
17,dec,27,1
18,back,27,-1
19,dec,27,1
20,back,27,-1
21,dec,27,1
22,back,27,-1
23,dec,27,1
24,back,27,-1
25,dec,27,1
26,back,27,-1
27,dec,27,1
28,back,27,-1
29,dec,27,1
30,back,27,-1
31,dec,27,1
32,back,27,-1
33,dec,27,1
34,back,27,-1
35,dec,27,1
36,dec,516,0
37,back,516,-1
38,dec,516,0
39,back,516,-1
40,dec,516,0
41,back,516,-1
42,dec,516,0
43,back,516,-1
44,dec,516,0
45,back,516,-1
46,dec,516,0
47,back,516,-1
48,dec,516,0
49,back,516,-1
50,dec,516,0
51,back,516,-1
52,dec,516,0
53,back,516,-1
54,dec,516,0
55,dec,608,0
56,back,608,-1
57,dec,608,0
58,back,608,-1
59,dec,608,0
60,back,608,-1
61,dec,608,0
62,back,608,-1
63,dec,608,0
64,back,608,-1
65,dec,608,0
66,back,608,-1
67,dec,608,0
68,back,608,-1
69,dec,608,0
70,back,608,-1
71,dec,608,0
72,back,608,-1
73,dec,608,0
74,dec,945,0
75,back,945,-1
76,dec,945,0
77,back,945,-1
78,dec,945,0
79,back,945,-1
80,dec,945,0
81,back,945,-1
82,dec,945,0
83,back,945,-1
84,dec,945,0
85,back,945,-1
86,dec,945,0
87,back,945,-1
88,dec,945,0
89,back,945,-1
90,dec,945,0
91,back,945,-1
92,dec,945,0
93,dec,190,0
94,back,190,-1
95,dec,190,0
96,back,190,-1
97,dec,190,0
98,back,190,-1
99,dec,190,0
100,back,190,-1
101,dec,190,0
102,back,190,-1
103,dec,190,0
104,back,190,-1
105,dec,190,0
106,back,190,-1
107,dec,190,0
108,back,190,-1
109,dec,190,0
110,back,190,-1
111,dec,190,0
112,dec,633,0
113,back,633,-1
114,dec,633,0
115,back,633,-1
116,dec,633,0
117,back,633,-1
118,dec,633,0
119,back,633,-1
120,dec,633,0
121,back,633,-1
122,dec,633,0
123,back,633,-1
124,dec,633,0
125,back,633,-1
126,dec,633,0
127,back,633,-1
128,dec,633,0
129,back,633,-1
130,dec,633,0
131,dec,888,0
132,back,888,-1
133,dec,888,0
134,back,888,-1
135,dec,888,0
136,back,888,-1
137,dec,888,0
138,back,888,-1
139,dec,888,0
140,back,888,-1
141,dec,888,0
142,back,888,-1
143,dec,888,0
144,back,888,-1
145,dec,888,0
146,back,888,-1
147,dec,888,0
148,back,888,-1
149,dec,888,0
150,dec,596,1
151,back,596,-1
152,dec,596,1
153,back,596,-1
154,dec,596,1
155,back,596,-1
156,dec,596,1
157,back,596,-1
158,dec,596,1
159,back,596,-1
160,dec,596,1
161,back,596,-1
162,dec,596,1
163,back,596,-1
164,dec,596,1
165,back,596,-1
166,dec,596,1
167,back,596,-1
