state	rule	vertex	dir	retention	certainty	polarization	converged	delta_sigma	rho_after	lambda_after
normal	actual_retention_top	276	1	0.97570650737	0.9757065074	0.6971678485	1	-0.02393367647	0.9721352924	-0.0282602945
normal	max_sigma_after	276	1	0.97570650737	0.9757065074	0.6971678485	1	-0.02393367647	0.9721352924	-0.0282602945
normal	minimum_rho	260	0	0.8537438025999999	0.8537438026	0.6053660059	1	-0.1931548017	0.9324480966	-0.06994178953
normal	first_stable_by_retention	276	1	0.97570650737	0.9757065074	0.6971678485	1	-0.02393367647	0.9721352924	-0.0282602945
fatal	actual_retention_top	103	0	0.97450857541	0.9745085754	0.9125863991	0	0	0	0
fatal	max_sigma_after	290	1	0.97025233328	0.9702523333	0.7531564994	1	-0.03159704375	0.9944777376	-0.005537566471
fatal	minimum_rho	185	0	0.8851219276	0.8851219276	0.0650034879	1	-0.1165109984	0.9424249201	-0.05929902324
fatal	first_stable_by_retention	290	1	0.97025233328	0.9702523333	0.7531564994	1	-0.03159704375	0.9944777376	-0.005537566471
