# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=0 parisi_audit=0 dynamic_I_backtrack=0 sigma_certified=0 transaction_safe=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged,certified_sigma,replay_error,sp_residual,sp_contraction
0,dec,300,1245,2.666799837,0.00888933279,64,0,1,0,0,1,0,-0,0,0,0,0,0.008599656262,0.7043306688
1,back,299,1241,2.666956964,0.008889856546,0,0,1,1,0,1,0,-0,0,0,0,0,0.008923645976,0
2,dec,300,1245,2.667308966,0.008891029887,0,0,1,0,0,1,0,-0,0,0,0,0,0.00811325937,0
3,back,299,1241,2.667039213,0.008890130709,0,0,1,1,0,1,0,-0,0,0,0,0,0.006990647624,0
4,dec,300,1245,2.666744252,0.008889147507,0,0,1,0,0,1,0,-0,0,0,0,0,0.006607566428,0
5,back,299,1241,2.667167276,0.008890557586,0,0,1,1,0,1,0,-0,0,0,0,0,0.005794822853,0
6,dec,300,1245,2.667350728,0.008891169094,0,0,1,0,0,1,0,-0,0,0,0,0,0.005827613844,0
7,back,299,1241,2.666811258,0.008889370861,0,0,1,1,0,1,0,-0,0,0,0,0,0.005211094758,0
8,dec,300,1245,2.66680323,0.0088893441,0,0,1,0,0,1,0,-0,0,0,0,0,0.004788545723,0
9,back,299,1241,2.667348918,0.008891163059,0,0,1,1,0,1,0,-0,0,0,0,0,0.00419752119,0
10,dec,300,1245,2.667223922,0.008890746406,0,0,1,0,0,1,0,-0,0,0,0,0,0.004299920256,0
11,back,299,1241,2.666783443,0.008889278143,0,0,1,1,0,1,0,-0,0,0,0,0,0.003953143407,0
12,dec,300,1245,2.666972852,0.008889909507,0,0,1,0,0,1,0,-0,0,0,0,0,0.003147516884,0
13,back,299,1241,2.667274077,0.00889091359,0,0,1,1,0,1,0,-0,0,0,0,0,0.00246495353,0
14,dec,300,1245,2.667078769,0.008890262563,0,0,1,0,0,1,0,-0,0,0,0,0,0.003118188914,0
15,back,299,1241,2.66689485,0.008889649499,0,0,1,1,0,1,0,-0,0,0,0,0,0.00279334495,0
16,dec,300,1245,2.66705577,0.0088901859,0,0,1,0,0,1,0,-0,0,0,0,0,0.001884074434,0
17,dec,299,1241,2.667156944,0.008890523148,0,0,1,1,0,1,0,-0,0,0,0,0,0.001855046369,0
18,back,298,1232,2.662580348,0.008875267826,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.006897125705,0.5930884729
19,dec,299,1241,2.667056403,0.008890188011,2,0,0.9954978818,1,0,1,0,-0,0,0,0,0,0.007269821551,0.6025378612
20,back,298,1232,2.662546965,0.008875156551,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.007579865144,0.6107699509
21,dec,299,1241,2.667021886,0.008890072954,2,0,0.9954978818,1,0,1,0,-0,0,0,0,0,0.007704064676,0.6195898149
22,back,298,1232,2.662554086,0.008875180286,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.007666938873,0.6231410488
23,dec,299,1241,2.667056378,0.008890187928,2,0,0.9954978818,1,0,1,0,-0,0,0,0,0,0.007556777379,0.624494727
24,back,298,1232,2.662553727,0.00887517909,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.007590292247,0.6165244536
25,dec,299,1241,2.667042352,0.008890141174,2,0,0.9954978818,1,0,1,0,-0,0,0,0,0,0.007551885468,0.6114972571
26,back,298,1232,2.662551955,0.008875173183,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.007524680602,0.6008497155
27,dec,299,1241,2.667040201,0.008890134004,2,0,0.9954978818,1,0,1,0,-0,0,0,0,0,0.007448916744,0.5987151857
28,back,298,1232,2.662548519,0.00887516173,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.007394043832,0.5951009031
29,dec,299,1241,2.667041008,0.008890136693,2,0,0.9954978818,1,0,1,0,-0,0,0,0,0,0.007334758856,0.5989359754
30,back,298,1232,2.662548938,0.008875163128,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.007363916975,0.598067188
31,dec,299,1241,2.667041638,0.008890138792,2,0,0.9954978818,1,0,1,0,-0,0,0,0,0,0.007378970666,0.6036496492
32,back,298,1232,2.662551,0.008875169999,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.007452167081,0.6025968006
33,dec,299,1241,2.667042714,0.00889014238,2,0,0.9954978818,1,0,1,0,-0,0,0,0,0,0.007458439277,0.6068971261
34,back,298,1232,2.66255024,0.008875167466,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.007479729871,0.6038358892
35,dec,299,1241,2.667041738,0.008890139125,2,0,0.9954978818,1,0,1,0,-0,0,0,0,0,0.007444051726,0.6062023476
36,dec,298,1232,2.662549935,0.008875166448,2,0,0.9954978818,2,0,1,0,-0,0,0,0,0,0.007456418103,0.6025363732
37,back,297,1222,2.655248681,0.008850828935,2,0,0.9927723062,3,0,1,0,-0,0,0,0,0,0.007104490916,0.3686939077
38,dec,298,1232,2.662557342,0.00887519114,2,0,0.9927723062,2,0,1,0,-0,0,0,0,0,0.006795532576,0.3515597563
39,back,297,1222,2.65529986,0.008850999535,2,0,0.9926994207,3,0,1,0,-0,0,0,0,0,0.007364583467,0.3766359062
40,dec,298,1232,2.662621722,0.008875405741,2,0,0.9926994207,2,0,1,0,-0,0,0,0,0,0.007047955966,0.3612263724
41,back,297,1222,2.655345084,0.008851150279,2,0,0.9926994207,3,0,1,0,-0,0,0,0,0,0.00659150604,0.3374917821
42,dec,298,1232,2.662610843,0.008875369477,2,0,0.9926994207,2,0,1,0,-0,0,0,0,0,0.006169992683,0.3122217536
43,back,297,1222,2.65529877,0.008850995899,2,0,0.9926994207,3,0,1,0,-0,0,0,0,0,0.005875227805,0.3040069168
44,dec,298,1232,2.662565413,0.008875218045,2,0,0.9926994207,2,0,1,0,-0,0,0,0,0,0.005996026617,0.3067049864
45,back,297,1222,2.655269147,0.008850897157,2,0,0.9926994207,3,0,1,0,-0,0,0,0,0,0.005929073469,0.3074969973
46,dec,298,1232,2.662565491,0.008875218303,2,0,0.9926994207,2,0,1,0,-0,0,0,0,0,0.006263840041,0.3184476178
47,back,297,1222,2.655282806,0.008850942685,2,0,0.9926994207,3,0,1,0,-0,0,0,0,0,0.006208063133,0.3214976116
48,dec,298,1232,2.662581553,0.008875271843,2,0,0.9926994207,2,0,1,0,-0,0,0,0,0,0.006367823554,0.3241310161
49,back,297,1222,2.655292167,0.008850973889,2,0,0.9926994207,3,0,1,0,-0,0,0,0,0,0.006234457847,0.3224563956
50,dec,298,1232,2.662583411,0.008875278036,2,0,0.9926994207,2,0,1,0,-0,0,0,0,0,0.006342220594,0.3231439148
51,back,297,1222,2.655289628,0.008850965427,2,0,0.9926994207,3,0,1,0,-0,0,0,0,0,0.006220595267,0.3218590142
52,dec,298,1232,2.662580571,0.00887526857,2,0,0.9926994207,2,0,1,0,-0,0,0,0,0,0.006336769518,0.3225834655
53,back,297,1222,2.655288328,0.008850961093,2,0,0.9926994207,3,0,1,0,-0,0,0,0,0,0.006202184476,0.321023951
54,dec,298,1232,2.662578749,0.008875262496,2,0,0.9926994207,2,0,1,0,-0,0,0,0,0,0.006294486893,0.3205369157
55,dec,297,1222,2.655285531,0.00885095177,2,0,0.9926994207,3,0,1,0,-0,0,0,0,0,0.006163764217,0.31918216
