# scorer=cert K=3 N=300 M=1245 seed=3 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=0 parisi_audit=0 dynamic_I_backtrack=0 sigma_certified=0 transaction_safe=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged,certified_sigma,replay_error,sp_residual,sp_contraction
43,back,297,1223,1.381087313,0.004603624376,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.003925428218,0.3615505941
44,dec,298,1235,1.386374014,0.004621246714,2,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.004145410655,0.4098015678
45,back,297,1223,1.381059801,0.004603532669,1,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.009583494435,0.124050875
46,dec,298,1235,1.386333968,0.004621113228,2,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.004055647906,0.3739868683
47,back,297,1223,1.381038493,0.004603461642,1,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.009670067934,0.1254132122
48,dec,298,1235,1.386325803,0.004621086011,2,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.003956276552,0.3474308946
49,back,297,1223,1.381049154,0.00460349718,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.004289395377,0.4275292117
50,dec,298,1235,1.386309072,0.00462103024,1,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.009471841504,0.1227684711
51,back,297,1223,1.381019471,0.004603398235,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.004312531533,0.3999577645
52,dec,298,1235,1.386296072,0.004620986907,1,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.009552712079,0.1243554857
53,back,297,1223,1.381021616,0.004603405388,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.004187043049,0.3778638724
54,dec,298,1235,1.386298343,0.004620994478,1,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.00983420345,0.1280416574
55,dec,297,1223,1.381028855,0.004603429516,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.004145541663,0.370137095
56,back,296,1220,1.374129423,0.004580431411,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.004950994008,0.423895681
57,dec,297,1223,1.381000255,0.004603334182,3,0,0.9929855423,3,0,1,0,-0,0,0,0,0,0.004379491971,0.3936800364
58,back,296,1220,1.374140244,0.004580467481,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.004517034637,0.4111551865
59,dec,297,1223,1.381035846,0.00460345282,3,0,0.9929855423,3,0,1,0,-0,0,0,0,0,0.0051351944,0.4190970048
60,back,296,1220,1.37410315,0.004580343832,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.004910349974,0.4082756315
61,dec,297,1223,1.381048898,0.004603496326,3,0,0.9929855423,3,0,1,0,-0,0,0,0,0,0.004670385395,0.3901079153
62,back,296,1220,1.37407977,0.004580265901,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.005024774005,0.4084037556
63,dec,297,1223,1.381044307,0.004603481023,3,0,0.9929855423,3,0,1,0,-0,0,0,0,0,0.005073043244,0.4105353207
64,back,296,1220,1.374068731,0.004580229103,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.004758983709,0.3961926848
65,dec,297,1223,1.381047407,0.004603491358,3,0,0.9929855423,3,0,1,0,-0,0,0,0,0,0.004869724188,0.4013671153
