# scorer=cert K=3 N=1000 M=4200 seed=15 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=0 rollout_eta=15 eps=0.01 damp=0
step,action,vertex,dir
343,back,241,-1
344,dec,241,0
345,back,241,-1
346,dec,241,0
347,back,241,-1
348,dec,241,0
349,back,241,-1
350,dec,241,0
351,back,241,-1
352,dec,241,0
353,back,241,-1
354,dec,241,0
355,back,241,-1
356,dec,241,0
357,back,241,-1
358,dec,241,0
359,dec,423,1
360,back,241,-1
361,dec,241,0
362,back,241,-1
363,dec,241,0
364,back,241,-1
365,dec,241,0
366,back,241,-1
367,dec,241,0
368,back,241,-1
369,dec,241,0
370,back,241,-1
371,dec,241,0
372,back,241,-1
373,dec,241,0
374,back,241,-1
375,dec,241,0
376,back,241,-1
377,dec,241,0
378,dec,465,0
379,back,241,-1
380,dec,372,0
381,back,143,-1
382,dec,143,0
383,back,143,-1
384,dec,143,0
385,back,143,-1
386,dec,143,0
387,back,143,-1
388,dec,143,0
389,back,143,-1
390,dec,143,0
391,back,143,-1
392,dec,143,0
393,back,143,-1
394,dec,143,0
395,back,143,-1
396,dec,143,0
397,dec,241,0
398,back,241,-1
399,dec,241,0
400,back,241,-1
401,dec,241,0
402,back,241,-1
403,dec,241,0
404,back,241,-1
405,dec,241,0
406,back,241,-1
407,dec,241,0
408,back,241,-1
409,dec,241,0
410,back,241,-1
411,dec,241,0
412,back,241,-1
413,dec,241,0
414,back,241,-1
415,dec,241,0
416,dec,577,0
417,back,241,-1
418,dec,623,0
419,back,623,-1
420,dec,241,0
421,back,241,-1
422,dec,241,0
423,back,241,-1
424,dec,241,0
425,back,241,-1
426,dec,241,0
427,back,241,-1
428,dec,241,0
429,back,241,-1
430,dec,241,0
431,back,241,-1
432,dec,241,0
433,back,241,-1
434,dec,241,0
435,dec,50,1
436,back,50,-1
437,dec,623,0
438,back,241,-1
439,dec,241,0
440,back,241,-1
441,dec,241,0
442,back,241,-1
443,dec,241,0
444,back,241,-1
445,dec,241,0
446,back,241,-1
447,dec,241,0
448,back,241,-1
449,dec,241,0
450,back,241,-1
451,dec,241,0
452,back,241,-1
453,dec,241,0
454,dec,50,1
455,back,50,-1
456,dec,50,1
457,back,50,-1
458,dec,50,1
459,back,50,-1
460,dec,50,1
461,back,50,-1
462,dec,50,1
463,back,50,-1
464,dec,50,1
465,back,50,-1
466,dec,50,1
467,back,50,-1
468,dec,50,1
469,back,50,-1
470,dec,50,1
471,back,50,-1
472,dec,50,1
473,dec,819,0
474,back,50,-1
475,dec,50,1
476,back,50,-1
477,dec,50,1
478,back,50,-1
479,dec,50,1
480,back,50,-1
481,dec,50,1
482,back,50,-1
483,dec,50,1
484,back,50,-1
485,dec,50,1
486,back,50,-1
487,dec,50,1
488,back,50,-1
489,dec,50,1
490,back,50,-1
491,dec,50,1
492,dec,548,1
493,back,548,-1
494,dec,548,1
495,back,548,-1
496,dec,548,1
497,back,548,-1
498,dec,548,1
499,back,548,-1
500,dec,548,1
501,back,548,-1
502,dec,548,1
503,back,548,-1
504,dec,548,1
505,back,548,-1
506,dec,548,1
507,back,548,-1
508,dec,548,1
509,back,548,-1
510,dec,548,1
511,dec,458,1
512,back,548,-1
513,dec,548,1
514,back,548,-1
515,dec,548,1
516,back,548,-1
517,dec,548,1
518,back,548,-1
519,dec,548,1
520,back,548,-1
521,dec,548,1
522,back,548,-1
523,dec,548,1
524,back,548,-1
525,dec,548,1
526,back,548,-1
527,dec,548,1
528,back,548,-1
529,dec,548,1
530,dec,168,1
531,back,548,-1
532,dec,548,1
533,back,548,-1
534,dec,548,1
535,back,548,-1
536,dec,548,1
537,back,548,-1
538,dec,548,1
539,back,548,-1
540,dec,548,1
541,back,548,-1
542,dec,548,1
543,back,548,-1
544,dec,548,1
545,back,548,-1
546,dec,548,1
547,back,548,-1
548,dec,548,1
549,dec,788,0
550,back,788,-1
551,dec,788,0
552,back,788,-1
553,dec,788,0
554,back,788,-1
555,dec,788,0
556,back,788,-1
557,dec,788,0
558,back,788,-1
559,dec,788,0
560,back,788,-1
561,dec,788,0
562,back,788,-1
563,dec,788,0
564,back,788,-1
565,dec,788,0
566,back,788,-1
567,dec,788,0
568,dec,157,1
569,back,788,-1
570,dec,788,0
571,back,548,-1
572,dec,548,1
573,back,548,-1
574,dec,548,1
575,back,548,-1
576,dec,548,1
577,back,548,-1
578,dec,548,1
579,back,548,-1
580,dec,548,1
581,back,548,-1
582,dec,548,1
583,back,548,-1
584,dec,548,1
585,back,548,-1
586,dec,548,1
587,dec,820,1
588,back,820,-1
589,dec,820,1
590,back,820,-1
591,dec,820,1
592,back,820,-1
593,dec,820,1
594,back,820,-1
595,dec,820,1
596,back,820,-1
597,dec,820,1
598,back,820,-1
599,dec,820,1
600,back,820,-1
601,dec,820,1
602,back,820,-1
603,dec,820,1
604,back,820,-1
605,dec,820,1
606,dec,663,0
607,back,663,-1
608,dec,663,0
609,back,663,-1
610,dec,663,0
611,back,663,-1
612,dec,663,0
613,back,663,-1
614,dec,663,0
615,back,663,-1
616,dec,663,0
617,back,663,-1
618,dec,663,0
619,back,663,-1
620,dec,663,0
621,back,663,-1
622,dec,663,0
623,back,663,-1
624,dec,663,0
625,dec,769,1
626,back,769,-1
627,dec,734,1
628,back,663,-1
629,dec,663,0
630,back,663,-1
631,dec,663,0
632,back,663,-1
633,dec,663,0
634,back,663,-1
635,dec,663,0
636,back,663,-1
637,dec,663,0
638,back,663,-1
639,dec,663,0
640,back,663,-1
641,dec,663,0
642,back,663,-1
643,dec,663,0
644,dec,769,1
645,back,769,-1
646,dec,701,1
647,back,663,-1
648,dec,663,0
649,back,663,-1
650,dec,663,0
651,back,663,-1
652,dec,663,0
653,back,663,-1
654,dec,663,0
655,back,663,-1
656,dec,663,0
657,back,663,-1
658,dec,663,0
659,back,663,-1
660,dec,663,0
661,back,663,-1
662,dec,663,0
663,dec,769,1
664,back,769,-1
665,dec,769,1
666,back,769,-1
667,dec,769,1
668,back,769,-1
669,dec,769,1
670,back,769,-1
671,dec,769,1
672,back,769,-1
673,dec,769,1
674,back,769,-1
675,dec,769,1
676,back,769,-1
677,dec,769,1
678,back,769,-1
679,dec,769,1
680,back,769,-1
681,dec,769,1
682,dec,715,1
683,back,715,-1
684,dec,715,1
685,back,715,-1
686,dec,715,1
687,back,715,-1
688,dec,715,1
689,back,715,-1
690,dec,715,1
691,back,715,-1
692,dec,715,1
693,back,715,-1
694,dec,715,1
695,back,715,-1
696,dec,715,1
697,back,715,-1
698,dec,715,1
699,back,715,-1
700,dec,715,1
701,dec,670,0
702,back,670,-1
703,dec,670,0
704,back,670,-1
705,dec,670,0
706,back,670,-1
707,dec,670,0
708,back,670,-1
709,dec,670,0
710,back,670,-1
711,dec,670,0
712,back,670,-1
713,dec,670,0
714,back,670,-1
715,dec,670,0
716,back,670,-1
717,dec,670,0
718,back,670,-1
719,dec,670,0
720,dec,518,1
721,back,518,-1
722,dec,518,1
723,back,518,-1
724,dec,518,1
725,back,518,-1
726,dec,518,1
727,back,518,-1
728,dec,518,1
729,back,518,-1
730,dec,518,1
731,back,518,-1
732,dec,518,1
733,back,518,-1
734,dec,518,1
735,back,518,-1
736,dec,518,1
737,back,518,-1
738,dec,518,1
739,dec,621,1
740,back,518,-1
741,dec,518,1
742,back,518,-1
743,dec,518,1
744,back,518,-1
745,dec,518,1
746,back,518,-1
747,dec,518,1
748,back,518,-1
749,dec,518,1
750,back,518,-1
751,dec,518,1
752,back,518,-1
753,dec,518,1
754,back,518,-1
755,dec,518,1
756,back,518,-1
757,dec,518,1
758,dec,362,1
759,back,362,-1
760,dec,362,1
761,back,362,-1
762,dec,362,1
763,back,362,-1
764,dec,362,1
765,back,362,-1
766,dec,362,1
767,back,362,-1
768,dec,362,1
769,back,362,-1
770,dec,362,1
771,back,362,-1
772,dec,362,1
773,back,362,-1
774,dec,362,1
775,back,362,-1
776,dec,362,1
777,dec,968,0
778,back,362,-1
779,dec,532,0
780,back,518,-1
781,dec,518,1
782,back,518,-1
783,dec,518,1
784,back,968,-1
785,dec,968,0
786,back,518,-1
787,dec,518,1
788,back,518,-1
789,dec,518,1
790,back,518,-1
791,dec,518,1
792,back,518,-1
793,dec,518,1
794,back,518,-1
795,dec,518,1
796,dec,362,1
797,back,362,-1
798,dec,362,1
799,back,362,-1
800,dec,362,1
801,back,362,-1
802,dec,362,1
803,back,362,-1
804,dec,362,1
805,back,362,-1
806,dec,362,1
807,back,362,-1
808,dec,362,1
809,back,362,-1
810,dec,362,1
811,back,362,-1
812,dec,362,1
813,back,362,-1
814,dec,362,1
815,dec,129,0
816,back,362,-1
817,dec,362,1
818,back,362,-1
819,dec,362,1
820,back,129,-1
821,dec,129,0
822,back,362,-1
823,dec,362,1
824,back,362,-1
825,dec,362,1
826,back,362,-1
827,dec,362,1
828,back,362,-1
829,dec,362,1
830,back,362,-1
831,dec,362,1
832,back,362,-1
833,dec,362,1
834,dec,282,0
835,back,282,-1
836,dec,945,0
837,back,362,-1
838,dec,362,1
839,back,362,-1
840,dec,282,0
841,back,282,-1
842,dec,282,0
843,back,282,-1
844,dec,362,1
845,back,362,-1
846,dec,282,0
847,back,282,-1
848,dec,282,0
849,back,282,-1
850,dec,362,1
851,back,362,-1
852,dec,362,1
853,dec,282,0
854,back,362,-1
855,dec,275,1
856,back,282,-1
857,dec,282,0
858,back,275,-1
859,dec,275,1
860,back,282,-1
861,dec,282,0
862,back,282,-1
863,dec,362,1
864,back,362,-1
865,dec,282,0
866,back,282,-1
867,dec,282,0
868,back,282,-1
869,dec,362,1
870,back,362,-1
871,dec,282,0
872,dec,362,1
873,back,282,-1
874,dec,282,0
875,back,362,-1
876,dec,362,1
877,back,362,-1
878,dec,362,1
879,back,362,-1
880,dec,56,0
881,back,56,-1
882,dec,362,1
883,back,362,-1
884,dec,56,0
885,back,56,-1
886,dec,362,1
887,back,362,-1
888,dec,56,0
889,back,56,-1
890,dec,362,1
891,dec,56,0
892,back,56,-1
893,dec,56,0
894,back,362,-1
895,dec,362,1
896,back,56,-1
897,dec,56,0
898,back,282,-1
899,dec,282,0
900,back,282,-1
901,dec,282,0
902,back,282,-1
903,dec,282,0
904,back,282,-1
905,dec,282,0
906,back,282,-1
907,dec,282,0
908,back,282,-1
909,dec,282,0
910,dec,183,0
911,back,183,-1
912,dec,422,1
913,back,422,-1
914,dec,183,0
915,back,183,-1
916,dec,422,1
917,back,422,-1
918,dec,422,1
919,back,422,-1
920,dec,183,0
921,back,183,-1
922,dec,183,0
923,back,183,-1
924,dec,183,0
925,back,183,-1
926,dec,183,0
927,back,183,-1
928,dec,183,0
929,dec,422,1
930,back,183,-1
931,dec,265,0
932,back,422,-1
932,up,422,1
933,dec,183,0
934,back,183,-1
935,dec,646,0
936,back,646,-1
937,dec,183,0
938,back,183,-1
939,dec,646,0
940,back,646,-1
941,dec,646,0
942,back,646,-1
943,dec,183,0
944,back,183,-1
945,dec,646,0
946,back,646,-1
947,dec,183,0
948,dec,646,0
949,back,646,-1
950,dec,646,0
951,back,183,-1
952,dec,150,1
953,back,646,-1
954,dec,646,0
955,back,282,-1
956,dec,282,0
957,back,282,-1
958,dec,282,0
959,back,282,-1
960,dec,282,0
961,back,282,-1
962,dec,282,0
963,back,282,-1
964,dec,282,0
965,back,282,-1
966,dec,282,0
967,dec,183,0
968,back,183,-1
969,dec,183,0
970,back,183,-1
971,dec,183,0
972,back,183,-1
973,dec,183,0
974,back,183,-1
975,dec,183,0
976,back,183,-1
977,dec,183,0
978,back,183,-1
979,dec,183,0
980,back,183,-1
981,dec,183,0
982,back,183,-1
983,dec,183,0
984,back,183,-1
985,dec,183,0
986,dec,503,1
987,back,503,-1
988,dec,131,0
989,back,131,-1
990,dec,131,0
991,back,131,-1
992,dec,131,0
993,back,131,-1
994,dec,131,0
995,back,131,-1
996,dec,131,0
997,back,131,-1
998,dec,131,0
999,back,131,-1
1000,dec,131,0
1001,back,131,-1
1002,dec,131,0
1003,back,131,-1
1004,dec,131,0
1005,dec,473,1
1006,back,131,-1
1007,dec,131,0
1008,back,473,-1
1009,dec,473,1
1010,back,473,-1
1011,dec,473,1
1012,back,473,-1
1013,dec,473,1
1014,back,473,-1
1015,dec,473,1
1016,back,473,-1
1017,dec,473,1
1018,back,473,-1
1019,dec,473,1
1020,back,473,-1
1021,dec,473,1
1022,back,473,-1
1023,dec,473,1
1024,dec,503,1
1025,back,503,-1
1026,dec,503,1
1027,back,503,-1
1028,dec,503,1
1029,back,503,-1
1030,dec,503,1
1031,back,503,-1
1032,dec,503,1
1033,back,503,-1
1034,dec,503,1
1035,back,503,-1
1036,dec,503,1
1037,back,503,-1
1038,dec,503,1
1039,back,503,-1
1040,dec,503,1
1041,back,503,-1
1042,dec,503,1
1043,dec,592,1
1044,back,503,-1
1045,dec,503,1
1046,back,473,-1
1047,dec,488,0
1048,back,131,-1
1049,dec,131,0
1050,back,131,-1
1051,dec,131,0
1052,back,131,-1
1053,dec,131,0
1054,back,131,-1
1055,dec,131,0
1056,back,131,-1
1057,dec,131,0
1058,back,131,-1
1059,dec,131,0
1060,back,131,-1
1061,dec,131,0
1062,dec,517,0
1063,back,131,-1
1064,dec,131,0
1065,back,183,-1
1066,dec,183,0
1067,back,183,-1
1068,dec,183,0
1069,back,282,-1
1070,dec,282,0
1071,back,282,-1
1072,dec,282,0
1073,back,282,-1
1074,dec,282,0
1075,back,282,-1
1076,dec,282,0
1077,back,282,-1
1078,dec,282,0
1079,back,282,-1
1080,dec,282,0
1081,dec,473,1
1082,back,473,-1
1083,dec,473,1
1084,back,473,-1
1085,dec,473,1
1086,back,473,-1
1087,dec,473,1
1088,back,473,-1
1089,dec,473,1
1090,back,473,-1
1091,dec,473,1
1092,back,473,-1
1093,dec,473,1
1094,back,473,-1
1095,dec,473,1
1096,back,473,-1
1097,dec,473,1
1098,back,473,-1
1099,dec,473,1
1100,dec,384,1
1101,back,384,-1
1102,dec,384,1
1103,back,384,-1
1104,dec,384,1
1105,back,384,-1
1106,dec,384,1
1107,back,384,-1
1108,dec,384,1
1109,back,384,-1
1110,dec,384,1
1111,back,384,-1
1112,dec,384,1
1113,back,384,-1
1114,dec,384,1
1115,back,384,-1
1116,dec,384,1
1117,back,384,-1
1118,dec,384,1
1119,dec,742,0
1120,back,742,-1
1121,dec,711,0
1122,back,711,-1
1123,dec,711,0
1124,back,711,-1
1125,dec,742,0
1126,back,742,-1
1127,dec,711,0
1128,back,384,-1
1129,dec,384,1
1130,back,711,-1
1131,dec,711,0
1132,back,711,-1
1133,dec,742,0
1134,back,742,-1
1135,dec,711,0
1136,back,711,-1
1137,dec,711,0
1138,dec,742,0
1139,back,742,-1
1140,dec,742,0
1141,back,742,-1
1142,dec,93,1
1143,back,93,-1
1144,dec,742,0
1145,back,742,-1
1146,dec,742,0
1147,back,711,-1
1148,dec,711,0
1149,back,742,-1
1150,dec,93,1
1151,back,93,-1
1152,dec,93,1
1153,back,93,-1
1154,dec,742,0
1155,back,742,-1
1156,dec,93,1
1157,dec,742,0
1158,back,93,-1
1159,dec,93,1
1160,back,384,-1
1161,dec,384,1
1162,back,711,-1
1163,dec,711,0
1164,back,742,-1
1165,dec,742,0
1166,back,473,-1
1167,dec,473,1
1168,back,93,-1
1169,dec,93,1
1170,back,742,-1
1171,dec,742,0
1172,back,742,-1
1173,dec,742,0
1174,back,742,-1
1175,dec,742,0
1176,dec,46,0
1177,back,46,-1
1178,dec,685,1
1179,back,742,-1
1180,dec,742,0
1181,back,282,-1
1182,dec,282,0
1183,back,685,-1
1184,dec,685,1
1185,back,685,-1
1186,dec,685,1
1187,back,685,-1
1188,dec,685,1
1189,back,685,-1
1190,dec,685,1
1191,back,685,-1
1192,dec,685,1
1193,back,685,-1
1194,dec,685,1
1195,dec,766,0
1196,back,766,-1
1197,dec,766,0
1198,back,766,-1
1199,dec,46,0
1200,back,685,-1
1201,dec,766,0
1202,back,766,-1
1203,dec,766,0
1204,back,766,-1
1205,dec,685,1
1206,back,742,-1
1207,dec,742,0
1208,back,56,-1
1209,dec,766,0
1210,back,766,-1
1211,dec,56,0
1212,back,183,-1
1213,dec,183,0
1214,dec,766,0
1215,back,766,-1
1216,dec,766,0
1217,back,766,-1
1218,dec,766,0
1219,back,766,-1
1220,dec,766,0
1221,back,766,-1
1222,dec,766,0
1223,back,766,-1
1224,dec,766,0
1225,back,766,-1
1226,dec,766,0
1227,back,766,-1
1228,dec,766,0
1229,back,766,-1
1230,dec,766,0
1231,back,766,-1
1232,dec,766,0
1233,dec,847,0
1234,back,766,-1
1234,up,766,0
1235,dec,743,0
1236,back,743,-1
1237,dec,783,0
1238,back,783,-1
1239,dec,743,0
1240,back,743,-1
1241,dec,783,0
1242,back,783,-1
1243,dec,783,0
1244,back,783,-1
1245,dec,743,0
1246,back,743,-1
1247,dec,783,0
1248,back,783,-1
1249,dec,783,0
1250,back,783,-1
1251,dec,743,0
1252,dec,783,0
1253,back,743,-1
1254,dec,762,0
1255,back,762,-1
1256,dec,743,0
1257,back,783,-1
1258,dec,783,0
1259,back,783,-1
1260,dec,783,0
1261,back,783,-1
1262,dec,783,0
1263,back,783,-1
1264,dec,783,0
1265,back,783,-1
1266,dec,783,0
1267,back,783,-1
1268,dec,783,0
1269,back,783,-1
1270,dec,783,0
1271,dec,762,0
1272,back,762,-1
1273,dec,249,1
1274,back,783,-1
1275,dec,783,0
1276,back,743,-1
1277,dec,743,0
1278,back,743,-1
1279,dec,743,0
1280,back,743,-1
1281,dec,743,0
1282,back,743,-1
1283,dec,743,0
1284,back,743,-1
1285,dec,743,0
1286,back,743,-1
1287,dec,743,0
1288,back,743,-1
1289,dec,743,0
1290,dec,364,0
1291,back,364,-1
1292,dec,762,0
1293,back,743,-1
1294,dec,743,0
1295,back,762,-1
1296,dec,364,0
1297,back,364,-1
1298,dec,762,0
1299,back,783,-1
1300,dec,783,0
1301,back,743,-1
1302,dec,743,0
1303,back,762,-1
1304,dec,772,0
1305,back,783,-1
1306,dec,762,0
1307,back,762,-1
1308,dec,783,0
1309,dec,854,1
1310,back,854,-1
1311,dec,762,0
1312,back,762,-1
1313,dec,822,0
1314,back,822,-1
1315,dec,762,0
1316,back,783,-1
1317,dec,783,0
1318,back,762,-1
1319,dec,762,0
1320,back,762,-1
1321,dec,364,0
1322,back,364,-1
1323,dec,762,0
1324,back,743,-1
1325,dec,743,0
1326,back,743,-1
1327,dec,743,0
1328,dec,364,0
1329,back,364,-1
1330,dec,364,0
1331,back,364,-1
1332,dec,364,0
1333,back,364,-1
1334,dec,364,0
1335,back,364,-1
1336,dec,364,0
1337,back,364,-1
1338,dec,364,0
1339,back,364,-1
1340,dec,364,0
1341,back,364,-1
1342,dec,364,0
1343,back,364,-1
1344,dec,364,0
1345,back,364,-1
1346,dec,364,0
1347,dec,901,1
1348,back,901,-1
1349,dec,338,1
1350,back,338,-1
1351,dec,901,1
1352,back,901,-1
1353,dec,338,1
1354,back,338,-1
1355,dec,338,1
1356,back,338,-1
1357,dec,338,1
1358,back,338,-1
1359,dec,338,1
1360,back,338,-1
1361,dec,338,1
1362,back,338,-1
1363,dec,338,1
1364,back,338,-1
1365,dec,338,1
1366,dec,901,1
1367,back,338,-1
1368,dec,338,1
1369,back,338,-1
1370,dec,338,1
1371,back,338,-1
1372,dec,338,1
1373,back,338,-1
1374,dec,338,1
1375,back,901,-1
1376,dec,901,1
1377,back,338,-1
1378,dec,338,1
1379,back,338,-1
1380,dec,338,1
1381,back,338,-1
1382,dec,338,1
1383,back,338,-1
1384,dec,338,1
1385,dec,964,0
1386,back,964,-1
1387,dec,964,0
1388,back,338,-1
1389,dec,316,0
1390,back,964,-1
1391,dec,964,0
1392,back,901,-1
1393,dec,338,1
1394,back,364,-1
1395,dec,112,1
1396,back,316,-1
1397,dec,316,0
1398,back,338,-1
1399,dec,364,0
1400,back,364,-1
1401,dec,338,1
1402,back,338,-1
1403,dec,338,1
1404,dec,364,0
1405,back,338,-1
1406,dec,854,1
1407,back,854,-1
1408,dec,195,0
1409,back,195,-1
1410,dec,338,1
1411,back,338,-1
1412,dec,338,1
1413,back,338,-1
1414,dec,338,1
1415,back,338,-1
1416,dec,338,1
1417,back,338,-1
1418,dec,338,1
1419,back,338,-1
1420,dec,338,1
1421,back,338,-1
1422,dec,338,1
1423,dec,901,1
1424,back,901,-1
1425,dec,195,0
1426,back,195,-1
1427,dec,854,1
1428,back,338,-1
1429,dec,195,0
1430,back,854,-1
1431,dec,854,1
1432,back,364,-1
1433,dec,338,1
1434,back,338,-1
1435,dec,338,1
1436,back,338,-1
1437,dec,338,1
1438,back,338,-1
1439,dec,364,0
1440,back,743,-1
1441,dec,338,1
1442,dec,901,1
1443,back,901,-1
1444,dec,371,1
1445,back,338,-1
1446,dec,743,0
1447,back,762,-1
1448,dec,901,1
1449,back,901,-1
1450,dec,338,1
1451,back,338,-1
1452,dec,762,0
1453,back,783,-1
1454,dec,783,0
1455,back,371,-1
1456,dec,371,1
1457,back,371,-1
1458,dec,901,1
1459,back,901,-1
1460,dec,338,1
1461,dec,901,1
1462,back,338,-1
1463,dec,338,1
1464,back,338,-1
