START ALGORITHM:
I am going to build an instance with N: 300 variables and 1245 clauses with a clause density equal to 4.15
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
300 1245 1.92963742 0.00643212475 4.15
300 1245 1.92942592 0.00643141972 4.15
300 1245 1.92926263 0.00643087543 4.15
300 1245 1.92935738 0.00643119127 4.15
300 1245 1.92937314 0.0064312438 4.15
300 1245 1.9293795 0.006431265 4.15
300 1245 1.92939432 0.00643131441 4.15
300 1245 1.92937107 0.00643123689 4.15
300 1245 1.92938922 0.0064312974 4.15
299 1240 1.92937069 0.00643123564 4.14715719
299 1240 1.9293856 0.00643128532 4.14715719
299 1240 1.9293842 0.00643128066 4.14715719
299 1240 1.9293788 0.00643126268 4.14715719
299 1240 1.92939034 0.00643130113 4.14715719
299 1240 1.92938235 0.00643127451 4.14715719
299 1240 1.92938417 0.00643128056 4.14715719
299 1240 1.92938605 0.00643128682 4.14715719
299 1240 1.92938113 0.00643127043 4.14715719
299 1240 1.92938579 0.00643128595 4.14715719
298 1234 1.92938204 0.00643127347 4.1409396
298 1234 1.92938566 0.00643128552 4.1409396
298 1234 1.92938328 0.00643127761 4.1409396
298 1234 1.92938372 0.00643127906 4.1409396
298 1234 1.92938482 0.00643128273 4.1409396
298 1234 1.92938307 0.0064312769 4.1409396
298 1234 1.92938442 0.0064312814 4.1409396
298 1234 1.92938401 0.00643128005 4.1409396
298 1234 1.92938356 0.00643127854 4.1409396
298 1234 1.92938442 0.00643128139 4.1409396
297 1229 1.92938379 0.0064312793 4.13804714
297 1229 1.9293837 0.00643127899 4.13804714
297 1229 1.92938399 0.00643127996 4.13804714
297 1229 1.9293841 0.00643128033 4.13804714
297 1229 1.92938401 0.00643128004 4.13804714
297 1229 1.92938391 0.00643127971 4.13804714
297 1229 1.92938401 0.00643128004 4.13804714
297 1229 1.92938406 0.00643128019 4.13804714
297 1229 1.92938401 0.00643128003 4.13804714
297 1229 1.92938401 0.00643128003 4.13804714
296 1226 1.92926429 0.00643088098 4.14189189
296 1226 1.9292653 0.00643088435 4.14189189
296 1226 1.92926272 0.00643087575 4.14189189
296 1226 1.92926286 0.00643087619 4.14189189
296 1226 1.9292628 0.006430876 4.14189189
296 1226 1.92926291 0.00643087637 4.14189189
296 1226 1.92926282 0.00643087607 4.14189189
296 1226 1.9292642 0.00643088066 4.14189189
296 1226 1.92926464 0.00643088212 4.14189189
296 1226 1.92926542 0.00643088473 4.14189189
295 1222 1.92778931 0.00642596436 4.14237288
295 1222 1.92779016 0.0064259672 4.14237288
295 1222 1.92778313 0.00642594375 4.14237288
295 1222 1.92778177 0.00642593925 4.14237288
