# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lyapunov=0 lyapunov_step=-1 lyapunov_check=0 stability_constrained=1 tight_physical=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,lyapunov_rho,lyapunov_exponent,lyapunov_iterations,lyapunov_jvp_error,tight_converged,tight_lyapunov_rho,tight_lyapunov_exponent,tight_lyapunov_iterations,tight_Sigma,selected_stability_rho,selected_stability_sigma,stability_probes
62,back,296,1219,2.648111605,0.008827038684,2,0,0.9926628137,4,0,-inf,0,0,0,0,-inf,0,0,0,2.655263888,1
63,dec,297,1229,2.655311932,0.008851039774,2,0,0.9926628137,3,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
64,back,296,1219,2.64800721,0.008826690701,2,0,0.9926628137,4,0,-inf,0,0,0,0,-inf,0,0,0,2.655263888,1
65,dec,297,1229,2.655259868,0.008850866228,2,0,0.9926628137,3,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
66,back,296,1219,2.648000336,0.008826667787,2,0,0.9926628137,4,0,-inf,0,0,0,0,-inf,0,0,0,2.655263888,1
67,dec,297,1229,2.65527506,0.008850916865,2,0,0.9926628137,3,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
68,back,296,1219,2.64803318,0.008826777266,2,0,0.9926628137,4,0,-inf,0,0,0,0,-inf,0,0,0,2.655263888,1
69,dec,297,1229,2.655294684,0.008850982282,2,0,0.9926628137,3,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
70,back,296,1219,2.648043198,0.00882681066,2,0,0.9926628137,4,0,-inf,0,0,0,0,-inf,0,0,0,2.655263888,1
71,dec,297,1229,2.655295322,0.008850984405,2,0,0.9926628137,3,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
72,back,296,1219,2.648037471,0.008826791569,2,0,0.9926628137,4,0,-inf,0,0,0,0,-inf,0,0,0,2.655263888,1
73,dec,297,1229,2.655288077,0.008850960256,2,0,0.9926628137,3,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
74,dec,296,1219,2.648030259,0.008826767529,2,0,0.9926628137,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
75,back,295,1211,2.638069181,0.008793563936,2,0,0.9900883986,5,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
76,dec,296,1219,2.648003386,0.008826677955,2,0,0.9900883986,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
77,back,295,1211,2.638035765,0.008793452551,2,0,0.9900883986,5,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
78,dec,296,1219,2.648030996,0.008826769986,2,0,0.9900883986,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
79,back,295,1211,2.638019902,0.008793399672,2,0,0.9900571203,5,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
80,dec,296,1219,2.648011235,0.008826704118,2,0,0.9900571203,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
81,back,295,1211,2.638024597,0.008793415323,2,0,0.9900518474,5,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
82,dec,296,1219,2.648040807,0.008826802691,2,0,0.9900518474,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
83,back,295,1211,2.638055213,0.008793517378,2,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
84,dec,296,1219,2.648065361,0.008826884537,2,0,0.990037837,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
85,back,295,1211,2.638065446,0.008793551485,2,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
86,dec,296,1219,2.648066132,0.008826887106,2,0,0.990037837,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
87,back,295,1211,2.638066256,0.008793554188,2,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
88,dec,296,1219,2.648068107,0.00882689369,2,0,0.990037837,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
89,back,295,1211,2.638068172,0.008793560573,2,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
90,dec,296,1219,2.648067963,0.008826893209,2,0,0.990037837,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
91,back,295,1211,2.638066576,0.008793555255,2,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.648008647,1
92,dec,296,1219,2.64806615,0.008826887167,2,0,0.990037837,4,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
93,dec,295,1211,2.63806619,0.008793553966,2,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
94,back,294,1206,2.630909875,0.008769699582,1,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.633294709,1
95,dec,295,1214,2.633264868,0.008777549559,2,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
96,back,294,1206,2.630894182,0.008769647272,0,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.637186151,1
97,dec,295,1215,2.637180314,0.008790601046,2,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
98,back,294,1206,2.630820883,0.008769402942,2,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
99,dec,295,1211,2.638018397,0.008793394655,1,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
100,back,294,1206,2.630818699,0.008769395662,1,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
101,dec,295,1211,2.638037045,0.008793456817,1,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
102,back,294,1206,2.630828353,0.008769427845,1,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.638057882,1
103,dec,295,1209,2.637969241,0.008793230802,2,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
104,back,294,1206,2.630803219,0.008769344063,2,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
105,dec,295,1211,2.638011517,0.008793371725,1,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
106,back,294,1206,2.630818428,0.008769394759,1,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
107,dec,295,1211,2.638022218,0.008793407394,1,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
108,back,294,1206,2.630867648,0.008769558826,1,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
109,dec,295,1211,2.638027681,0.008793425603,1,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
110,back,294,1206,2.630838825,0.008769462751,1,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.63800878,1
111,dec,295,1211,2.638019991,0.008793399971,1,0,0.990037837,5,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
112,dec,294,1206,2.630855837,0.008769519457,1,0,0.990037837,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
113,back,293,1200,2.62057696,0.008735256534,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
114,dec,294,1206,2.630871393,0.008769571312,2,0,0.9894496152,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
115,back,293,1200,2.620466512,0.008734888373,1,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
116,dec,294,1206,2.630849987,0.008769499956,2,0,0.9894496152,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
117,back,293,1200,2.620537448,0.008735124825,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
118,dec,294,1206,2.630855025,0.008769516751,2,0,0.9894496152,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
119,back,293,1200,2.620632391,0.008735441303,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
120,dec,294,1206,2.630914487,0.008769714957,2,0,0.9894496152,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
121,back,293,1200,2.620628893,0.008735429643,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
122,dec,294,1206,2.630895764,0.008769652546,2,0,0.9894496152,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
123,back,293,1200,2.6206214,0.008735404667,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
124,dec,294,1206,2.630896908,0.008769656359,2,0,0.9894496152,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
125,back,293,1200,2.620623727,0.008735412423,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
126,dec,294,1206,2.63090247,0.0087696749,2,0,0.9894496152,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
127,back,293,1200,2.620620819,0.008735402731,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
128,dec,294,1206,2.630897043,0.00876965681,2,0,0.9894496152,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
129,back,293,1200,2.620617936,0.00873539312,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.630848649,1
130,dec,294,1206,2.630898274,0.008769660913,2,0,0.9894496152,6,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
131,dec,293,1200,2.620621616,0.008735405386,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
132,back,292,1189,2.610745457,0.008702484856,2,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.616278867,1
133,dec,293,1195,2.616351136,0.008721170453,1,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
134,back,292,1189,2.610738361,0.008702461202,1,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
135,dec,293,1200,2.620553396,0.008735177988,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
136,back,292,1189,2.610785223,0.00870261741,2,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
137,dec,293,1200,2.620487051,0.008734956838,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
138,back,292,1189,2.610762304,0.008702541014,2,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
139,dec,293,1200,2.620562557,0.008735208522,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
140,back,292,1189,2.610759077,0.008702530255,2,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
141,dec,293,1200,2.620516552,0.008735055173,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
142,back,292,1189,2.610732099,0.00870244033,2,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
143,dec,293,1200,2.620534211,0.008735114036,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
144,back,292,1189,2.610756444,0.008702521479,2,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
145,dec,293,1200,2.620550282,0.008735167606,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
146,back,292,1189,2.610754897,0.008702516322,2,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
147,dec,293,1200,2.620540188,0.008735133959,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
148,back,292,1189,2.610748271,0.008702494235,2,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.62056959,1
149,dec,293,1200,2.620538908,0.008735129695,2,0,0.9894496152,7,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
150,dec,292,1189,2.610752013,0.008702506712,2,0,0.9894496152,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
151,back,291,1177,2.598442123,0.008661473744,1,0,0.9877591617,9,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
152,dec,292,1189,2.610804068,0.008702680228,1,0,0.9877591617,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
153,back,291,1177,2.598437269,0.008661457565,1,0,0.9876928197,9,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
154,dec,292,1189,2.610703497,0.008702344989,2,0,0.9876928197,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
155,back,291,1177,2.59837411,0.008661247034,2,0,0.9876928197,9,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
156,dec,292,1189,2.610728933,0.008702429776,1,0,0.9876928197,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
157,back,291,1177,2.598251102,0.008660837005,2,0,0.9876928197,9,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
158,dec,292,1189,2.610833163,0.008702777211,2,0,0.9876928197,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
159,back,291,1177,2.598236034,0.00866078678,1,0,0.9876077106,9,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
160,dec,292,1189,2.610690577,0.008702301925,2,0,0.9876077106,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
161,back,291,1177,2.598353713,0.008661179043,2,0,0.9876077106,9,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
162,dec,292,1189,2.610685575,0.008702285249,1,0,0.9876077106,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
163,back,291,1177,2.598463479,0.00866154493,3,0,0.9876077106,9,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
164,dec,292,1189,2.610706091,0.008702353636,1,0,0.9876077106,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
165,back,291,1177,2.598308198,0.008661027325,1,0,0.9876077106,9,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
166,dec,292,1189,2.610668944,0.008702229814,2,0,0.9876077106,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
167,back,291,1177,2.598320889,0.008661069629,2,0,0.9876077106,9,0,-inf,0,0,0,0,-inf,0,0,0,2.610780826,1
168,dec,292,1189,2.610729164,0.008702430546,1,0,0.9876077106,8,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
169,dec,291,1177,2.598231924,0.008660773081,2,0,0.9876077106,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
170,back,290,1170,2.585487726,0.00861829242,2,0,0.9873835519,10,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
171,dec,291,1177,2.598338324,0.008661127747,2,0,0.9873835519,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
172,back,290,1170,2.585498682,0.00861832894,2,0,0.9872744386,10,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
173,dec,291,1177,2.598294849,0.008660982831,2,0,0.9872744386,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
174,back,290,1170,2.585477426,0.008618258088,2,0,0.9871899652,10,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
175,dec,291,1177,2.598278085,0.008660926949,2,0,0.9871899652,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
176,back,290,1170,2.585441507,0.008618138356,2,0,0.9871648619,10,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
177,dec,291,1177,2.598270628,0.008660902092,2,0,0.9871648619,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
178,back,290,1170,2.58543912,0.008618130401,2,0,0.9871509909,10,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
179,dec,291,1177,2.598267792,0.00866089264,2,0,0.9871509909,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
180,back,290,1170,2.585435957,0.008618119858,2,0,0.9871509909,10,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
181,dec,291,1177,2.598266395,0.008660887984,2,0,0.9871509909,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
182,back,290,1170,2.585432231,0.008618107437,2,0,0.9871509909,10,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
183,dec,291,1177,2.598263624,0.008660878748,2,0,0.9871509909,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
184,back,290,1170,2.585430071,0.008618100237,2,0,0.9871509909,10,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
185,dec,291,1177,2.598261515,0.008660871715,2,0,0.9871509909,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
186,back,290,1170,2.585429619,0.00861809873,2,0,0.9871509909,10,0,-inf,0,0,0,0,-inf,0,0,0,2.598319655,1
187,dec,291,1177,2.598261259,0.008660870864,2,0,0.9871509909,9,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
188,dec,290,1170,2.585429748,0.00861809916,2,0,0.9871509909,10,0,-inf,0,0,0,0,-inf,0,0,0,2.572482251,1
189,back,289,1162,2.572459015,0.008574863384,2,0,0.986664141,11,0,-inf,0,0,0,0,-inf,0,0,0,2.58548766,1
190,dec,290,1170,2.585366032,0.008617886774,2,0,0.986664141,10,0,-inf,0,0,0,0,-inf,0,0,0,2.572482251,1
191,back,289,1162,2.572432944,0.008574776479,2,0,0.986664141,11,0,-inf,0,0,0,0,-inf,0,0,0,2.585079733,1
192,dec,290,1169,2.585103859,0.008617012864,3,0,0.986664141,10,0,-inf,0,0,0,0,-inf,0,0,0,2.572397389,1
193,back,289,1162,2.572362649,0.008574542164,1,0,0.986664141,11,0,-inf,0,0,0,0,-inf,0,0,0,2.584827613,1
194,dec,290,1170,2.584890421,0.008616301404,2,0,0.986664141,10,0,-inf,0,0,0,0,-inf,0,0,0,2.572397389,1
195,back,289,1162,2.572263982,0.008574213273,2,0,0.986664141,11,0,-inf,0,0,0,0,-inf,0,0,0,2.585079733,1
196,dec,290,1169,2.58502844,0.008616761467,1,0,0.986664141,10,0,-inf,0,0,0,0,-inf,0,0,0,2.572482251,1
197,back,289,1162,2.572508281,0.008575027602,2,0,0.986664141,11,0,-inf,0,0,0,0,-inf,0,0,0,2.584510047,1
198,dec,290,1174,2.58453938,0.008615131267,2,0,0.986664141,10,0,-inf,0,0,0,0,-inf,0,0,0,2.572482251,1
199,back,289,1162,2.572562235,0.008575207449,2,0,0.986664141,11,0,-inf,0,0,0,0,-inf,0,0,0,2.585079733,1
200,dec,290,1169,2.585096496,0.00861698832,2,0,0.986664141,10,0,-inf,0,0,0,0,-inf,0,0,0,2.572482251,1
