# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lyapunov=1 lyapunov_step=1400 lyapunov_check=0 adjoint_check=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,lyapunov_rho,lyapunov_exponent,lyapunov_iterations,lyapunov_jvp_error,adjoint_identity_error,adjoint_eigenvalue,adjoint_overlap,adjoint_right_residual,adjoint_left_residual,tight_converged,tight_lyapunov_rho,tight_lyapunov_exponent,tight_lyapunov_iterations,tight_Sigma
44,dec,298,1232,2.662565413,0.008875218045,2,0,0.9926994207,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
45,back,297,1222,2.655269147,0.008850897157,2,0,0.9926994207,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
46,dec,298,1232,2.662565491,0.008875218303,2,0,0.9926994207,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
47,back,297,1222,2.655282806,0.008850942685,2,0,0.9926994207,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
48,dec,298,1232,2.662581553,0.008875271843,2,0,0.9926994207,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
49,back,297,1222,2.655292167,0.008850973889,2,0,0.9926994207,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
50,dec,298,1232,2.662583411,0.008875278036,2,0,0.9926994207,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
51,back,297,1222,2.655289628,0.008850965427,2,0,0.9926994207,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
52,dec,298,1232,2.662580571,0.00887526857,2,0,0.9926994207,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
53,back,297,1222,2.655288328,0.008850961093,2,0,0.9926994207,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
54,dec,298,1232,2.662578749,0.008875262496,2,0,0.9926994207,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
55,dec,297,1222,2.655285531,0.00885095177,2,0,0.9926994207,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
56,back,296,1219,2.647976802,0.008826589341,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
57,dec,297,1222,2.655196869,0.008850656231,2,0,0.9926628137,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
58,back,296,1219,2.647896517,0.008826321725,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
59,dec,297,1229,2.655236974,0.008850789914,2,0,0.9926628137,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
60,back,296,1219,2.648063384,0.008826877946,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
61,dec,297,1229,2.655402393,0.00885134131,2,0,0.9926628137,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
62,back,296,1219,2.648111605,0.008827038684,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
63,dec,297,1229,2.655311932,0.008851039774,2,0,0.9926628137,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
64,back,296,1219,2.64800721,0.008826690701,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
65,dec,297,1229,2.655259868,0.008850866228,2,0,0.9926628137,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
66,back,296,1219,2.648000336,0.008826667787,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
67,dec,297,1229,2.65527506,0.008850916865,2,0,0.9926628137,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
68,back,296,1219,2.64803318,0.008826777266,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
69,dec,297,1229,2.655294684,0.008850982282,2,0,0.9926628137,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
70,back,296,1219,2.648043198,0.00882681066,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
71,dec,297,1229,2.655295322,0.008850984405,2,0,0.9926628137,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
72,back,296,1219,2.648037471,0.008826791569,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
73,dec,297,1229,2.655288077,0.008850960256,2,0,0.9926628137,3,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
74,dec,296,1219,2.648030259,0.008826767529,2,0,0.9926628137,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
75,back,295,1211,2.638069181,0.008793563936,2,0,0.9900883986,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
76,dec,296,1219,2.648003386,0.008826677955,2,0,0.9900883986,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
77,back,295,1211,2.638035765,0.008793452551,2,0,0.9900883986,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
78,dec,296,1219,2.648030996,0.008826769986,2,0,0.9900883986,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
79,back,295,1211,2.638019902,0.008793399672,2,0,0.9900571203,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
80,dec,296,1219,2.648011235,0.008826704118,2,0,0.9900571203,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
81,back,295,1211,2.638024597,0.008793415323,2,0,0.9900518474,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
82,dec,296,1219,2.648040807,0.008826802691,2,0,0.9900518474,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
83,back,295,1211,2.638055213,0.008793517378,2,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
84,dec,296,1219,2.648065361,0.008826884537,2,0,0.990037837,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
85,back,295,1211,2.638065446,0.008793551485,2,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
86,dec,296,1219,2.648066132,0.008826887106,2,0,0.990037837,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
87,back,295,1211,2.638066256,0.008793554188,2,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
88,dec,296,1219,2.648068107,0.00882689369,2,0,0.990037837,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
89,back,295,1211,2.638068172,0.008793560573,2,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
90,dec,296,1219,2.648067963,0.008826893209,2,0,0.990037837,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
91,back,295,1211,2.638066576,0.008793555255,2,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
92,dec,296,1219,2.64806615,0.008826887167,2,0,0.990037837,4,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
93,dec,295,1211,2.63806619,0.008793553966,2,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
94,back,294,1206,2.630909875,0.008769699582,1,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
95,dec,295,1214,2.633264868,0.008777549559,2,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
96,back,294,1206,2.630894182,0.008769647272,0,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
