# scorer=cert K=3 N=300 M=1245 seed=4 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=0 parisi_audit=0 dynamic_I_backtrack=0 sigma_certified=0 transaction_safe=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged,certified_sigma,replay_error,sp_residual,sp_contraction
0,dec,300,1245,3.031969362,0.01010656454,60,0,1,0,0,1,0,-0,0,0,0,0,0.009905426204,0.7247796168
1,back,299,1232,3.028793146,0.01009597715,2,0,0.9968269016,1,0,1,0,-0,0,0,0,0,0.008964647651,0.800526685
2,dec,300,1245,3.031970282,0.01010656761,1,0,0.9968269016,0,0,1,0,-0,0,0,0,0,0.006080962801,0.3791241829
3,back,299,1232,3.029034435,0.01009678145,1,0,0.9968016817,1,0,1,0,-0,0,0,0,0,0.005614312913,0.3747262591
4,dec,300,1245,3.032272071,0.01010757357,1,0,0.9968016817,0,0,1,0,-0,0,0,0,0,0.004106563381,0.2847332729
5,back,299,1232,3.029180447,0.01009726816,1,0,0.9967117994,1,0,1,0,-0,0,0,0,0,0.004703032686,0.3446759881
6,dec,300,1245,3.03279499,0.01010931663,1,0,0.9967117994,0,0,1,0,-0,0,0,0,0,0.003725309558,0.2603841515
7,back,299,1232,3.02960671,0.01009868903,1,0,0.9966408973,1,0,1,0,-0,0,0,0,0,0.003119586695,0.2117346678
8,dec,300,1245,3.033230808,0.01011076936,1,0,0.9966408973,0,0,1,0,-0,0,0,0,0,0.003588205713,0.2391657118
9,back,299,1232,3.029951209,0.01009983736,1,0,0.9965739091,1,0,1,0,-0,0,0,0,0,0.003600326174,0.247444181
10,dec,300,1245,3.033597217,0.01011199072,1,0,0.9965739091,0,0,1,0,-0,0,0,0,0,0.004002863249,0.26383489
11,back,299,1232,3.03014852,0.01010049507,1,0,0.9965094511,1,0,1,0,-0,0,0,0,0,0.002484778091,0.1668100487
12,dec,300,1245,3.033748815,0.01011249605,1,0,0.9965094511,0,0,1,0,-0,0,0,0,0,0.003610859771,0.2421771744
