seed	solutions	b	t	mean_c1	mean_v1	mean_core_fraction	ess	seconds
21	11	1.0	1.0	50.63636363636363	17.818181818181817	0.09090909090909091	11.0	1.7778110459912568
21	11	1.0	0.95	50.0498791077609	17.696846627516067	0.058283576067429295	10.70455758168032	1.7778110459912568
21	11	1.0	0.9	49.54869082577504	17.608357285662553	0.03542329946132584	10.017142037145229	1.7778110459912568
21	11	1.0	0.8	48.763756473976706	17.523548247749744	0.011073335419301679	8.257406325509276	1.7778110459912568
21	11	0.8	1.0	50.06826801517068	17.505267593763172	0.053940160134850416	10.277723986190821	1.7778110459912568
21	11	0.8	0.95	49.637008653013716	17.401972911127285	0.03372613964737029	9.715089492150556	1.7778110459912568
21	11	0.8	0.9	49.2730584332203	17.32465234097533	0.020122451636955106	9.089379418145596	1.7778110459912568
21	11	0.8	0.8	48.70012047856749	17.23966358916052	0.006172213308644391	7.882821924541938	1.7778110459912568
21	11	0.6	1.0	49.47370039987697	17.133189787757612	0.024915410642879113	8.080208041063871	1.7778110459912568
21	11	0.6	0.95	49.19551130462362	17.052451088921526	0.015171945206060659	7.534637771112972	1.7778110459912568
21	11	0.6	0.9	48.96103234720153	16.98908511049751	0.008870892258573402	7.050449999245983	1.7778110459912568
21	11	0.6	0.8	48.587175562805044	16.90749919192197	0.002656146429389331	6.266923675154658	1.7778110459912568
22	1	1.0	1.0	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	1.0	0.95	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	1.0	0.9	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	1.0	0.8	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	0.8	1.0	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	0.8	0.95	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	0.8	0.9	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	0.8	0.8	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	0.6	1.0	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	0.6	0.95	58.0	20.0	1.0	1.0	1.7733296939986758
22	1	0.6	0.9	58.00000000000001	20.0	1.0	1.0	1.7733296939986758
22	1	0.6	0.8	58.0	20.0	1.0	1.0	1.7733296939986758
23	2	1.0	1.0	53.0	19.0	0.95	2.0	1.7532871899893507
23	2	1.0	0.95	52.948751642575566	19.0	0.9500000000000001	1.9947609714764005	1.7532871899893507
23	2	1.0	0.9	52.89502762430939	19.0	0.95	1.9782017994082481	1.7532871899893507
23	2	1.0	0.8	52.78048780487805	18.999999999999996	0.95	1.9080590238365494	1.7532871899893507
23	2	0.8	1.0	53.0	18.999999999999996	0.95	2.0	1.7532871899893507
23	2	0.8	0.95	52.94875164257556	19.000000000000004	0.95	1.9947609714763999	1.7532871899893507
23	2	0.8	0.9	52.8950276243094	19.000000000000004	0.9500000000000001	1.9782017994082481	1.7532871899893507
23	2	0.8	0.8	52.78048780487805	19.000000000000004	0.95	1.9080590238365494	1.7532871899893507
23	2	0.6	1.0	53.00000000000001	19.0	0.9500000000000001	2.0	1.7532871899893507
23	2	0.6	0.95	52.94875164257556	19.0	0.9499999999999998	1.9947609714764	1.7532871899893507
23	2	0.6	0.9	52.895027624309385	18.999999999999996	0.95	1.9782017994082486	1.7532871899893507
23	2	0.6	0.8	52.78048780487804	19.0	0.95	1.9080590238365496	1.7532871899893507
24	7	1.0	1.0	54.714285714285715	18.571428571428573	0.8499999999999999	7.0	1.7651215380174108
24	7	1.0	0.95	54.58465455404272	18.57091581229765	0.8500000000000001	6.952998632631807	1.7651215380174108
24	7	1.0	0.9	54.44447923443683	18.571564368464763	0.8499999999999998	6.799903302112715	1.7651215380174108
24	7	1.0	0.8	54.1321392096787	18.577343074868413	0.8500000000000001	6.1414506098166735	1.7651215380174108
24	7	0.8	1.0	54.70967741935483	18.51612903225806	0.85	6.913669064748202	1.7651215380174108
24	7	0.8	0.95	54.584783609159636	18.5156061958658	0.85	6.869062387113927	1.7651215380174108
24	7	0.8	0.9	54.44979351771803	18.516267518393732	0.85	6.730947196403801	1.7651215380174108
24	7	0.8	0.8	54.14899815262185	18.522168537729144	0.8499999999999999	6.1400664715302575	1.7651215380174108
24	7	0.6	1.0	54.7037037037037	18.444444444444446	0.85	6.5675675675675675	1.7651215380174108
24	7	0.6	0.95	54.58495085836231	18.44392760248917	0.8500000000000002	6.527414411163534	1.7651215380174108
24	7	0.6	0.9	54.45668288855605	18.444581368793013	0.8499999999999999	6.4114180578568005	1.7651215380174108
24	7	0.6	0.8	54.17091956606126	18.450425970948167	0.85	5.921164999932072	1.7651215380174108
25	4	1.0	1.0	60.5	19.5	0.9750000000000001	4.0	1.8121300740167499
25	4	1.0	0.95	58.654368297138156	19.56883143619942	0.978441571809971	3.6158048676225714	1.8121300740167499
25	4	1.0	0.9	56.5098305938463	19.66914722347841	0.9834573611739202	2.660646233892468	1.8121300740167499
25	4	1.0	0.8	52.93081689260145	19.870046724249086	0.9935023362124541	1.396997092212163	1.8121300740167499
25	4	0.8	1.0	60.72222222222222	19.444444444444443	0.9722222222222221	3.9512195121951224	1.8121300740167499
25	4	0.8	0.95	59.027314546493095	19.513482101174265	0.9756741050587132	3.7314157816875304	1.8121300740167499
25	4	0.8	0.9	56.96543544343709	19.618028141807073	0.9809014070903536	2.8822447213541222	1.8121300740167499
25	4	0.8	0.8	53.23017307948504	19.842669799058086	0.9921334899529044	1.47930691387001	1.8121300740167499
25	4	0.6	1.0	60.99999999999999	19.375	0.96875	3.764705882352942	1.8121300740167499
25	4	0.6	0.95	59.510113221277045	19.441829455125305	0.9720914727562654	3.7506964489318104	1.8121300740167499
25	4	0.6	0.9	57.58755653290062	19.548225858511987	0.9774112929255996	3.146868769995855	1.8121300740167499
25	4	0.6	0.8	53.689321497015094	19.800679446330985	0.9900339723165493	1.6152502139055875	1.8121300740167499
26	2	1.0	1.0	56.5	20.0	1.0	2.0	1.581488864030689
