seed	solutions	b	t	mean_c1	mean_v1	mean_core_fraction	ess	seconds
1	2	1.0	1.0	51.0	19.0	0.95	2.0	1.7929258689982817
1	2	1.0	0.95	50.795543553514904	19.0	0.9499999999999998	1.9793149521060056	1.7929258689982817
1	2	1.0	0.9	50.58468691504136	19.0	0.9499999999999998	1.9173226697031387	1.7929258689982817
1	2	1.0	0.8	50.162315550510776	18.999999999999996	0.9499999999999998	1.7015067048695527	1.7929258689982817
1	2	0.8	1.0	51.0	18.999999999999996	0.95	2.0	1.7929258689982817
1	2	0.8	0.95	50.795543553514904	19.0	0.9500000000000001	1.9793149521060056	1.7929258689982817
1	2	0.8	0.9	50.58468691504137	19.0	0.9500000000000001	1.9173226697031387	1.7929258689982817
1	2	0.8	0.8	50.162315550510776	19.0	0.95	1.701506704869553	1.7929258689982817
1	2	0.6	1.0	51.0	19.0	0.9500000000000001	2.0	1.7929258689982817
1	2	0.6	0.95	50.795543553514904	19.0	0.9500000000000001	1.9793149521060056	1.7929258689982817
1	2	0.6	0.9	50.58468691504137	19.000000000000004	0.9500000000000001	1.9173226697031382	1.7929258689982817
1	2	0.6	0.8	50.16231555051079	19.0	0.9500000000000001	1.7015067048695525	1.7929258689982817
2	0	1.0	1.0	0.0	0.0	0.0	0.0	1.8968253550119698
3	0	1.0	1.0	0.0	0.0	0.0	0.0	1.8181154810008593
4	2	1.0	1.0	62.5	19.0	0.95	2.0	1.7785534029826522
4	2	1.0	0.95	62.18116262595139	19.0	0.95	1.9679903159910983	1.7785534029826522
4	2	1.0	0.9	61.85631472062069	19.0	0.9500000000000001	1.8756572099665463	1.7785534029826522
4	2	1.0	0.8	61.23403229693903	19.0	0.9499999999999998	1.591814411439181	1.7785534029826522
4	2	0.8	1.0	62.5	18.999999999999996	0.95	2.0	1.7785534029826522
4	2	0.8	0.95	62.18116262595138	19.0	0.9499999999999998	1.9679903159910987	1.7785534029826522
4	2	0.8	0.9	61.85631472062069	19.0	0.95	1.8756572099665463	1.7785534029826522
4	2	0.8	0.8	61.23403229693902	19.0	0.95	1.5918144114391808	1.7785534029826522
4	2	0.6	1.0	62.5	19.0	0.9500000000000001	2.0	1.7785534029826522
