START ALGORITHM:
I am going to build an instance with N: 300 variables and 1200 clauses with a clause density equal to 4
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
300 1200 5.34011925 0.0178003975 4
300 1200 5.33998148 0.0177999383 4
300 1200 5.34001168 0.0178000389 4
300 1200 5.33994116 0.0177998039 4
300 1200 5.33993017 0.0177997672 4
300 1200 5.33992757 0.0177997586 4
300 1200 5.33993009 0.017799767 4
300 1200 5.33993127 0.0177997709 4
300 1200 5.33992844 0.0177997615 4
299 1195 5.33992819 0.0177997606 3.99665552
299 1195 5.33992662 0.0177997554 3.99665552
299 1195 5.33992622 0.0177997541 3.99665552
299 1195 5.33992618 0.0177997539 3.99665552
299 1195 5.3399261 0.0177997537 3.99665552
299 1195 5.33992606 0.0177997535 3.99665552
299 1195 5.33992595 0.0177997532 3.99665552
299 1195 5.33992591 0.017799753 3.99665552
299 1195 5.33992588 0.0177997529 3.99665552
299 1195 5.33992587 0.0177997529 3.99665552
298 1189 5.33992587 0.0177997529 3.98993289
298 1189 5.33992586 0.0177997529 3.98993289
298 1189 5.33992585 0.0177997528 3.98993289
298 1189 5.33992585 0.0177997528 3.98993289
298 1189 5.33992585 0.0177997528 3.98993289
298 1189 5.33992585 0.0177997528 3.98993289
298 1189 5.33992585 0.0177997528 3.98993289
298 1189 5.33992585 0.0177997528 3.98993289
298 1189 5.33992585 0.0177997528 3.98993289
298 1189 5.33992585 0.0177997528 3.98993289
297 1184 5.33992585 0.0177997528 3.98653199
297 1186 5.33992585 0.0177997528 3.99326599
297 1186 5.33992585 0.0177997528 3.99326599
297 1186 5.33992585 0.0177997528 3.99326599
297 1186 5.33992584 0.0177997528 3.99326599
297 1186 5.33992584 0.0177997528 3.99326599
297 1186 5.33992584 0.0177997528 3.99326599
297 1186 5.33992584 0.0177997528 3.99326599
297 1186 5.33992584 0.0177997528 3.99326599
297 1186 5.33992584 0.0177997528 3.99326599
296 1181 5.33992584 0.0177997528 3.98986486
296 1181 5.33993905 0.0177997968 3.98986486
296 1181 5.33993043 0.0177997681 3.98986486
296 1181 5.33992772 0.0177997591 3.98986486
296 1181 5.33993 0.0177997667 3.98986486
296 1181 5.33992943 0.0177997648 3.98986486
296 1181 5.33992897 0.0177997632 3.98986486
296 1181 5.33992877 0.0177997626 3.98986486
296 1181 5.33992886 0.0177997629 3.98986486
296 1181 5.33992885 0.0177997628 3.98986486
295 1175 5.33485184 0.0177828395 3.98305085
295 1175 5.33483993 0.0177827998 3.98305085
295 1175 5.33484585 0.0177828195 3.98305085
295 1175 5.33486881 0.017782896 3.98305085
295 1175 5.33486651 0.0177828884 3.98305085
