# scorer=cert K=3 N=300 M=1200 seed=2 r=0.9 theta=0 veto=0 dynamic_I_backtrack=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,300,1200,5.340119254,0.01780039751,44,0,1,0
1,back,299,1195,5.340041772,0.01780013924,0,0,1,1
2,dec,300,1200,5.339981477,0.01779993826,0,0,1,0
3,back,299,1194,5.340023192,0.01780007731,0,0,1,1
4,dec,300,1200,5.340011679,0.01780003893,0,0,1,0
5,back,299,1195,5.339988107,0.01779996036,0,0,1,1
6,dec,300,1200,5.339941161,0.01779980387,0,0,1,0
7,back,299,1194,5.339927099,0.017799757,0,0,1,1
8,dec,300,1200,5.339930167,0.01779976722,0,0,1,0
9,back,299,1195,5.33993171,0.01779977237,0,0,1,1
10,dec,300,1200,5.339927567,0.01779975856,0,0,1,0
11,back,299,1194,5.339926036,0.01779975345,0,0,1,1
12,dec,300,1200,5.339930094,0.01779976698,0,0,1,0
13,back,299,1195,5.339932147,0.01779977382,0,0,1,1
14,dec,300,1200,5.339931272,0.01779977091,0,0,1,0
15,back,299,1194,5.339929464,0.01779976488,0,0,1,1
16,dec,300,1200,5.339928442,0.01779976147,0,0,1,0
17,dec,299,1195,5.339928187,0.01779976062,0,0,1,1
18,back,298,1190,5.339927542,0.01779975847,0,0,1,2
19,dec,299,1195,5.339926623,0.01779975541,0,0,1,1
20,back,298,1189,5.339926237,0.01779975412,0,0,1,2
21,dec,299,1195,5.339926216,0.01779975405,0,0,1,1
22,back,298,1190,5.339926268,0.01779975423,0,0,1,2
23,dec,299,1195,5.339926182,0.01779975394,0,0,1,1
24,back,298,1189,5.339926106,0.01779975369,0,0,1,2
25,dec,299,1195,5.339926102,0.01779975367,0,0,1,1
26,back,298,1190,5.339926106,0.01779975369,0,0,1,2
27,dec,299,1195,5.339926064,0.01779975355,0,0,1,1
28,back,298,1189,5.339925996,0.01779975332,0,0,1,2
29,dec,299,1195,5.339925953,0.01779975318,0,0,1,1
30,back,298,1190,5.33992593,0.0177997531,0,0,1,2
31,dec,299,1195,5.339925911,0.01779975304,0,0,1,1
32,back,298,1189,5.339925889,0.01779975296,0,0,1,2
33,dec,299,1195,5.339925876,0.01779975292,0,0,1,1
34,back,298,1190,5.339925871,0.0177997529,0,0,1,2
35,dec,299,1195,5.339925869,0.0177997529,0,0,1,1
36,dec,298,1189,5.339925866,0.01779975289,0,0,1,2
37,back,297,1186,5.339925861,0.01779975287,0,0,1,3
38,dec,298,1189,5.339925858,0.01779975286,0,0,1,2
39,back,297,1184,5.339925856,0.01779975285,0,0,1,3
40,dec,298,1189,5.339925854,0.01779975285,0,0,1,2
41,back,297,1186,5.339925852,0.01779975284,0,0,1,3
42,dec,298,1189,5.33992585,0.01779975283,0,0,1,2
43,back,297,1184,5.339925849,0.01779975283,0,0,1,3
44,dec,298,1189,5.339925848,0.01779975283,0,0,1,2
45,back,297,1186,5.339925847,0.01779975282,0,0,1,3
46,dec,298,1189,5.339925847,0.01779975282,0,0,1,2
47,back,297,1184,5.339925846,0.01779975282,0,0,1,3
48,dec,298,1189,5.339925846,0.01779975282,0,0,1,2
49,back,297,1186,5.339925846,0.01779975282,0,0,1,3
50,dec,298,1189,5.339925846,0.01779975282,0,0,1,2
51,back,297,1184,5.339925846,0.01779975282,0,0,1,3
52,dec,298,1189,5.339925845,0.01779975282,0,0,1,2
53,back,297,1186,5.339925845,0.01779975282,0,0,1,3
54,dec,298,1189,5.339925845,0.01779975282,0,0,1,2
55,dec,297,1184,5.339925845,0.01779975282,0,0,1,3
56,back,296,1181,5.339925845,0.01779975282,0,0,1,4
57,dec,297,1186,5.339925845,0.01779975282,0,0,1,3
58,back,296,1181,5.339925845,0.01779975282,0,0,1,4
59,dec,297,1186,5.339925845,0.01779975282,0,0,1,3
60,back,296,1181,5.339925845,0.01779975282,0,0,1,4
