config	runs	sat	sp_nonconvergence	mean_max_drop	mean_max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	mean_auc_per_step	mean_fixed_frontier_max_drop	mean_fixed_frontier_roughness	mean_fixed_frontier_auc_per_level	mean_steps	mean_wall_seconds
certainty	5	1	4	0.4572523113787361	0.4572523113787361	0.0009972213982528428	0.013740073818142701	0.013741630540095348	1.5679751599939018	0.025727292680000024	0.012912764529635228	1.5426646629558771	1670.8	0.45323048838763497
polarization	5	1	4	0.4956047552999999	0.05564045410000007	0.0013327985388222993	0.016147819574035667	0.015736753059034235	1.589080903361726	0.07222951679999996	0.017142185056056695	1.5704390628168996	1247.0	0.441368523798883
certified	5	3	0	0.5139601805499892	0.5025072420099892	0.014254689894195186	0.017134542905297954	0.017107787612063923	1.1663939001755037	0.4977739934299891	0.01790058299811886	1.1425894296738976	193.4	4.895176213397645
