config	runs	sat	sp_nonconvergence	mean_max_drop	mean_max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	mean_auc_per_step	mean_fixed_frontier_max_drop	mean_fixed_frontier_roughness	mean_fixed_frontier_auc_per_level	mean_steps	mean_wall_seconds
certainty	5	3	2	0.4304383609023949	0.4304383609023949	0.004223857591225181	0.02584319427261429	0.025920882169392527	0.717333732035158	0.10797831612212669	0.02478255529695211	0.6887303924747474	204.2	0.04106543520465493
polarization	5	2	3	0.3813185535254233	0.3813185535254233	0.006936792251024426	0.037414112222002145	0.03760736711125563	0.7265833464588877	0.0878582157105843	0.03258212293570194	0.7304633637033927	146.8	0.027651843195781112
certified	5	3	1	0.373038827223073	0.373038827223073	0.03960755966744769	0.04368875336693508	0.04590772848249987	0.5902357964486817	0.3730387936583702	0.047441899417057995	0.6479048074834913	19.2	0.04132888719905168
