START ALGORITHM:
I am going to build an instance with N: 1000 variables and 9500 clauses with a clause density equal to 9.5
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
1000 9500 21.4621012 0.0214621012 9.5
1000 9500 21.4623765 0.0214623765 9.5
1000 9500 21.4623225 0.0214623225 9.5
1000 9500 21.4623185 0.0214623185 9.5
1000 9500 21.4623195 0.0214623195 9.5
1000 9500 21.4623228 0.0214623228 9.5
1000 9500 21.462322 0.021462322 9.5
1000 9500 21.4623216 0.0214623216 9.5
1000 9500 21.4623216 0.0214623216 9.5
999 9477 21.4512528 0.0214512528 9.48648649
999 9477 21.451262 0.021451262 9.48648649
999 9477 21.451299 0.021451299 9.48648649
999 9477 21.4513197 0.0214513197 9.48648649
999 9477 21.4512895 0.0214512895 9.48648649
999 9477 21.4513237 0.0214513237 9.48648649
999 9477 21.4513172 0.0214513172 9.48648649
999 9477 21.4512902 0.0214512902 9.48648649
999 9477 21.4513236 0.0214513236 9.48648649
999 9477 21.451317 0.021451317 9.48648649
998 9446 21.4168786 0.0214168786 9.46492986
998 9446 21.4167863 0.0214167863 9.46492986
998 9446 21.4167842 0.0214167842 9.46492986
998 9446 21.4167475 0.0214167475 9.46492986
998 9446 21.4167306 0.0214167306 9.46492986
998 9446 21.4167178 0.0214167178 9.46492986
998 9446 21.4167137 0.0214167137 9.46492986
998 9446 21.4167137 0.0214167137 9.46492986
998 9446 21.4167141 0.0214167141 9.46492986
998 9446 21.4167141 0.0214167141 9.46492986
997 9424 21.3815563 0.0213815563 9.45235707
997 9424 21.381632 0.021381632 9.45235707
997 9424 21.3815845 0.0213815845 9.45235707
997 9424 21.3816064 0.0213816064 9.45235707
997 9424 21.3816005 0.0213816005 9.45235707
997 9424 21.3815949 0.0213815949 9.45235707
997 9424 21.3815937 0.0213815937 9.45235707
997 9424 21.3815924 0.0213815924 9.45235707
997 9424 21.3815929 0.0213815929 9.45235707
997 9424 21.3815933 0.0213815933 9.45235707
996 9402 21.342896 0.021342896 9.43975904
996 9402 21.3429938 0.0213429938 9.43975904
996 9402 21.342948 0.021342948 9.43975904
996 9402 21.3429547 0.0213429547 9.43975904
996 9402 21.3429508 0.0213429508 9.43975904
996 9402 21.3429488 0.0213429488 9.43975904
996 9402 21.3429494 0.0213429494 9.43975904
996 9402 21.3429508 0.0213429508 9.43975904
996 9402 21.3429505 0.0213429505 9.43975904
996 9402 21.3429502 0.0213429502 9.43975904
995 9371 21.3017857 0.0213017857 9.41809045
995 9371 21.3017928 0.0213017928 9.41809045
995 9371 21.3019434 0.0213019434 9.41809045
995 9371 21.3019665 0.0213019665 9.41809045
995 9371 21.3019692 0.0213019692 9.41809045
